timestamp,isReIntervention,app,resolution,timezone,interventionType,interventionDuration
1750212862.0043359,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750213955.532156,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750213963.583858,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750214381.593847,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750214389.067704,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750250478.882401,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750251286.456479,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750251705.507546,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750258048.1088428,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750272804.8533502,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750272899.8726969,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750274371.546257,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750282789.529155,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750286919.1045508,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750287920.175215,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750288273.9821692,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750298460.39325,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750302290.8333812,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750302959.128021,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750340467.7258701,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750340655.738923,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750341507.7106051,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750342864.671185,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750342974.734972,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750344120.4688292,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750346398.109171,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750350266.430149,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750351327.338964,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750351896.923736,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750353916.38012,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750354108.00648,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750354349.425271,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750355352.311861,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750355800.915453,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750356802.3797932,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750357795.315666,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750362232.053633,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750363757.9828749,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750366673.6092129,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750366976.635931,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750368159.437982,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750368596.6167622,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750370619.354649,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750376510.7041268,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750379532.918764,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750384648.677506,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750386811.380457,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750426485.566279,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750427018.472065,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750432680.193578,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750436657.009301,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750438258.146378,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750439821.343943,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750440478.963101,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750440486.470868,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750446743.997003,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750461723.343769,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750461734.623553,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750473688.19314,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750473699.181314,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750474809.8433661,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750474887.613766,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750507904.8182101,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750508201.18887,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750513191.997109,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750517724.311891,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750532818.016336,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750533518.2576141,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750533525.160225,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750536702.3909101,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750536804.792464,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750536981.300463,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750549710.874959,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750556334.746738,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750556895.1932201,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750557822.821557,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750562564.675119,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750563265.197186,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750594677.883381,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750627122.531261,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1750627129.0840569,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750638356.230887,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750640688.132697,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750646627.8281112,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750647019.204832,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750676941.093289,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750680205.981312,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750680221.093827,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750712929.929358,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1750715774.048242,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750719004.921496,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1750733880.893873,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750764825.4089441,False,pinterest,openedApp,America/Toronto,breathingExercise,6.0
1750765114.169466,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,6.0
1750766737.144037,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750793081.4308438,False,pinterest,openedApp,America/Toronto,breathingExercise,6.0
1750801568.226787,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750805234.075582,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,6.0
1750806172.4765182,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,6.0
1750806524.827403,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750810991.00429,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750813433.330097,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750813769.863482,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,6.0
1750849859.161015,False,pinterest,openedApp,America/Toronto,breathingExercise,6.0
1750850857.190326,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750886389.82076,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750887546.107367,False,instagram,openedApp,America/Toronto,breathingExercise,6.0
1750895715.311804,False,pinterest,openedApp,America/Toronto,breathingExercise,6.0
1750896650.6650429,False,pinterest,openedApp,America/Toronto,breathingExercise,6.0
