app,resolution,interventionDuration,isReIntervention,timezone,timestamp,interventionType
bild,closedApp,,False,Europe/Berlin,1752059012.913116,
bild,closedApp,,False,Europe/Berlin,1752059056.136609,
bild,closedApp,,False,Europe/Berlin,1752059059.747686,
bild,closedApp,,False,Europe/Berlin,1752059072.444981,
kicker,closedApp,,False,Europe/Berlin,1752058953.070826,
kicker,closedApp,,False,Europe/Berlin,1752058958.948251,
kicker,closedApp,,False,Europe/Berlin,1752058979.05056,
instagram,openedApp,1.5,False,Europe/Berlin,1752061076.522901,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752061231.86077,
instagram,openedApp,1.5,False,Europe/Berlin,1752064132.932256,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752064782.40014,
linkedin,closedApp,,False,Europe/Berlin,1752069432.0594401,
linkedin,closedApp,,False,Europe/Berlin,1752069435.820527,
linkedin,closedApp,,False,Europe/Berlin,1752069445.989028,
youtube,closedApp,,False,Europe/Berlin,1752069166.49756,
kicker,closedApp,,False,Europe/Berlin,1752068348.850066,
kicker,closedApp,,False,Europe/Berlin,1752068377.38104,
kicker,closedApp,,False,Europe/Berlin,1752068403.798063,
kicker,closedApp,,False,Europe/Berlin,1752068454.3536801,
kicker,closedApp,,False,Europe/Berlin,1752068465.9944391,
kicker,closedApp,,False,Europe/Berlin,1752085697.827852,
kicker,closedApp,,False,Europe/Berlin,1752085700.5323272,
kicker,closedApp,,False,Europe/Berlin,1752085778.9547482,
kicker,closedApp,,False,Europe/Berlin,1752086162.506122,
kicker,closedApp,,False,Europe/Berlin,1752086166.6007771,
kicker,closedApp,,False,Europe/Berlin,1752086174.9689112,
kicker,closedApp,,False,Europe/Berlin,1752086179.3275661,
instagram,openedApp,1.5,False,Europe/Berlin,1752086190.2418199,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752086440.081284,
youtube,closedApp,,False,Europe/Berlin,1752090917.313977,
youtube,closedApp,,False,Europe/Berlin,1752091094.1548948,
bild,closedApp,,False,Europe/Berlin,1752090607.846647,
bild,closedApp,,False,Europe/Berlin,1752092408.192549,
kicker,closedApp,,False,Europe/Berlin,1752089227.9200668,
kicker,closedApp,,False,Europe/Berlin,1752089251.844482,
kicker,closedApp,,False,Europe/Berlin,1752089256.308609,
kicker,closedApp,,False,Europe/Berlin,1752089299.271842,
kicker,closedApp,,False,Europe/Berlin,1752089314.627157,
kicker,closedApp,,False,Europe/Berlin,1752089328.627666,
kicker,closedApp,,False,Europe/Berlin,1752091110.476232,
kicker,closedApp,,False,Europe/Berlin,1752091120.5442538,
kicker,closedApp,,False,Europe/Berlin,1752091613.071476,
kicker,closedApp,,False,Europe/Berlin,1752092414.412822,
kicker,closedApp,,False,Europe/Berlin,1752092468.928446,
kicker,closedApp,,False,Europe/Berlin,1752122561.023941,
kicker,closedApp,,False,Europe/Berlin,1752122596.1396,
kicker,closedApp,,False,Europe/Berlin,1752122613.8303142,
kicker,closedApp,,False,Europe/Berlin,1752122683.973301,
kicker,closedApp,,False,Europe/Berlin,1752122685.695179,
kicker,closedApp,,False,Europe/Berlin,1752122686.4653769,
kicker,closedApp,,False,Europe/Berlin,1752122735.013679,
instagram,openedApp,1.5,False,Europe/Berlin,1752122743.275321,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752123483.867484,
