timezone,app,resolution,timestamp,interventionType,interventionDuration,isReIntervention,purpose
America/Denver,instagram,dismissedAppOpening,1751747922.3846688,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751747929.0633311,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751747935.126893,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751747943.363975,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748079.980114,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748083.792399,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748088.036158,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748092.447544,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748097.246114,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748101.4744,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748107.172336,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748111.6868029,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748117.639668,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751748129.587957,breathingExercise,1.5,False,Can’t sleep
America/Denver,instagram,dismissedAppOpening,1751748380.445622,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751748387.020293,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749506.9185271,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749727.3713741,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749733.24945,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751749751.197774,breathingExercise,1.5,False,Post something
America/Denver,instagram,dismissedAppOpening,1751749867.2086558,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749870.9706101,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749875.4852362,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749880.6144428,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749887.589598,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749932.689059,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749937.271172,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749942.148329,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749946.698423,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749951.492883,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749955.436266,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751749962.523861,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751750084.180994,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751750089.366825,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751750096.70222,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751750790.331186,breathingExercise,1.5,False,Toilet
America/Denver,instagram,dismissedAppOpening,1751750921.195867,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751750951.225058,breathingExercise,1.5,False,Stalk crush
America/Denver,instagram,dismissedAppOpening,1751751213.4065762,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751751219.3012938,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751751226.165096,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751751232.750901,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751751238.179569,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751751244.1991282,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751751251.705361,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755948.6791,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755954.050839,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755966.6157188,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755970.88701,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755976.048826,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755980.8933911,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755985.5049481,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751755991.939374,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751756003.2883139,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751756017.4540749,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751756053.984283,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751756131.5033278,breathingExercise,1.5,False,Post something
America/Denver,instagram,dismissedAppOpening,1751756592.0996299,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751756597.945441,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751756997.345547,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757003.557612,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757015.8130531,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757033.917027,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757040.139976,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757050.216795,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757060.82202,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757074.449518,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757563.3348079,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751757568.684264,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751758179.888526,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751758186.689991,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751758892.489108,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751758898.2768312,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751759155.075131,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751760573.737154,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751760578.3461862,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751760584.4113169,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751761430.25354,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751762430.015675,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751762438.781142,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751762749.6925259,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751766827.431593,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751771692.7198548,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751771707.7202291,breathingExercise,1.5,False,Message
America/Denver,instagram,dismissedAppOpening,1751777650.108489,breathingExercise,1.5,False,
