interventionDuration,timestamp,resolution,app,timeIntervalUntilReIntervention,isReIntervention,timezone,interventionType
1.5,1753124810.057986,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753125866.36995,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753171441.970505,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
1.5,1753172065.231667,openedApp,instagram,600.0,True,Europe/Belgrade,breathingExercise
1.5,1753183777.702421,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753209772.854002,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753214947.1506472,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753214950.2177072,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753214953.8813329,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753248219.2142859,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753253985.307938,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753254259.022125,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753254943.111656,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
1.5,1753268860.0964499,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753288167.314076,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753293485.27671,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
1.5,1753345792.589425,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753345982.9421911,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753347906.1378632,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753348069.16223,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753364310.203518,openedApp,instagram,480.0,False,Europe/Belgrade,breathingExercise
1.5,1753364851.1662169,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753374263.4242458,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753381013.602491,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753381327.4360251,openedApp,instagram,300.0,True,Europe/Belgrade,breathingExercise
1.5,1753381635.560759,openedApp,instagram,240.0,True,Europe/Belgrade,breathingExercise
1.5,1753383535.689975,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753420971.090119,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
1.5,1753421756.8651528,openedApp,instagram,600.0,True,Europe/Belgrade,breathingExercise
1.5,1753422367.9251518,openedApp,instagram,300.0,True,Europe/Belgrade,breathingExercise
1.5,1753427825.975905,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753430233.250152,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753439286.363258,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753452424.94284,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753478078.766996,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753478496.662829,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753478507.58038,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753478527.968258,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753516160.6015449,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753534566.5595741,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753561806.010489,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753600816.863452,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753611060.9509358,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753621089.962129,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753623200.8121629,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753623622.517693,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753626633.037346,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753628177.335048,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753631425.4272032,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753631741.01601,openedApp,instagram,600.0,True,Europe/Belgrade,breathingExercise
1.5,1753632874.19993,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753634153.3719668,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753634761.715705,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753634866.669415,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753644788.111707,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753645101.316531,openedApp,instagram,600.0,True,Europe/Belgrade,breathingExercise
1.5,1753700989.781026,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753725941.667591,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753726221.5152102,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753726569.549704,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753728011.68573,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753728999.7840118,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753730431.545704,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753737321.605733,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753784510.1397061,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753797599.036996,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753801764.76719,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753820637.997215,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753900878.7418041,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753905013.029396,openedApp,instagram,480.0,False,Europe/Belgrade,breathingExercise
1.5,1753911316.771209,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753954143.8582191,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753954368.3189092,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753956674.1921492,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
6.0,1754028376.7160358,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754028775.8059878,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
6.0,1754042249.158669,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754042575.238035,openedApp,instagram,600.0,True,Europe/Belgrade,breathingExercise
6.0,1754044978.0469332,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754045047.5378308,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754045234.577482,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754045588.267209,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
6.0,1754055900.169179,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754056130.0646,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
6.0,1754067307.926507,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
6.0,1754067326.926278,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754080124.142457,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754080320.932436,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
6.0,1754080455.894463,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
6.0,1754136345.3808851,openedApp,instagram,480.0,False,Europe/Belgrade,breathingExercise
6.0,1754136691.272564,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754139671.217408,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
6.0,1754177671.9008079,openedApp,instagram,540.0,False,Europe/Belgrade,breathingExercise
6.0,1754206168.416583,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754216578.936384,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754231049.80486,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
6.0,1754233673.8462238,openedApp,instagram,600.0,False,Europe/Belgrade,breathingExercise
6.0,1754242972.8907251,openedApp,instagram,60.0,False,Europe/Belgrade,breathingExercise
6.0,1754246404.2200541,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754246461.387105,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754246515.564209,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754246781.357445,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
6.0,1754296766.2834501,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
