timestamp,interventionType,app,isReIntervention,interventionDuration,resolution,timezone,timeIntervalUntilReIntervention
1754379175.17501,breathingExercise,instagram,False,1.5,dismissedAppOpening,Europe/Berlin,
1754379624.380834,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754380944.8364859,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,900.0
1754381265.502864,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,900.0
1754381329.307399,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,900.0
1754388840.760844,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,720.0
1754388872.01423,breathingExercise,instagram,False,1.5,dismissedAppOpening,Europe/Berlin,
1754390140.946237,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,780.0
1754390238.9685059,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754390956.0050812,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754391569.668812,breathingExercise,instagram,False,1.5,dismissedAppOpening,Europe/Berlin,
1754391578.278882,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,720.0
1754391629.249475,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,900.0
1754394933.088069,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1140.0
1754403227.476857,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754404418.986876,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754404460.4753962,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754404520.402837,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754404548.317984,breathingExercise,instagram,False,1.5,openedApp,Europe/Berlin,1800.0
1754405705.8919559,breathingExercise,instagram,False,1.5,dismissedAppOpening,Europe/Berlin,
