purpose,isReIntervention,timestamp,resolution,app,interventionDuration,timezone,interventionType,timeIntervalUntilReIntervention
,False,1749246816.1790872,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749279518.672852,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Entertainment,False,1749281743.047206,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1749282248.499135,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749282251.247783,closedApp,NOS,,Europe/Amsterdam,,
,False,1749282362.396658,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749287079.893252,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749288404.63526,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Entertainment,False,1749288440.78372,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Bericht,False,1749292429.4862242,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749292878.930344,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1749293604.486751,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Bericht,False,1749297725.443764,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Blijf in de lus,True,1749297814.416051,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Post iets,False,1749299202.2278218,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Post iets,False,1749299364.0104132,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1749301186.352886,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749306742.085311,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749307616.134471,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749307673.24246,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749311085.3362498,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749313377.4094338,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749315689.5944529,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749318937.5943022,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749319012.575968,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749319567.727707,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749322209.6009998,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749322380.511952,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749322635.14234,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749323417.533708,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Verveeld,False,1749324066.676546,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749328834.3586311,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749329196.653934,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749361825.811295,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749361918.496655,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749365472.3276129,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749366111.9437652,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749367365.320693,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749367675.860533,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749378788.439451,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749378962.081492,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749381776.939379,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749382853.2717829,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749382913.887883,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749385824.514436,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749386920.2242951,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749387008.377938,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749387436.421855,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749387683.916358,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749388995.248327,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749389173.0379171,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749390357.926643,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749390425.769043,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749394566.427211,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1749395771.413316,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Entertainment,False,1749399994.416247,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1749401717.99825,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,True,1749402056.3089972,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1749402323.619966,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749402599.7709708,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749402685.6941571,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749402694.331821,closedApp,NOS,,Europe/Amsterdam,,
,False,1749402725.734301,closedApp,NOS,,Europe/Amsterdam,,
,False,1749402859.7937799,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749404848.40588,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749408209.769113,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Bericht,False,1749408855.6211162,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749409373.344281,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749409501.602742,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749410838.11515,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749410881.2439852,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749414842.181762,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Kan niet slapen,False,1749416914.0691009,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749417298.9709191,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749453077.883311,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749453179.83245,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,True,1749453277.363706,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1749453694.729317,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1749453714.181237,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749453716.649397,closedApp,NOS,,Europe/Amsterdam,,
,False,1749453837.8149772,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749453891.557084,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749453979.0669289,closedApp,NOS,,Europe/Amsterdam,,
,False,1749453981.494193,closedApp,NOS,,Europe/Amsterdam,,
,False,1749454280.0266008,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749454574.774743,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749455733.58495,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749455976.441791,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749456819.74302,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749463046.9594312,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Verveeld,False,1749465081.5997648,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749483560.075478,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749483835.676697,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749484028.937669,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749489617.564838,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749498898.109599,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749499021.6557941,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749499399.1369228,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749499600.226756,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749500228.6639981,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749500699.346743,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749500840.7195358,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749501455.766552,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
