interventionDuration,resolution,timeIntervalUntilReIntervention,timezone,timestamp,app,interventionType,isReIntervention,purpose
1.5,openedApp,60.0,Europe/Kiev,1751122537.515573,telegram,breathingExercise,True,Message
1.5,openedApp,540.0,Europe/Kiev,1751123192.2415562,telegram,askForTimeLimit,False,
1.5,openedApp,600.0,Europe/Kiev,1751123691.619256,instagram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751123693.665566,telegram,askForTimeLimit,False,
1.5,dismissedAppOpening,,Europe/Kiev,1751123862.2886539,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751126841.739554,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751127565.140785,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751132666.0326319,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751135350.212037,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751136532.592936,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751136805.330604,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751136887.94014,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751136964.034707,telegram,breathingExercise,True,Message
1.5,openedApp,900.0,Europe/Kiev,1751137040.635057,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751137122.6048489,telegram,askForTimeLimit,False,
1.5,openedApp,900.0,Europe/Kiev,1751137201.700305,telegram,askForTimeLimit,False,
1.5,openedApp,1200.0,Europe/Kiev,1751137256.252291,telegram,breathingExercise,True,Message
1.5,openedApp,60.0,Europe/Kiev,1751139478.38654,telegram,askForTimeLimit,False,
1.5,openedApp,900.0,Europe/Kiev,1751139571.480692,telegram,breathingExercise,False,Message
1.5,openedApp,60.0,Europe/Kiev,1751139901.94081,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751139997.710607,telegram,askForTimeLimit,False,
,openedApp,,Europe/Kiev,1753456270.054378,telegram,,False,
,closedApp,,Europe/Kiev,1753456570.054379,telegram,,False,
,dismissedAppOpening,,Europe/Kiev,1753456570.054379,telegram,,False,
