timezone,timestamp,resolution,interventionDuration,app,interventionType,isReIntervention,purpose,terminationReason
America/Los_Angeles,1749144891.686019,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749145410.3743072,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749170928.146625,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749175195.576833,dismissedAppOpening,1.5,firefoxFocus,breathingExercise,0.0,,
America/Los_Angeles,1749181158.964531,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749182835.605054,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749183172.4351358,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749184634.153633,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749184864.128432,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749185036.544547,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749185084.887434,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749185104.617206,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749190618.706256,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Can’t sleep,
America/Los_Angeles,1749191518.14553,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Can’t sleep,
America/Los_Angeles,1749193938.5796828,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749204141.246902,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Can’t sleep,
America/Los_Angeles,1749227315.498026,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749227653.926753,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749227856.737989,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749232186.4348311,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749237561.569272,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749257131.566136,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749260888.07309,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749262905.429708,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749263479.08288,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749264049.722527,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1749264472.421262,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1749265095.886914,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1749268661.090323,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1749269817.6479301,dismissedAppOpening,1.5,firefoxFocus,breathingExercise,0.0,,
America/Los_Angeles,1749269871.373457,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749272729.900635,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1749275317.782501,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1749279149.577723,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1749317040.941523,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749325936.363446,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749328650.774427,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749329736.3083658,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
,1749330166.924989,,,,,,,terminatedByUser
