interventionDuration,timestamp,isReIntervention,interventionType,timezone,app,resolution
1.5,1750800394.039017,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750800446.306075,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750800456.782525,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750800535.03602,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750825776.517627,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750826097.69632,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750826297.004869,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750826437.383404,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750826519.4069629,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750826560.45099,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750826628.678361,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750827565.272145,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750828626.816074,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750834113.509125,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750834237.005538,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750834244.199033,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750834806.705079,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750836117.909653,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750836420.4551249,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750839550.7041569,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750840258.429311,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750841539.096302,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750841579.388922,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750841581.7505531,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750841730.092304,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750845309.158206,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750845445.748301,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750845453.147218,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750845553.427381,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750847067.40305,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750849174.9317489,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750850488.280877,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750853060.447928,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750853329.1410189,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750856174.52184,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750856521.458438,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750856722.154974,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750856732.74996,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750858028.73798,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750859524.71212,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750859704.7668161,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750859947.603839,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750860025.29326,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750860300.4683971,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750861658.622634,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750863088.6194,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750863094.21528,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750863099.99348,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750863997.5180469,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750866923.441863,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750866979.5123138,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750867932.853701,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750868238.611247,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750868454.454324,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750897316.4195051,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750906992.2027311,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750910899.938775,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750915189.905339,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750917406.509074,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750921938.112568,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750922009.621536,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750922188.50336,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750926091.5750542,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750928733.854947,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750928945.4325562,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750929488.545384,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750930817.171694,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750934854.900286,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750934916.1308079,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750936044.0113292,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750936133.987566,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750936136.63327,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750936994.631093,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750942493.502542,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750942874.851593,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750942950.903749,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750942992.093185,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750943012.162718,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750949033.9836922,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750949265.318115,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750949267.4234629,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750956642.24725,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750957601.483952,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750979848.903566,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750999446.8494592,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750999536.701869,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751001538.953018,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751001725.209317,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751001772.403551,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751001827.216305,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751001879.512689,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751004976.153689,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751005075.8862681,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751006429.426827,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751011540.2018409,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751011772.21095,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751018764.8767729,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751019032.339194,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751023416.7087889,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751026532.42431,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751037621.482959,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751037639.166623,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751038480.918456,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751041801.3641748,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751042194.730744,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751042939.974798,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751043316.6288009,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751043497.167183,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751043692.726013,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751043723.588438,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751043966.9769778,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751044171.825797,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751044605.8649101,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751044702.547759,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751044725.2125602,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751044939.837348,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751045075.2871819,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751045355.738953,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751045719.4529881,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751051531.210227,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751072244.0567532,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751079349.301645,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751086335.662887,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751090855.753711,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751097446.946821,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751103570.561775,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751103639.0683331,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751106174.014032,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751106924.619648,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751107062.83749,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751113392.847491,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751113792.569892,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751116442.231427,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751116646.993557,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751118207.758735,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751121380.9638848,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751121992.702214,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751125107.253741,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751127080.7541242,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751127255.361609,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751127259.642349,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751128263.672369,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751128591.3276029,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751129499.10519,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751129529.134444,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751157498.29709,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751172082.4878411,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751175074.629932,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751177164.4947329,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751177171.948475,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751178121.083513,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751180371.0673308,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751180529.700613,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751180752.179729,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751185437.761015,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751188853.538539,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751191407.223248,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751205311.218512,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751212492.326206,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751214659.0066571,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751214822.5885549,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751214960.396864,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751215303.9508781,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751216486.647049,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751217150.164309,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751217433.930564,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751218637.246214,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751218976.092169,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751219046.924255,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751219453.670737,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751225758.803153,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751225980.99687,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751251623.3287249,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751251733.5287971,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751255751.777302,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751260607.027159,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751261609.646419,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751262656.7486181,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751262695.572229,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751262827.500354,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751263000.8939362,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751263066.9484549,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751263978.990446,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751265976.9500852,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751266767.8725781,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751267067.507158,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751267297.909826,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751268910.885798,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751268986.776887,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751269230.412894,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751269761.533247,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751270484.929079,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751270983.9806662,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751272012.267723,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751273553.892978,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751273723.2020922,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751275807.5031,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751276014.8736901,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751276119.521941,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751276138.601842,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751280662.366621,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751282511.59203,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751282514.394695,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751282541.04886,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751282665.063922,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751284311.050426,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751284696.2682462,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751285543.439966,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751288021.9956331,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751288851.1731071,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751291850.0606189,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751293643.689904,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751298228.785654,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751298356.969933,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751299970.165834,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751301542.7468739,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751301556.5616279,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751301564.18371,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751301884.024123,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751302183.404674,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751302625.539278,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751303660.951229,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751304337.069615,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751304679.5076919,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751304764.550601,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751335808.7464461,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751336760.8586268,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751341320.859549,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751343761.164675,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751345483.068626,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751345517.129805,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751346731.379827,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751348992.480785,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751353994.546068,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751359434.65224,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751362356.8923268,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751368859.11019,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751371708.916378,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751372505.767062,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751380472.977652,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751381429.8354821,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751381601.049008,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751382519.651866,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751383181.733839,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751383184.2026792,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751384508.335719,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751385457.176693,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751385897.579012,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751386180.408657,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751386868.919311,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751387887.499553,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751388093.2349482,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751388721.085425,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751388837.6896539,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751388969.018645,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751389211.9728909,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751389300.879582,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751391629.3150349,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751393459.483268,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751394071.69348,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751394443.087456,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751395544.2543092,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751395797.176621,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751396061.545014,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751397380.020166,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751397508.5649428,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751398015.680723,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751404756.653341,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751405571.614874,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751417914.496914,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751420357.531269,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751423767.425395,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751424404.9319038,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751430272.830843,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751432973.926861,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751433107.556686,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751433293.0216742,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751434522.9696941,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751434560.529948,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751437044.136297,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751437092.7465792,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751437279.011074,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751437433.712306,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751437477.409837,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751439340.448364,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751439445.391825,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751439804.072276,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751439954.361367,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751440347.7569032,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751440845.0847049,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751442976.250159,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751443034.802236,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1751443819.034337,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751451273.4973269,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751453002.8212972,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1751455290.606032,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
