interventionType,app,interventionDuration,isReIntervention,timestamp,timezone,resolution,purpose
breathingExercise,youtube,1.5,False,1752605499.5526361,Asia/Kolkata,openedApp,Relax
breathingExercise,clashOfClans,1.5,False,1752605865.3216891,Asia/Kolkata,openedApp,Relax
breathingExercise,instagram,1.5,False,1752607589.1763601,Asia/Kolkata,openedApp,Relax
breathingExercise,youtube,1.5,False,1752608213.223064,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752608214.852421,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752616108.060744,Asia/Kolkata,openedApp,Relax
breathingExercise,snapchat,1.5,False,1752616285.343132,Asia/Kolkata,openedApp,Entertainment
breathingExercise,youtube,1.5,False,1752617027.463141,Asia/Kolkata,openedApp,Entertainment
breathingExercise,instagram,1.5,False,1752620105.443318,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752620107.996522,Asia/Kolkata,dismissedAppOpening,
breathingExercise,snapchat,1.5,False,1752621978.720674,Asia/Kolkata,dismissedAppOpening,
breathingExercise,snapchat,1.5,False,1752654250.182282,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752654262.366424,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752654270.09242,Asia/Kolkata,openedApp,Entertainment
breathingExercise,snapchat,1.5,False,1752655016.314024,Asia/Kolkata,openedApp,Entertainment
breathingExercise,clashOfClans,1.5,False,1752655257.713852,Asia/Kolkata,openedApp,Entertainment
breathingExercise,instagram,1.5,False,1752658410.424564,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752658485.291637,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752660722.058594,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752660998.5494618,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752661003.879322,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752669087.561532,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752670353.41496,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752670564.11088,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752671618.135004,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752671852.434315,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752677290.593143,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752677404.033917,Asia/Kolkata,closedApp,
,instagram,,False,1752677433.038394,Asia/Kolkata,closedApp,
,instagram,,False,1752677643.0495338,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752677760.746706,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752677916.895996,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752677997.539357,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752678259.1915178,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752679873.424928,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752680069.8552542,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752682656.181293,Asia/Kolkata,dismissedAppOpening,
,instagram,,False,1752680298.766223,Asia/Kolkata,closedApp,
,instagram,,False,1752681275.417993,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752682729.478339,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752682815.125704,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752682890.029272,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752682994.171451,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752684001.339644,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752685369.858243,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752686064.2384229,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752686511.9581861,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752686519.591079,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752686775.251471,Asia/Kolkata,closedApp,
breathingExercise,youtube,1.5,False,1752686782.4214091,Asia/Kolkata,openedApp,Relax
breathingExercise,snapchat,1.5,False,1752687735.167851,Asia/Kolkata,openedApp,Entertainment
,snapchat,,False,1752688261.020333,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752688275.458149,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752688296.143811,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752688564.688319,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752688841.4087481,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752689765.93804,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752689810.074257,Asia/Kolkata,closedApp,
breathingExercise,youtube,1.5,False,1752690082.921595,Asia/Kolkata,openedApp,Relax
breathingExercise,youtube,1.5,False,1752690548.888253,Asia/Kolkata,openedApp,Relax
breathingExercise,youtube,1.5,False,1752690933.5180311,Asia/Kolkata,openedApp,Study
breathingExercise,youtube,1.5,False,1752691039.24281,Asia/Kolkata,openedApp,Relax
breathingExercise,instagram,1.5,False,1752692980.613877,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752693015.031827,Asia/Kolkata,closedApp,
,instagram,,False,1752693095.4116611,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752693102.0384421,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752693151.1374412,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752694111.458152,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752694800.651082,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752698032.754322,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752699574.219518,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752699610.264134,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752699639.6048079,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752702419.0912151,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752702969.026875,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752703991.989234,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752705278.5195398,Asia/Kolkata,closedApp,
,instagram,,False,1752705313.8349252,Asia/Kolkata,closedApp,
breathingExercise,clashOfClans,1.5,False,1752705321.582574,Asia/Kolkata,openedApp,Entertainment
,clashOfClans,,False,1752706123.559686,Asia/Kolkata,closedApp,
,clashOfClans,,False,1752706138.367732,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752706415.59918,Asia/Kolkata,openedApp,Entertainment
,snapchat,,False,1752706443.752814,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752706502.6432981,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752707164.7040539,Asia/Kolkata,closedApp,
breathingExercise,youtube,1.5,False,1752707173.854748,Asia/Kolkata,openedApp,Relax
breathingExercise,instagram,1.5,False,1752724978.53252,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752725090.641152,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752738470.422453,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752738475.879174,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752738737.298269,Asia/Kolkata,closedApp,
,instagram,,False,1752738970.288831,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752739132.9309201,Asia/Kolkata,openedApp,Entertainment
,snapchat,,False,1752739225.376492,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752742261.169822,Asia/Kolkata,openedApp,Relax
breathingExercise,youtube,1.5,False,1752742300.649506,Asia/Kolkata,openedApp,Entertainment
breathingExercise,instagram,1.5,False,1752752189.3914928,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752752495.2195039,Asia/Kolkata,closedApp,
,instagram,,False,1752752618.280614,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752753215.5984302,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752753407.429823,Asia/Kolkata,closedApp,
breathingExercise,clashOfClans,1.5,False,1752753543.002466,Asia/Kolkata,openedApp,Entertainment
,clashOfClans,,False,1752754997.034178,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752755144.32581,Asia/Kolkata,openedApp,Entertainment
,snapchat,,False,1752755254.955696,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752757757.106351,Asia/Kolkata,openedApp,Entertainment
breathingExercise,instagram,1.5,False,1752757934.926038,Asia/Kolkata,dismissedAppOpening,
,instagram,,False,1752757788.642885,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752760124.2077808,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752760917.800096,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752760924.523855,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752761168.756645,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752762202.874007,Asia/Kolkata,openedApp,Entertainment
,snapchat,,False,1752762321.040822,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752764579.6612248,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752764952.9620218,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752764960.62493,Asia/Kolkata,openedApp,Relax
breathingExercise,youtube,1.5,False,1752765081.802465,Asia/Kolkata,dismissedAppOpening,
,snapchat,,False,1752765004.169396,Asia/Kolkata,closedApp,
breathingExercise,youtube,1.5,False,1752765099.436229,Asia/Kolkata,openedApp,Relax
breathingExercise,youtube,1.5,False,1752765558.738097,Asia/Kolkata,openedApp,Entertainment
breathingExercise,youtube,1.5,False,1752765643.293288,Asia/Kolkata,openedApp,Relax
breathingExercise,instagram,1.5,False,1752765959.171548,Asia/Kolkata,openedApp,Relax
,instagram,,False,1752766001.922998,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752766640.114953,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752768006.905507,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752768029.3390598,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752768867.481059,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752769113.6601381,Asia/Kolkata,closedApp,
breathingExercise,clashOfClans,1.5,False,1752769444.244326,Asia/Kolkata,openedApp,Relax
,clashOfClans,,False,1752770257.44174,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752770261.145438,Asia/Kolkata,dismissedAppOpening,
breathingExercise,snapchat,1.5,False,1752770364.249837,Asia/Kolkata,openedApp,Relax
,snapchat,,False,1752770431.317863,Asia/Kolkata,closedApp,
breathingExercise,instagram,1.5,False,1752774982.765112,Asia/Kolkata,openedApp,Entertainment
,instagram,,False,1752775177.4898129,Asia/Kolkata,closedApp,
breathingExercise,snapchat,1.5,False,1752775185.707038,Asia/Kolkata,openedApp,Entertainment
,snapchat,,False,1752775314.920243,Asia/Kolkata,closedApp,
breathingExercise,youtube,1.5,False,1752775419.814497,Asia/Kolkata,openedApp,Relax
breathingExercise,instagram,1.5,False,1752778150.762278,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752778162.413589,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752781712.860509,Asia/Kolkata,openedApp,Entertainment
