interventionType,resolution,timestamp,purpose,timezone,interventionDuration,isReIntervention,app,timeIntervalUntilReIntervention
breathingExercise,openedApp,1750876649.411611,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,600.0
,closedApp,1750876712.287868,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750877364.857489,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750917945.443002,Tjek likes,Europe/Copenhagen,1.5,False,instagram,300.0
,closedApp,1750918129.294738,,Europe/Copenhagen,,False,instagram,
,closedApp,1750918200.305983,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750918582.368232,Tjek likes,Europe/Copenhagen,1.5,False,tikTok,300.0
,closedApp,1750918888.985903,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750919346.607646,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750923369.9529839,Find information,Europe/Copenhagen,1.5,False,instagram,480.0
,closedApp,1750923406.358603,,Europe/Copenhagen,,False,instagram,
,closedApp,1750923483.842103,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750933541.297205,Toilet,Europe/Copenhagen,1.5,False,tikTok,300.0
,closedApp,1750933692.583569,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750933907.426289,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750935491.871202,Lave et opslag,Europe/Copenhagen,1.5,False,instagram,300.0
,closedApp,1750935797.402791,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750935805.5850081,Lave et opslag,Europe/Copenhagen,1.5,True,instagram,600.0
,closedApp,1750936251.437387,,Europe/Copenhagen,,False,instagram,
,closedApp,1750936297.1311579,,Europe/Copenhagen,,False,instagram,
,closedApp,1750938936.182581,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750938985.5021281,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,600.0
,closedApp,1750939589.917778,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750939599.305891,Lave et opslag,Europe/Copenhagen,1.5,True,tikTok,600.0
,closedApp,1750939936.927254,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750940192.505656,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750940201.908156,Lave et opslag,Europe/Copenhagen,1.5,True,tikTok,240.0
,closedApp,1750940270.143577,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750955765.432867,Hold dig opdateret,Europe/Copenhagen,1.5,False,facebook,300.0
,closedApp,1750955871.3427172,,Europe/Copenhagen,,False,facebook,
,closedApp,1750956122.383974,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1750956138.484812,Hold dig opdateret,Europe/Copenhagen,1.5,True,facebook,300.0
,closedApp,1750956303.903276,,Europe/Copenhagen,,False,facebook,
,closedApp,1750956334.631647,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1750964502.659357,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,660.0
,closedApp,1750964615.982383,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750964946.5258222,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750973818.3654509,Hold dig opdateret,Europe/Copenhagen,1.5,False,instagram,480.0
,closedApp,1750974142.2377548,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751007819.767895,Hold dig opdateret,Europe/Copenhagen,1.5,False,instagram,300.0
,closedApp,1751008008.927946,,Europe/Copenhagen,,False,instagram,
,closedApp,1751008140.453526,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751008162.681761,Undslippe / Undgå,Europe/Copenhagen,1.5,False,tikTok,300.0
,closedApp,1751008468.14214,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751008478.3134232,Undslippe / Undgå,Europe/Copenhagen,1.5,True,tikTok,600.0
,closedApp,1751009082.408742,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751009093.8454862,Undslippe / Undgå,Europe/Copenhagen,1.5,True,tikTok,240.0
,closedApp,1751009335.6572142,,Europe/Copenhagen,,False,tikTok,
,closedApp,1751009490.0181189,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751011555.782291,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,600.0
,closedApp,1751012161.748674,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751012170.1902828,Undslippe / Undgå,Europe/Copenhagen,1.5,True,tikTok,300.0
,closedApp,1751012258.233654,,Europe/Copenhagen,,False,tikTok,
,closedApp,1751012927.296612,,Europe/Copenhagen,,False,tikTok,
,closedApp,1751013179.304275,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751037567.53154,Hold dig opdateret,Europe/Copenhagen,1.5,False,facebook,300.0
,closedApp,1751037855.58463,,Europe/Copenhagen,,False,facebook,
breathingExercise,dismissedAppOpening,1751038036.3948789,,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,openedApp,1751038118.922422,Toilet,Europe/Copenhagen,1.5,False,tikTok,300.0
,closedApp,1751038311.240509,,Europe/Copenhagen,,False,tikTok,
,closedApp,1751038561.994353,,Europe/Copenhagen,,False,tikTok,
breathingExercise,dismissedAppOpening,1751039854.7945042,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1751054603.979176,Find information,Europe/Copenhagen,1.5,False,instagram,600.0
,closedApp,1751054982.2842479,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1751055017.849796,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,900.0
,closedApp,1751055933.976716,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751055947.344698,Undslippe / Undgå,Europe/Copenhagen,1.5,False,tikTok,900.0
,closedApp,1751056859.744297,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751056869.232167,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,900.0
,closedApp,1751057770.147204,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751060737.024446,Find information,Europe/Copenhagen,1.5,False,facebook,540.0
,closedApp,1751060885.8011541,,Europe/Copenhagen,,False,facebook,
,closedApp,1751061303.505075,,Europe/Copenhagen,,False,facebook,
breathingExercise,dismissedAppOpening,1751061405.808845,,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,openedApp,1751061432.562093,Kan ikke sove,Europe/Copenhagen,1.5,False,facebook,480.0
,closedApp,1751061830.971035,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1751061932.944765,Kedsomhed,Europe/Copenhagen,1.5,False,facebook,600.0
breathingExercise,dismissedAppOpening,1751062006.1388369,,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,openedApp,1751062055.21025,Kan ikke sove,Europe/Copenhagen,1.5,False,facebook,600.0
,closedApp,1751062664.645002,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1751062676.6418061,Kedsomhed,Europe/Copenhagen,1.5,False,facebook,720.0
,closedApp,1751062898.326682,,Europe/Copenhagen,,False,facebook,
,closedApp,1751063211.020113,,Europe/Copenhagen,,False,facebook,
,closedApp,1751063386.276469,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1751063407.730424,Kan ikke sove,Europe/Copenhagen,1.5,False,facebook,600.0
,closedApp,1751063484.0868049,,Europe/Copenhagen,,False,facebook,
,closedApp,1751063673.8237262,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1751092645.238824,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,1200.0
,closedApp,1751093852.847971,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1751093869.971143,Kedsomhed,Europe/Copenhagen,1.5,True,tikTok,1020.0
,closedApp,1751094572.2749171,,Europe/Copenhagen,,False,tikTok,
,closedApp,1751094961.2146149,,Europe/Copenhagen,,False,tikTok,
