interventionType,interventionDuration,timezone,timestamp,resolution,app,isReIntervention
breathingExercise,1.5,Europe/Copenhagen,1751021463.700418,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751021938.9569669,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751022007.900305,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751022572.191393,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751037481.70838,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751040630.768365,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751042274.777514,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751042666.447276,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751044729.3452358,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751045036.939621,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751051766.775395,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751051816.715135,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751054302.5805578,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751055794.081414,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751058342.260902,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751095288.4914088,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751096536.8707008,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751099059.149904,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751100583.517816,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751103176.745078,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751104134.018372,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751105923.7503638,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751110084.701871,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751112932.839967,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751116917.942169,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751117752.8086262,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751123022.652905,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751127290.101619,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751132972.086602,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751133896.9382548,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751175835.798749,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751192210.868417,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751196483.705459,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751207895.043508,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751214631.847136,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751214932.363374,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751224706.181116,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751226849.939708,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751263399.341404,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751266454.000148,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751267976.132166,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751274016.277547,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751279494.504538,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751311970.0486212,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751316090.8025842,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751317327.533642,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751351676.082532,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751365761.531976,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751368758.832154,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751390107.443912,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751398268.749347,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751400909.210408,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751402470.319305,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751434120.914973,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751435956.418274,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751445241.017734,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751448012.890761,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751479815.9310389,dismissedAppOpening,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751479972.876824,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751481881.614044,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751482527.890617,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751487414.533531,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751545586.01418,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751610363.173491,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751625455.435559,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751625505.729301,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751637847.43474,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751660686.725246,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751743425.854068,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751746728.03377,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751803856.629571,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751805177.49733,openedApp,instagram,False
breathingExercise,1.5,Europe/Copenhagen,1751823031.2372808,openedApp,instagram,False
breathingExercise,3.0,Europe/Copenhagen,1751831416.694411,openedApp,instagram,False
breathingExercise,3.0,Europe/Copenhagen,1751831595.388092,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Berlin,1751889490.945832,openedApp,instagram,False
breathingExercise,3.0,Europe/Berlin,1751912714.992547,openedApp,instagram,False
breathingExercise,3.0,Europe/Berlin,1751912848.4689698,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Berlin,1751913645.0074391,openedApp,instagram,False
breathingExercise,3.0,Europe/Berlin,1751914504.8017368,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Berlin,1751914665.939615,openedApp,instagram,False
breathingExercise,3.0,Europe/Berlin,1751914763.2401052,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Berlin,1751918463.741658,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Berlin,1751979864.692183,openedApp,instagram,False
breathingExercise,3.0,Europe/Berlin,1751992863.0480142,openedApp,instagram,False
breathingExercise,3.0,Europe/Berlin,1752046305.170238,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752091444.258988,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752092222.263089,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752176753.646872,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752177692.471754,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752179330.198967,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752220572.939879,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752227997.48037,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752232960.826412,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752245379.1856918,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752263606.28743,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752265492.241301,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752267488.314543,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752299328.06807,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752305389.542485,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752305508.189924,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752309167.5788798,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752352636.5049329,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752353779.0919728,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752389676.3411322,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752389826.117906,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752423806.1224089,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752429245.441499,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752436524.780254,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752483213.286181,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752483296.574542,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752483929.3936648,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752484552.9666228,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752494963.016984,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752519159.253007,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752521530.2519631,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752530150.523154,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752530240.515161,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752530402.275707,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752565120.3274999,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752572665.800307,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752606872.9538422,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752612122.6373749,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752613865.4787889,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752667778.003401,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752673255.864526,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752674963.976109,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752676844.098477,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752685245.469439,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752690411.333996,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752694598.161983,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752697162.8774981,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752699470.815378,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752701048.547435,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752732784.079441,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752739753.763058,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752786010.710472,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752788166.682404,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752788583.366384,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752827350.671156,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752837583.0246801,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752859922.501182,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1752859958.210472,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752954867.795718,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752957061.058377,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1752999573.676007,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1753005488.597718,openedApp,instagram,False
breathingExercise,3.0,Europe/Paris,1753005688.7361112,dismissedAppOpening,instagram,False
breathingExercise,3.0,Europe/Paris,1753007438.904574,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753090767.139584,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753112311.5020618,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753131312.636266,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753131617.457065,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753167710.192723,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753173169.640919,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753190264.167068,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753203771.779735,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753205015.6301131,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753216570.515202,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753217620.376106,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753233497.135236,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753252693.9005451,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753286759.705128,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753289672.1923819,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753300500.943747,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753337227.700697,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753337878.970629,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753343112.13748,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753343732.9873161,openedApp,instagram,False
breathingExercise,6.0,Europe/Paris,1753352117.871366,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Paris,1753388161.0868158,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753514875.068804,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753522884.9926481,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753523611.91424,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753541094.7205958,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753551916.3775048,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753563047.654799,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753594698.946722,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753607056.298448,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753609137.6493502,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753619965.937242,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1753647671.072919,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753685326.84452,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753692489.0731812,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753707327.245668,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753708275.875684,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753708402.680999,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753716698.1422749,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753733824.147234,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753734286.178987,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753734359.94606,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753774286.193547,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753776218.2403688,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753776351.392716,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753791171.7121758,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753793040.018064,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753817543.6677408,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753822412.6173239,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753822900.080903,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753854396.533617,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753858546.5145879,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753858796.192379,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753859235.259108,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753860163.4728498,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753865333.5372949,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753865527.819802,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753877845.499012,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753880219.0600882,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753881688.899688,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753884413.536588,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753899696.853105,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753908331.4214559,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753908365.9836311,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753908771.435317,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753945136.761263,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753945735.2035131,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753947556.427504,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753951506.4136639,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753961377.001392,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753962199.5494719,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753965325.7643762,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753977273.701603,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Stockholm,1753985909.334813,openedApp,instagram,False
breathingExercise,6.0,Europe/Stockholm,1754026210.6348162,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754065272.343534,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754068044.995265,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754072008.9297009,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754073217.182785,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754075343.373204,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754075397.626095,dismissedAppOpening,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754079496.378172,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754164763.205883,openedApp,instagram,False
breathingExercise,6.0,Europe/Copenhagen,1754165588.766395,openedApp,instagram,False
