interventionType,isReIntervention,purpose,app,resolution,interventionDuration,timezone,timestamp,terminationReason
,0.0,,instagram,closedApp,,Asia/Kolkata,1750324976.84674,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750325099.3672628,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750333822.3689299,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750333910.181735,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750334006.139762,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750336103.78292,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750336160.5747042,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750337567.911211,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750337674.186047,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750338038.535033,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750338404.436476,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750338520.700599,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750343087.754754,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750343116.4543738,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750343193.783989,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750343337.300898,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750343340.967593,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750343405.158863,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750344529.565279,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750344572.3415341,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750346705.134455,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750346722.474458,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750389732.123883,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750389944.4869251,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750390115.718378,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750390158.740047,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750390307.464292,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750392414.746529,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750393477.454262,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750393671.875948,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750394257.913147,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750394261.326859,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750396066.201723,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750396069.829805,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750396200.683768,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750396299.595522,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750397608.262486,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750397654.816008,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750398251.631454,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750398577.28555,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750398637.275841,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750399286.217721,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750399378.0480971,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750401340.034159,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750401421.7520351,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750401601.795747,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750403345.6897569,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750403797.144267,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750404298.215132,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750404627.6944609,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750405018.661807,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750405029.9166021,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750406677.863302,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750407246.454644,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750406730.696752,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750406987.1436229,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750413534.570164,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750413663.045783,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750413780.109703,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750419425.442287,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750419486.332705,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750419560.003162,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750419652.393647,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750419963.57859,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750420010.9688249,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750421898.5017772,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750422025.589633,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750421933.601541,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750429556.724004,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750429794.63253,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750430012.462284,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750430062.537171,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750430540.520236,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750432305.15127,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750432345.6569772,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750432407.4511418,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750435356.596278,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750435442.417952,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750435905.0393848,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750436973.04403,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750437063.234,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750469460.803828,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750469876.635328,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750471194.831542,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750471243.21089,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750471306.162782,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750471867.394275,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750471897.5524158,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750471983.356808,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750473813.952322,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750473868.115079,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750474770.926547,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750478679.560507,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750478832.159305,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750479294.796813,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750482999.942373,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750483094.525425,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750484218.777097,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750484293.1404262,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750485228.133951,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750485545.325012,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750487527.203475,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750487617.372473,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750487848.882652,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750487892.250392,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750488059.66764,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750489363.5224628,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750489606.788611,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750490263.170831,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750490759.555249,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750492898.2962332,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750490822.0234551,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750492932.098505,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750494879.985199,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750495835.027369,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750496029.6749392,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750496787.592459,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750496829.309794,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750496920.956387,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750496929.37494,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750497439.387435,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750498716.8562012,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750503296.464353,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750503317.3298578,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750505643.636956,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750505704.474211,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750505961.2165298,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750506018.965363,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750506349.960418,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750511473.56126,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750515038.757327,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750511580.16783,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750515140.107502,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750515322.6691852,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750515621.166628,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750515672.710778,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750516207.356147,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750517878.859655,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750517898.006947,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750518069.648519,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750519700.470285,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750519912.884634,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750520178.816633,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750520633.952802,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750520793.668919,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750520849.961925,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750521026.393286,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750521215.909284,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750521330.280647,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750521698.046915,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750523410.687457,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750524214.447818,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750559351.995125,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750559460.175432,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750559563.685828,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750561683.046177,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750561724.722279,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750561850.24677,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750563842.461204,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750564828.327115,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750566696.9713058,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750567534.512467,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750567971.390403,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750568025.417925,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750568272.545937,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750569345.299234,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750569991.791681,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750570009.7150931,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750571612.289566,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750571693.09467,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750571717.5085301,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750572404.222991,
breathingExercise,0.0,,facebook,dismissedAppOpening,1.5,Asia/Kolkata,1750572634.219943,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750574460.783897,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750574556.7687302,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750576917.793766,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750577547.703041,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750577592.46237,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750577690.268599,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750577746.708997,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750578700.5214891,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750579436.7739,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750579532.766144,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750579573.36375,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750580023.408873,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750580076.55792,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750581314.712902,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750581391.513709,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750581869.635007,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750582685.802196,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750582828.9846559,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750582987.891715,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750583404.3433828,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750583897.8064961,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750584230.987874,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750584329.104614,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750590414.1195931,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750590462.97962,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750590555.886632,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750590672.826694,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750590692.308691,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750591038.2806091,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750591241.1937509,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750591354.4928842,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750591432.180264,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750591581.818574,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750591816.727055,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750594935.372647,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750594983.8501701,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750595139.589433,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750595149.5559158,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750597917.040343,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750598036.892796,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750598284.606149,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750598485.672014,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750599877.928781,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750599901.287387,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750600058.2715979,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750600148.435528,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750600417.974597,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750600460.642264,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750600478.256002,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750600956.323837,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750601092.248838,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750601115.757605,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750601504.438823,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750601537.668989,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750601609.33582,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750602289.998172,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750602321.778895,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750602560.712966,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750602824.516134,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750602857.7839642,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750604725.474361,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750604763.03952,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750606607.259112,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750606646.454459,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750606953.704947,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750650856.1777,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750650914.8965878,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750651617.092266,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750651682.20313,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750653092.1781259,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750653139.7670112,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750656148.012099,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750656186.932569,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750658652.6800919,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750658891.9217482,
breathingExercise,0.0,Message,facebook,openedApp,1.5,Asia/Kolkata,1750658933.616095,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750659065.604075,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750661945.454711,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750661983.340739,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750662614.9765139,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750662821.867378,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750663249.264378,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750663358.2913098,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750665018.127637,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750665073.0479112,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750666258.387541,
,,,,,,,1750666281.997344,terminatedByUser
