timestamp,timezone,resolution,purpose,app,interventionType,interventionDuration,isReIntervention
1754250915.743455,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754251027.949733,Europe/Berlin,closedApp,,instagram,,,False
1754251109.749255,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1754305732.808166,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1754305770.591949,Europe/Berlin,closedApp,,instagram,,,False
1754305958.0271192,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754306020.9703522,Europe/Berlin,closedApp,,instagram,,,False
1754316721.599196,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754316764.196635,Europe/Berlin,closedApp,,instagram,,,False
1754322020.747535,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754322107.1278539,Europe/Berlin,closedApp,,instagram,,,False
1754351645.385607,Europe/Berlin,openedApp,Kann nicht schlafen,instagram,breathingExercise,1.5,False
1754351687.583846,Europe/Berlin,closedApp,,instagram,,,False
1754351740.220104,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
