timezone,interventionType,app,resolution,isReIntervention,interventionDuration,timestamp,timeIntervalUntilReIntervention
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751571902.0995889,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751593110.712769,840.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751643342.630336,1080.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751643852.259941,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751643940.591868,720.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1751648490.636846,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751651131.2585912,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751651159.229991,480.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1751652362.2911038,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751652379.238027,60.0
America/Toronto,breathingExercise,instagram,openedApp,True,3.0,1751652454.0115151,480.0
America/Toronto,breathingExercise,instagram,openedApp,True,3.0,1751652951.760306,300.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751656777.0594091,780.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751717843.806028,300.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1751752990.238136,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751753028.894064,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751762938.6778588,720.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751763059.95365,300.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1751768162.3593102,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1751824598.277077,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751824614.7755551,600.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751827409.971149,180.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751827565.623509,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751827660.0010118,360.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751827776.802085,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751827913.885587,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751839102.449976,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751839425.287301,420.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1751888893.888613,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751889355.328075,360.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751891360.577127,240.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751895281.745738,780.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751895680.360424,300.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751895824.285151,360.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751902288.897122,600.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751902330.266583,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751902419.8800678,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751916889.972278,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751970045.747381,300.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751990597.7623281,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752016456.441162,660.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752016598.8534431,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752021265.219099,480.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752022796.939687,540.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752022883.836705,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752025944.289242,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752025976.008184,480.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752026030.973127,600.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752026222.482644,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752063030.9622831,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752063046.4577951,300.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752067636.527357,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752118543.664978,600.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752119328.673924,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752119435.293118,360.0
America/Toronto,breathingExercise,instagram,openedApp,True,3.0,1752119815.948586,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752142846.6383262,300.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752143976.78833,660.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752144014.1904101,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752169865.713039,240.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752229622.300881,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752229634.148633,420.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752230073.08891,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752230079.27533,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752230092.062121,540.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752230318.737578,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752230396.796733,720.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752230634.17381,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752230737.216115,540.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752230792.82261,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752230795.59712,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752250142.4613528,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752257340.669104,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752257373.326954,480.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752263331.211204,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752263344.074472,480.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752288523.71388,600.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752288714.491034,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752296082.834549,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752328784.971725,900.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752328969.238447,720.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752356997.287153,840.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369091.5092468,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369127.075336,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369129.7333689,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369132.5416589,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369136.1041641,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369139.0150619,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369141.194613,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369143.514649,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752369145.92423,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752418580.014227,840.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752433738.590842,420.0
America/Toronto,breathingExercise,instagram,openedApp,True,3.0,1752434180.928366,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752435008.628354,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752453679.20465,540.0
America/Toronto,breathingExercise,instagram,openedApp,True,3.0,1752454728.1745791,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752456052.9550471,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752456065.734046,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752456066.964088,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752456084.5892792,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752500786.682088,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752500791.433918,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752548374.004623,840.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752548817.771858,720.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752549260.896943,1440.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752549384.852359,600.0
America/Toronto,breathingExercise,instagram,openedApp,True,3.0,1752550001.773207,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752587178.729924,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752593845.4990358,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752606236.9646,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752606253.323021,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752615467.262103,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,3.0,1752616236.5942879,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752627946.184311,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752628199.5059261,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752635152.7668362,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752661811.2516751,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752675151.654634,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752683107.798233,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752711402.3018851,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752716433.907548,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752716525.356983,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1752723716.710421,1500.0
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752749434.635199,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752757835.959049,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752773905.476013,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752773932.526829,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752777462.427009,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752777468.19491,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752803238.5632172,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752855031.524794,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752855073.099903,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752855222.543899,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752865419.265008,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752881927.180861,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752882264.280191,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752886677.512492,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752887023.835888,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752888002.470808,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752890348.362763,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752895480.945263,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752895615.680357,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752895799.509671,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752896072.327147,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752896358.1132221,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752898567.898001,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752921936.734976,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752923295.6316319,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752928862.3884091,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752945995.2209492,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752946735.774287,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752966287.6879869,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752968022.5863829,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752971058.4748511,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752971603.6686258,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752978354.729636,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752980775.214093,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1752980777.4352422,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752980797.4829478,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1752983025.958202,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753000981.279036,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753033841.9509459,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044157.06703,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044161.3973699,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044164.824304,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044169.3957171,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044172.623114,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044175.850667,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044179.813827,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044182.4487538,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044185.1038508,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044188.0838141,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044191.140983,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044193.567132,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044203.685614,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044205.993228,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044208.5698771,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044211.5314069,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753044213.899626,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753069985.800171,
