interventionDuration,timestamp,timezone,app,isReIntervention,resolution,interventionType,purpose
1.5,1753725389.82896,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753725884.856422,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753726605.7531018,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753729573.230916,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753730929.364419,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753732646.614162,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753732820.399324,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753732824.466543,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753733103.658679,Europe/Rome,instagram,False,openedApp,breathingExercise,Toilet
1.5,1753733950.011715,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753733957.627743,Europe/Rome,instagram,False,openedApp,breathingExercise,Toilet
1.5,1753735463.19128,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753735652.397396,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753735658.31407,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753735663.0389462,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
