resolution,interventionType,app,interventionDuration,timezone,timestamp,isReIntervention,purpose
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752501864.4860911,False,Message
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752502008.5609632,False,Message
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752533060.404032,False,
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752533160.4569778,False,Entertainment
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752540200.3755841,False,Message
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752550586.399424,False,Message
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752566502.6902041,False,Message
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752571138.074708,False,
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752573980.049751,False,Message
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752574233.972921,False,Message
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752575838.548242,False,Message
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752577505.7890701,False,Message
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752578505.70428,False,Search Info
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752581327.83163,False,
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752592649.464257,False,Message
dismissedAppOpening,breathingExercise,red,3.0,Asia/Hong_Kong,1752593750.152878,False,
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752595167.852766,False,Escape / Avoid
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752620867.095017,False,Message
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752629279.5684881,False,Message
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752631515.0091681,False,Message
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752644309.1700091,False,Search Info
dismissedAppOpening,breathingExercise,red,3.0,Asia/Hong_Kong,1752653028.695622,False,
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752653095.0937681,False,Search Info
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752672832.086666,False,Stay In the Loop
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752672961.271313,False,
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752753100.547697,False,Stay In the Loop
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752758745.836582,False,Stay In the Loop
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752793055.628027,False,
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752793158.482753,False,Stay In the Loop
dismissedAppOpening,breathingExercise,red,3.0,Asia/Hong_Kong,1752793626.848504,False,
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752852464.2366319,False,
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752915384.8371692,False,Entertainment
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1752938644.705508,False,
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1752976822.9034839,False,Entertainment
openedApp,breathingExercise,red,3.0,Asia/Hong_Kong,1753021010.532755,False,Entertainment
openedApp,breathingExercise,instagram,3.0,Asia/Hong_Kong,1753054540.776521,False,Stay In the Loop
dismissedAppOpening,breathingExercise,instagram,3.0,Asia/Hong_Kong,1753063194.044358,False,
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753066681.159754,False,Message
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753080226.018488,False,Message
openedApp,breathingExercise,red,6.0,Asia/Hong_Kong,1753099444.6444302,False,Stay In the Loop
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753102020.241987,False,Stay In the Loop
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753109277.435061,False,Post something
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753162414.4742079,False,Message
