interventionDuration,purpose,timeIntervalUntilReIntervention,timestamp,isReIntervention,timezone,resolution,app,interventionType
1.5,Stay In the Loop,300.0,1748742231.911553,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748742277.827193,False,America/New_York,closedApp,instagram,
,,,1748742358.069206,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748742822.51127,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748742858.275178,False,America/New_York,closedApp,instagram,
,,,1748743301.268118,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748743399.776999,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748743391.0293179,False,America/New_York,closedApp,instagram,
,,,1748743475.983057,False,America/New_York,closedApp,instagram,
1.5,,,1748744297.7644448,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Search Info,300.0,1748746054.983004,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748746147.2616901,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748748154.542258,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Message,300.0,1748759010.674516,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748759033.284189,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748761021.7421188,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748761057.584594,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748762443.483757,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748762563.475188,False,America/New_York,closedApp,instagram,
1.5,Entertainment,300.0,1748762573.923202,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748762881.2572389,False,America/New_York,closedApp,twitter,
1.5,,,1748786500.737306,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Message,300.0,1748793479.224594,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748793691.8008351,False,America/New_York,closedApp,instagram,
1.5,Bored,300.0,1748795919.310614,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748795990.067138,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748802978.755971,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748803027.107356,False,America/New_York,closedApp,instagram,
,,,1748803219.569668,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748803892.043659,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748803909.9534512,False,America/New_York,closedApp,instagram,
1.5,,,1748804548.5635629,False,America/New_York,dismissedAppOpening,twitter,breathingExercise
1.5,Post something,300.0,1748805323.3562598,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748805457.879596,False,America/New_York,closedApp,instagram,
1.5,Post something,300.0,1748805703.824829,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748805694.143892,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748806014.752509,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748806008.091105,False,America/New_York,closedApp,instagram,
1.5,Post something,300.0,1748806324.823633,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748806319.255446,False,America/New_York,closedApp,instagram,
,,,1748806388.606251,False,America/New_York,closedApp,instagram,
,,,1748806637.8803492,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748806674.039482,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748806798.008892,False,America/New_York,closedApp,twitter,
1.5,Check likes,300.0,1748807018.554934,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748807232.392981,False,America/New_York,closedApp,instagram,
1.5,Entertainment,300.0,1748807357.835791,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748807351.427796,False,America/New_York,closedApp,instagram,
,,,1748807421.485177,False,America/New_York,closedApp,instagram,
1.5,,,1748807774.953546,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Stay In the Loop,300.0,1748807839.818681,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748807989.463877,False,America/New_York,closedApp,twitter,
1.5,Search Info,300.0,1748808007.555162,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748808267.135242,False,America/New_York,closedApp,instagram,
1.5,Check likes,300.0,1748810150.9886909,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748810300.521236,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748810314.2056808,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748810450.251545,False,America/New_York,closedApp,twitter,
,,,1748810508.532866,False,America/New_York,closedApp,twitter,
1.5,Stay In the Loop,300.0,1748815886.411605,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Stay In the Loop,300.0,1748816201.877836,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748816194.164293,False,America/New_York,closedApp,instagram,
,,,1748816246.605184,False,America/New_York,closedApp,instagram,
1.5,Check likes,300.0,1748817286.758256,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Check likes,300.0,1748817600.012588,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748817590.7344809,False,America/New_York,closedApp,instagram,
,,,1748817967.7407289,False,America/New_York,closedApp,instagram,
