interventionType,app,interventionDuration,resolution,timezone,isReIntervention,timestamp,purpose,timeIntervalUntilReIntervention,terminationReason
,brave,,closedApp,Europe/Paris,0.0,1749647736.574584,,,
,brave,,closedApp,Europe/Paris,0.0,1749648221.3649158,,,
,brave,,closedApp,Europe/Paris,0.0,1749648385.93543,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749661012.242447,,360.0,
,instagram,,closedApp,Europe/Paris,0.0,1749661154.813871,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1749663586.80446,,,
,instagram,,closedApp,Europe/Paris,0.0,1749661385.2960649,,,
,instagram,,closedApp,Europe/Paris,0.0,1749711363.1744351,,,
,instagram,,closedApp,Europe/Paris,0.0,1749714514.43346,,,
,instagram,,closedApp,Europe/Paris,0.0,1749725220.5329452,,,
,instagram,,closedApp,Europe/Paris,0.0,1749725259.006758,,,
,instagram,,closedApp,Europe/Paris,0.0,1749725326.5679479,,,
,instagram,,closedApp,Europe/Paris,0.0,1749725868.293864,,,
,instagram,,closedApp,Europe/Paris,0.0,1749727687.4514809,,,
,instagram,,closedApp,Europe/Paris,0.0,1749728834.306621,,,
,instagram,,closedApp,Europe/Paris,0.0,1749728893.9614348,,,
,instagram,,closedApp,Europe/Paris,0.0,1749728949.769213,,,
,instagram,,closedApp,Europe/Paris,0.0,1749735970.47126,,,
,instagram,,closedApp,Europe/Paris,0.0,1749741126.749772,,,
,instagram,,closedApp,Europe/Paris,0.0,1749742690.84446,,,
,instagram,,closedApp,Europe/Paris,0.0,1749743138.4764009,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749723409.1092448,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749723604.309595,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749725408.637453,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749737940.778805,,,
,brave,,closedApp,Europe/Paris,0.0,1749663697.7806869,,,
,brave,,closedApp,Europe/Paris,0.0,1749665300.766639,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1749746138.244415,,,
,brave,,closedApp,Europe/Paris,0.0,1749746182.3833241,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1749746530.408056,,,
,brave,,closedApp,Europe/Paris,0.0,1749747320.4264889,,,
,brave,,closedApp,Europe/Paris,0.0,1749747384.67659,,,
,brave,,closedApp,Europe/Paris,0.0,1749747610.357476,,,
,tinder,,closedApp,Europe/Paris,0.0,1749754684.637532,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749755650.6501641,,,
,instagram,,closedApp,Europe/Paris,0.0,1749794653.207294,,,
,instagram,,closedApp,Europe/Paris,0.0,1749801843.2557259,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749756630.1744409,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749815984.065264,,,
,brave,,closedApp,Europe/Paris,0.0,1749803504.046788,,,
,brave,,closedApp,Europe/Paris,0.0,1749804743.0238729,,,
,brave,,closedApp,Europe/Paris,0.0,1749817255.842692,,,
,brave,,closedApp,Europe/Paris,0.0,1749817571.0599089,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749827969.9052548,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749828079.9233,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749832409.151197,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749832483.537358,,,
,brave,,closedApp,Europe/Paris,0.0,1749837797.0916948,,,
,brave,,closedApp,Europe/Paris,0.0,1749837970.419872,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1749845000.18244,,,
,brave,,closedApp,Europe/Paris,0.0,1749846258.862382,,,
,brave,,closedApp,Europe/Paris,0.0,1749846738.0632281,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749884432.640511,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749885669.387563,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749886865.050179,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749887523.872199,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749887597.96805,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749887872.047044,,,
breathingExercise,snapchat,1.5,openedApp,Europe/Paris,0.0,1749889368.121896,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749889462.8984299,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749899603.202299,,120.0,
,instagram,,closedApp,Europe/Paris,0.0,1749899664.892727,,,
,instagram,,closedApp,Europe/Paris,0.0,1749899915.098864,,,
,instagram,,closedApp,Europe/Paris,0.0,1749900955.212959,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749911754.6448421,,240.0,
,instagram,,closedApp,Europe/Paris,0.0,1749911785.188126,,,
,instagram,,closedApp,Europe/Paris,0.0,1749911886.6197271,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749914367.795335,,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1749914508.39836,,,
,instagram,,closedApp,Europe/Paris,0.0,1749914675.718577,,,
,instagram,,closedApp,Europe/Paris,0.0,1749914697.267013,,,
breathingExercise,snapchat,1.5,openedApp,Europe/Paris,0.0,1749915780.24104,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749915883.353074,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749915908.186973,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749915970.454471,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749916068.742264,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749923264.6836681,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749923284.33491,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749923503.187845,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749924340.214711,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749929599.433341,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749929882.115078,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749929937.880317,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749941580.0488029,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749941617.2467098,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749945253.6247358,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1749981714.252799,,,
,brave,,closedApp,Europe/Paris,0.0,1749982257.7560349,,,
breathingExercise,snapchat,1.5,openedApp,Europe/Paris,0.0,1749985193.546633,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749985231.6062698,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749985242.982255,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749988512.1015081,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749988598.837137,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749988861.2913718,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1749989048.2108521,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1749989054.541724,,360.0,
,instagram,,closedApp,Europe/Paris,0.0,1749989408.7993798,,,
,instagram,,closedApp,Europe/Paris,0.0,1749989430.292089,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749996407.845345,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749996647.147307,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749997321.954498,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749998165.561386,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1750007809.32093,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1750007835.274893,,,
,instagram,,closedApp,Europe/Paris,0.0,1750013129.930259,,,
,instagram,,closedApp,Europe/Paris,0.0,1750013163.279436,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750072607.260408,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750072702.733356,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750076276.796951,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750079534.916805,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750080132.268079,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750090362.509344,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750090524.0104818,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1750090529.224047,,,
,brave,,closedApp,Europe/Paris,0.0,1750091406.5801911,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1750091908.962438,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750091948.213599,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1750092843.861408,,,
,brave,,closedApp,Europe/Paris,0.0,1750093281.111425,,,
,brave,,closedApp,Europe/Paris,0.0,1750103799.972423,,,
,brave,,closedApp,Europe/Paris,0.0,1750103851.67294,,,
,brave,,closedApp,Europe/Paris,0.0,1750104009.214005,,,
,brave,,closedApp,Europe/Paris,0.0,1750104067.205967,,,
breathingExercise,tikTok,1.5,dismissedAppOpening,Europe/Paris,0.0,1750105392.014823,,,
breathingExercise,brave,1.5,dismissedAppOpening,Europe/Paris,0.0,1750108013.718061,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1750178824.8271499,,360.0,
,instagram,,closedApp,Europe/Paris,0.0,1750179189.011152,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1750179193.935904,,660.0,
,instagram,,closedApp,Europe/Paris,0.0,1750179604.940126,,,
,instagram,,closedApp,Europe/Paris,0.0,1750179617.130501,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750187198.734321,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750187553.402822,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750187761.816656,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750188429.5114431,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1750188434.776507,,,
,brave,,closedApp,Europe/Paris,0.0,1750189552.033561,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1750223279.517369,,420.0,
,instagram,,closedApp,Europe/Paris,0.0,1750223706.056283,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1750223712.2507548,,420.0,
,instagram,,closedApp,Europe/Paris,0.0,1750224133.870796,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1750224138.9949641,,480.0,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1750224775.93046,,900.0,
,instagram,,closedApp,Europe/Paris,0.0,1750224452.198779,,,
,instagram,,closedApp,Europe/Paris,0.0,1750224469.6682448,,,
,instagram,,closedApp,Europe/Paris,0.0,1750224566.768796,,,
,instagram,,closedApp,Europe/Paris,0.0,1750224696.133285,,,
,instagram,,closedApp,Europe/Paris,0.0,1750225638.740798,,,
,instagram,,closedApp,Europe/Paris,0.0,1750234994.248462,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750228064.6139321,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1750266682.225881,,240.0,
,instagram,,closedApp,Europe/Paris,0.0,1750266752.384098,,,
,instagram,,closedApp,Europe/Paris,0.0,1750266848.2658439,,,
,instagram,,closedApp,Europe/Paris,0.0,1750266993.7033,,,
,instagram,,closedApp,Europe/Paris,0.0,1750348427.6700811,,,
,instagram,,closedApp,Europe/Paris,0.0,1750349335.3340359,,,
,instagram,,closedApp,Europe/Paris,0.0,1750349737.264065,,,
,instagram,,closedApp,Europe/Paris,0.0,1750410366.68207,,,
,instagram,,closedApp,Europe/Paris,0.0,1750412409.145102,,,
,instagram,,closedApp,Europe/Paris,0.0,1750433317.767517,,,
,instagram,,closedApp,Europe/Paris,0.0,1750433662.739954,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750317294.7655091,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750320970.9297829,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750321880.902324,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750323081.530551,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750323537.904482,,,
,brave,,closedApp,Europe/Paris,0.0,1750413778.981821,,,
,brave,,closedApp,Europe/Paris,0.0,1750413847.4736671,,,
breathingExercise,tikTok,3.0,dismissedAppOpening,Europe/Paris,0.0,1750454075.6272101,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750477177.821351,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1750477249.916244,,,
,instagram,,closedApp,Europe/Paris,0.0,1750477596.7117739,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750478423.171486,,240.0,
,instagram,,closedApp,Europe/Paris,0.0,1750502354.099561,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750503272.482584,,360.0,
,instagram,,closedApp,Europe/Paris,0.0,1750503286.012872,,,
,instagram,,closedApp,Europe/Paris,0.0,1750503719.713681,,,
,instagram,,closedApp,Europe/Paris,0.0,1750507632.8923469,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750518398.2378268,,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1750518414.30157,,,
,instagram,,closedApp,Europe/Paris,0.0,1750518477.444962,,,
breathingExercise,tinder,3.0,openedApp,Europe/Paris,0.0,1750519351.114952,,,
,tinder,,closedApp,Europe/Paris,0.0,1750519457.850102,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750519651.611113,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1750519837.77337,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,1.0,1750519846.88764,,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1750520149.882433,,,
breathingExercise,tinder,3.0,dismissedAppOpening,Europe/Paris,0.0,1750520361.0593581,,,
breathingExercise,tinder,3.0,dismissedAppOpening,Europe/Paris,0.0,1750520364.673421,,,
breathingExercise,tinder,3.0,dismissedAppOpening,Europe/Paris,0.0,1750520370.990715,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750524872.04282,,360.0,
,instagram,,closedApp,Europe/Paris,0.0,1750525298.972289,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,1.0,1750525308.074662,,900.0,
,instagram,,closedApp,Europe/Paris,0.0,1750525703.990216,,,
,instagram,,closedApp,Europe/Paris,0.0,1750526175.192528,,,
,instagram,,closedApp,Europe/Paris,0.0,1750526374.504951,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750526922.125547,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1750527016.3463712,,,
breathingExercise,tinder,3.0,openedApp,Europe/Paris,0.0,1750539995.8493571,,,
,tinder,,closedApp,Europe/Paris,0.0,1750544349.194423,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750575231.49965,,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1750575278.005995,,,
,instagram,,closedApp,Europe/Paris,0.0,1750577472.387917,,,
breathingExercise,tinder,3.0,openedApp,Europe/Paris,0.0,1750577496.9574971,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,0.0,1750582257.3323069,,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1750582513.28309,,,
,instagram,,closedApp,Europe/Paris,0.0,1750582598.527751,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,1.0,1750582607.139581,,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1750582916.414791,,,
breathingExercise,instagram,3.0,openedApp,Europe/Paris,1.0,1750582926.375828,,540.0,
,instagram,,closedApp,Europe/Paris,0.0,1750583458.1025162,,,
breathingExercise,tikTok,3.0,openedApp,Europe/Paris,0.0,1750583474.069586,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750583805.155225,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750585281.461872,,,
,tikTok,,closedApp,Europe/Paris,0.0,1750588336.138751,,,
breathingExercise,tikTok,3.0,dismissedAppOpening,Europe/Paris,0.0,1750590558.972233,,,
breathingExercise,tinder,3.0,openedApp,Europe/Paris,0.0,1750611456.7399879,,,
,tinder,,closedApp,Europe/Paris,0.0,1750611485.928767,,,
,tinder,,closedApp,Europe/Paris,0.0,1750611689.648005,,,
,tinder,,closedApp,Europe/Paris,0.0,1750611999.441143,,,
breathingExercise,instagram,3.0,dismissedAppOpening,Europe/Paris,0.0,1750622735.791452,,,
,tinder,,closedApp,Europe/Paris,0.0,1750665304.869286,,,
,,,,,,1750706300.0871081,,,terminatedByUser
