interventionDuration,isReIntervention,timezone,app,interventionType,timestamp,resolution,timeIntervalUntilReIntervention
1.5,False,America/Bogota,instagram,breathingExercise,1751555479.042283,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751555558.393219,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751555774.862508,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751561286.141097,openedApp,480.0
1.5,False,America/Bogota,instagram,breathingExercise,1751561511.13517,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751562430.308708,openedApp,1380.0
1.5,True,America/Bogota,instagram,breathingExercise,1751563839.324683,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751564587.779601,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751570791.836678,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751570973.897533,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751573738.8302422,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751578807.325354,openedApp,240.0
1.5,False,America/Bogota,instagram,breathingExercise,1751582270.761479,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751582883.7674131,openedApp,600.0
1.5,False,America/Bogota,instagram,breathingExercise,1751583517.6110868,openedApp,60.0
1.5,False,America/Bogota,instagram,breathingExercise,1751592711.663296,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751593438.862836,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751595997.396908,openedApp,840.0
1.5,False,America/Bogota,instagram,breathingExercise,1751597881.862729,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751597939.628457,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751597945.087096,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751597952.67587,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751598011.535058,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751598719.0840812,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751599127.5070372,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751599197.986913,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751599205.0693998,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751599651.924885,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751600227.370552,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751600408.483355,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751600411.231633,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751600665.294904,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751600800.519876,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751602134.359163,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751602591.391697,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751602642.010869,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751603141.278736,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751611442.146864,openedApp,1020.0
1.5,False,America/Bogota,instagram,breathingExercise,1751630873.543209,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751631819.102354,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751631908.816883,openedApp,840.0
1.5,True,America/Bogota,instagram,breathingExercise,1751632763.320489,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751638594.170399,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751640878.165241,openedApp,1080.0
1.5,False,America/Bogota,instagram,breathingExercise,1751640992.051035,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751641766.596374,openedApp,840.0
1.5,False,America/Bogota,instagram,breathingExercise,1751643478.039866,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751643485.421821,openedApp,960.0
1.5,False,America/Bogota,instagram,breathingExercise,1751643728.0282068,openedApp,960.0
1.5,False,America/Bogota,instagram,breathingExercise,1751644085.655555,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751644805.943252,openedApp,960.0
1.5,True,America/Bogota,instagram,breathingExercise,1751645779.665753,openedApp,840.0
1.5,False,America/Bogota,instagram,breathingExercise,1751653830.1894479,openedApp,960.0
1.5,True,America/Bogota,instagram,breathingExercise,1751658838.275004,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751659022.043192,openedApp,540.0
1.5,False,America/Bogota,instagram,breathingExercise,1751659091.102831,openedApp,960.0
1.5,False,America/Bogota,instagram,breathingExercise,1751659202.3465428,openedApp,840.0
1.5,False,America/Bogota,instagram,breathingExercise,1751665041.749634,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751665113.013422,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751665213.228184,openedApp,960.0
1.5,False,America/Bogota,instagram,breathingExercise,1751665336.266937,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751665456.615759,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751665825.423672,openedApp,960.0
1.5,False,America/Bogota,instagram,breathingExercise,1751669079.622158,openedApp,960.0
1.5,False,America/Bogota,instagram,breathingExercise,1751670633.7950149,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751671023.54538,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751671677.143923,openedApp,840.0
1.5,False,America/Bogota,instagram,breathingExercise,1751672000.75063,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751672009.6887789,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751672205.052783,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751672573.808198,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751673006.061791,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751673320.239198,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751673621.3974319,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751673708.5598211,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751674437.698415,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751674589.2227468,openedApp,1380.0
1.5,False,America/Bogota,instagram,breathingExercise,1751674837.9185839,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751674867.067295,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751674910.262928,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751675336.4707088,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751675367.785542,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751676218.874769,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751677543.042551,openedApp,1620.0
1.5,False,America/Bogota,instagram,breathingExercise,1751678375.4638228,openedApp,1680.0
1.5,False,America/Bogota,instagram,breathingExercise,1751679964.106707,openedApp,1320.0
1.5,False,America/Bogota,instagram,breathingExercise,1751680472.927415,openedApp,1260.0
1.5,False,America/Bogota,instagram,breathingExercise,1751681129.311503,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751681791.5496411,openedApp,1200.0
1.5,False,America/Bogota,instagram,breathingExercise,1751682913.769415,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751683708.243599,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751684567.853524,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751684824.829139,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751685355.1853662,openedApp,1440.0
1.5,False,America/Bogota,instagram,breathingExercise,1751685743.70302,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751685764.8227549,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751686756.425955,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751687884.0250769,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751688329.882777,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751689182.30111,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751690290.630927,openedApp,1680.0
1.5,False,America/Bogota,instagram,breathingExercise,1751690588.2959719,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751690601.1188312,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751690675.293724,openedApp,1680.0
1.5,False,America/Bogota,instagram,breathingExercise,1751690798.128159,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751690943.664403,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751691668.9624882,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751692892.1518822,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751715909.376467,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751715930.945603,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751716186.220821,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751717705.190393,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751717717.415172,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751718000.626865,openedApp,1440.0
1.5,False,America/Bogota,instagram,breathingExercise,1751718074.03882,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751720596.753773,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751721420.361854,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751730808.1278071,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751731335.978603,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751731544.293477,openedApp,1260.0
1.5,False,America/Bogota,instagram,breathingExercise,1751731588.41481,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751731696.833175,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751731774.783815,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751731781.318623,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751731859.03525,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751731876.610238,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751731963.446059,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732151.1300821,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732189.288087,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732234.159603,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751732242.580797,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732260.992299,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732312.046,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732341.11374,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732371.903429,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732412.0007548,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732491.402752,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751732588.171231,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751734208.762711,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751734307.501111,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751734858.902155,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751738226.2441459,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751738352.581042,openedApp,1800.0
1.5,True,America/Bogota,instagram,breathingExercise,1751738711.817051,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751739401.109498,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751741449.2550712,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751743650.256361,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751744703.002634,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751745020.949707,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751745619.343092,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751746716.241253,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751747388.658917,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751747511.663626,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751747713.489836,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751755051.331239,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751756874.865278,openedApp,1620.0
1.5,False,America/Bogota,instagram,breathingExercise,1751757311.622947,openedApp,1620.0
1.5,False,America/Bogota,instagram,breathingExercise,1751757350.124529,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751757608.847054,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751757617.782593,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751759538.966897,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751759684.9315,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751759807.3032799,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751760554.710417,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751760767.469167,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751761567.545687,openedApp,1680.0
1.5,False,America/Bogota,instagram,breathingExercise,1751761696.58728,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751762151.014596,openedApp,1560.0
1.5,False,America/Bogota,instagram,breathingExercise,1751763012.242167,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751767608.311901,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751769870.45648,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751771715.3492231,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751774231.4975219,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751774353.1990352,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751774453.424336,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751779893.283934,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751779976.384335,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751781911.446219,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751782547.542784,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751782720.700273,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751783758.932148,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751812322.9009252,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751813325.734242,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751814041.9118419,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751815579.900649,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751816482.0178242,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751816733.671688,openedApp,1560.0
1.5,False,America/Bogota,instagram,breathingExercise,1751816848.349825,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751818086.239862,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751818309.290565,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751818312.144259,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751818414.557778,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751820783.069845,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751823030.151442,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751823071.5842571,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751825460.583562,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751825770.355293,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751836017.919627,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751838311.943478,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751839131.9322371,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751847656.446131,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751847685.0050979,openedApp,120.0
1.5,False,America/Bogota,instagram,breathingExercise,1751848250.669019,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751848709.0322351,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751850205.5608191,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751858921.946506,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751859011.5949621,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751860460.0028548,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751864372.03479,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751864600.166287,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751897503.791294,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751897589.217931,openedApp,1680.0
1.5,False,America/Bogota,instagram,breathingExercise,1751897666.554305,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751899524.333719,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751899625.453968,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751900018.696495,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751900167.142355,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751902867.1567001,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751902948.0700998,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751904947.541805,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751905072.5670772,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751907220.0098991,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751907231.7468991,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751908089.567338,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751908139.646296,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751908885.65784,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751912118.7558908,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751914176.297899,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751918002.724848,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751921400.676014,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751925750.338441,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751933092.6713529,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751933296.95963,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751933400.3730512,openedApp,1380.0
1.5,False,America/Bogota,instagram,breathingExercise,1751939262.284377,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751940012.660465,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751940112.5255451,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751941793.925945,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751942132.58975,openedApp,1800.0
1.5,True,America/Bogota,instagram,breathingExercise,1751943957.4511142,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751944695.214377,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751944812.1057749,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751945242.376597,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751948343.457014,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751948429.461384,openedApp,1740.0
1.5,False,America/Bogota,instagram,breathingExercise,1751950291.1538181,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751954851.568983,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751980605.159484,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751980923.662922,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751981405.324051,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751987395.597606,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751988787.901588,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751989187.1178942,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751989829.365594,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751990254.8811998,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751990602.1955771,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751990638.043692,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751991147.9201,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751991213.686338,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751992684.344785,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751993513.679708,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1751993632.023593,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751993646.58589,openedApp,1800.0
1.5,True,America/Bogota,instagram,breathingExercise,1751995460.850924,openedApp,1620.0
1.5,False,America/Bogota,instagram,breathingExercise,1751997830.995141,openedApp,1320.0
1.5,True,America/Bogota,instagram,breathingExercise,1752011707.883709,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752013991.373008,openedApp,1200.0
1.5,False,America/Bogota,instagram,breathingExercise,1752014952.927195,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752015188.4646301,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752016084.3422809,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1752018169.175191,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752018928.3329759,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752021678.316042,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752028505.471624,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752028604.34578,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752033850.583858,openedApp,1800.0
1.5,True,America/Bogota,instagram,breathingExercise,1752035671.665705,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752067991.557837,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752069096.95532,openedApp,1800.0
1.5,False,America/Bogota,instagram,breathingExercise,1752069224.899229,openedApp,1800.0
