timestamp,interventionDuration,app,interventionType,isReIntervention,timezone,resolution,purpose,timeIntervalUntilReIntervention,terminationReason
1749147631.3244019,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749147830.352489,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749151276.868888,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749152181.4375482,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749156936.559297,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,300.0,
1749166605.155693,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749167093.518283,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749215949.3502212,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749215981.5392652,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Toilet,300.0,
1749215981.727899,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749215982.6000571,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749216082.266398,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749216108.831032,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749216410.0187402,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749216553.763082,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749218681.182209,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749218837.651902,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Stay In the Loop,600.0,
1749219389.891099,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,One more minute ,60.0,
1749219465.069098,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,180.0,
1749227872.8681211,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749227944.2924418,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749227958.417794,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749228016.4179559,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,300.0,
1749228096.241301,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749228111.7483501,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,660.0,
1749228240.434926,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,120.0,
1749229897.8988628,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749231759.6818929,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749232751.615807,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749236846.500417,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749236851.28859,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749239004.1547542,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749239004.2452059,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749240569.061697,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749240573.576563,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749240623.240727,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Entertainment,1800.0,
1749240924.0724869,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Entertainment,1320.0,
1749241055.242278,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Entertainment,1260.0,
1749241273.406443,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Entertainment,1200.0,
1749298439.80766,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749307093.812748,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749307407.430902,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749316670.763921,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749329201.4845572,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749330495.325786,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749332492.207963,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749332497.294065,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749332507.636008,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749332646.875051,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Message,480.0,
1749333068.814836,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749333204.720427,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,900.0,
1749334316.588835,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749334462.618657,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749336850.049378,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749347906.124084,40.0,shortcuts,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749381571.835293,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749381658.601295,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749386086.552589,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Entertainment,600.0,
1749393007.1112761,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749395149.187233,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Bored,600.0,
1749395976.9295502,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Bored,1800.0,
1749408145.830771,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Bored,1200.0,
1749411352.682451,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749413066.647966,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749432148.819442,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749472736.567435,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749477716.287696,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749477722.863791,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749478798.352504,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749483084.3342872,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749483091.162164,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749483623.514174,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749483688.9645638,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749483699.546146,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749483749.6703491,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Stay In the Loop,600.0,
1749483860.875866,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749483875.212902,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Stay In the Loop,1140.0,
1749484001.7179132,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749484609.288682,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,660.0,
1749485287.165111,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Message,300.0,
1749485288.146243,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749485839.271852,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749547531.628243,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749547550.1686249,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749547786.774306,1.5,instagram,breathingExercise,1.0,Europe/Dublin,dismissedAppOpening,,,
1749549250.747374,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749549429.780858,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749550891.6555629,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749553628.820485,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Toilet,1200.0,
1749553829.647887,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Toilet,600.0,
1749553909.593133,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749554274.490628,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749561060.0505629,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749571617.1811008,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749572034.927187,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749572038.8767161,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749572224.693896,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Stay In the Loop,240.0,
1749572481.7757668,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Message,300.0,
1749572665.76981,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749573043.111607,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749573061.063647,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Bored,1200.0,
1749573932.515243,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749574044.2905521,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Bored,720.0,
1749574783.928966,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Message,60.0,
1749574888.067409,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,60.0,
1749574950.936034,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,60.0,
1749575018.157577,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Entertainment,600.0,
1749578501.974856,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749578944.603117,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,One more minute ,60.0,
1749578945.296249,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749579018.113225,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Stay In the Loop,960.0,
1749579225.391788,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,720.0,
1749579345.1406431,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Toilet,540.0,
1749579901.114064,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,540.0,
1749579902.058907,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749579935.6680698,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749579950.500936,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749580016.016824,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749585209.587441,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749586435.931045,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749587745.1831532,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749642130.723495,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749642133.799326,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749642145.21523,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Message,1140.0,
1749642915.130554,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749643935.150691,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749645090.572011,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749646466.878947,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749647181.3884768,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749656678.591362,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749659364.656182,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,600.0,
1749659479.788816,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,One more minute ,540.0,
1749659807.142117,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Bored,1320.0,
1749659932.5705929,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Bored,1320.0,
1749660002.214308,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749660016.8635569,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,1680.0,
1749661654.877542,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749661691.847784,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749664244.368686,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749668042.596246,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749670912.681637,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749671633.961567,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749671674.1695561,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749672080.082613,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749681079.932938,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749681418.065,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749703345.964315,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,1200.0,
1749710276.1312199,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749714860.000344,,instagram,journaling,0.0,Europe/London,dismissedAppOpening,,,
1749714886.077781,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Bored,300.0,
1749715281.678184,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Bored,300.0,
1749729795.067467,,instagram,journaling,0.0,Europe/London,dismissedAppOpening,,,
1749729872.8316479,,instagram,journaling,0.0,Europe/London,dismissedAppOpening,,,
1749729907.3208199,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Waiting ,900.0,
1749731699.8116698,1.5,instagram,breathingExercise,0.0,Europe/London,dismissedAppOpening,,,
1749731721.5306,1.5,instagram,breathingExercise,0.0,Europe/London,dismissedAppOpening,,,
1749731757.289575,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Waiting ,360.0,
1749741500.448701,,instagram,journaling,0.0,Europe/London,dismissedAppOpening,,,
1749742779.89307,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Waiting ,780.0,
1749744309.8505,,instagram,journaling,0.0,Europe/London,dismissedAppOpening,,,
1749744315.0338202,,instagram,journaling,0.0,Europe/London,dismissedAppOpening,,,
1749748913.614491,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Waiting ,960.0,
1749749849.692555,,instagram,journaling,0.0,Europe/London,dismissedAppOpening,,,
1749749941.514061,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Waiting ,1200.0,
1749750028.579742,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Waiting ,1080.0,
1749750441.9755778,1.5,instagram,breathingExercise,0.0,Europe/London,dismissedAppOpening,,,
1749754810.325014,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Toilet,1380.0,
1749755277.842649,1.5,instagram,breathingExercise,0.0,Europe/London,openedApp,Toilet,480.0,
1749765008.9030519,,instagram,structured,0.0,Europe/London,dismissedByStructuredIntervention,,,
1749765025.705233,1.5,instagram,breathingExercise,1.0,Europe/London,openedApp,Waiting ,1200.0,
1749765027.809535,,instagram,structured,0.0,Europe/London,dismissedByStructuredIntervention,,,
1749841845.510222,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749842539.775954,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749844600.289216,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749844800.064812,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749845035.124258,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749848245.9956179,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749850839.168824,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749854559.847427,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749917237.018664,,instagram,journaling,0.0,Europe/Dublin,dismissedAppOpening,,,
1749926777.3103008,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749926783.640219,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749926985.364697,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749926989.638149,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749926993.976492,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749927055.288597,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749927093.121056,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Waiting ,540.0,
1749929482.1938481,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Waiting ,720.0,
1749929644.391933,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Waiting ,360.0,
1749952601.1526852,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Waiting ,300.0,
1749952923.052069,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,60.0,
1750011866.719526,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Waiting ,420.0,
1750012211.12578,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,One more minute ,60.0,
1750012287.808331,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Waiting ,660.0,
1750020533.3756971,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,One more minute ,660.0,
1750021209.0195,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Waiting ,480.0,
1750021523.843343,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Waiting ,780.0,
1750021817.155987,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Waiting ,600.0,
1750022435.489191,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,540.0,
1750022974.196947,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,600.0,
1750023576.5713391,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,One more minute ,1020.0,
1750027684.6276212,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1750027746.704537,,,,,,,,,terminatedByUser
