timestamp,interventionType,resolution,interventionDuration,app,timezone,isReIntervention,purpose,timeIntervalUntilReIntervention
1752090694.507693,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Langeweile,480.0
1752091190.528955,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Unterhaltung,120.0
1752116179.8361402,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752124016.3859959,journaling,dismissedAppOpening,,instagram,Europe/Berlin,False,,
1752124146.696682,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1752131967.503707,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Infos suchen,360.0
1752132031.56039,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752133913.028897,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752134046.4100761,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752134260.488855,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1752135555.535914,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752135812.6332412,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752140030.659831,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752140215.347806,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,300.0
1752140290.779146,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1752140370.445678,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752140630.245578,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752140993.461185,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752142108.485005,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752144202.177895,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752144944.101634,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752145494.175898,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752145591.04149,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752145816.903012,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752147524.800356,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
