timestamp,app,resolution,isReIntervention,interventionDuration,timezone,interventionType
1750480538.443421,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750482435.4844651,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750482830.628648,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750484767.449398,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750486223.093503,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750488307.261949,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750497810.146514,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750516945.6137152,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750519331.792636,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750524656.144011,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750529399.069055,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750537762.891298,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750541494.947191,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750573176.644433,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750573278.976101,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750573386.518248,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750574533.642346,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750574919.914339,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750576739.793092,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750578184.770784,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750581361.958358,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750597478.890316,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750598326.864812,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750598537.685217,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750605385.1632419,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750606435.172141,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750606441.1653419,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750606451.8695831,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750606562.318826,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750606723.824753,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750611675.944222,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750612115.8472319,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750612520.499198,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750613131.001251,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750613375.037023,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750613398.268651,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750613453.981215,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750613759.802771,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750613779.056874,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750613797.9454942,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750615564.294827,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750622038.381266,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750623101.604747,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750664415.386342,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750664573.210228,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750664610.25569,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750670247.326133,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750670612.608475,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750681235.379236,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750681244.233319,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750681419.214209,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750686392.197037,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750695197.770329,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750704525.8388,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750706305.1002579,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750706311.087223,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750707014.658618,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750737603.145391,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750737716.188365,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750737828.6254559,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750737846.127159,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750738493.039814,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750738750.0927792,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750739463.384362,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750739691.246742,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750741657.5092978,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750745317.429796,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750746809.97982,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750750167.059313,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750751745.7693,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750780553.498116,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750781529.224549,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750783489.8978171,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750783574.616662,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750786488.06945,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750787749.688761,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750820183.2591949,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750830032.081781,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750830298.674292,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750834826.308082,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750836425.501638,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750838375.523068,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750842003.6896849,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750842379.577654,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750842477.433447,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750843031.779007,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750843093.346631,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750843118.594104,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750844140.3225121,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750849706.6963592,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750849874.52169,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750864500.298966,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750864665.0307899,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750864844.9015388,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750865011.715993,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750865248.7112222,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750865348.954649,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750865400.153507,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750865478.4865541,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
