timezone,app,resolution,timestamp,isReIntervention,interventionType,interventionDuration,purpose
America/Monterrey,whastapp,dismissedAppOpening,1750272397.654027,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750272400.520448,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750272423.330257,False,breathingExercise,1.5,check other messages. 
America/Monterrey,whastapp,dismissedAppOpening,1750272897.576026,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750272914.819223,False,breathingExercise,1.5,replies y llamada Guido
America/Monterrey,instagram,dismissedAppOpening,1750272956.609055,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750273224.9896111,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750273241.975095,False,breathingExercise,1.5,llamada
America/Monterrey,whastapp,openedApp,1750277315.910552,False,breathingExercise,1.5,message comida
America/Monterrey,instagram,dismissedAppOpening,1750279317.022647,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750281155.364441,False,breathingExercise,1.5,check
America/Monterrey,whastapp,openedApp,1750281292.579675,False,breathingExercise,1.5,messages
America/Monterrey,whastapp,openedApp,1750283138.998142,False,breathingExercise,1.5,call
America/Monterrey,instagram,openedApp,1750283247.040128,False,breathingExercise,1.5,messages 
America/Monterrey,whastapp,openedApp,1750283337.32815,False,breathingExercise,1.5,calls
America/Monterrey,instagram,dismissedAppOpening,1750283521.4812279,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750283531.912204,False,breathingExercise,1.5,forgot
America/Monterrey,whastapp,openedApp,1750283679.763791,False,breathingExercise,1.5,mamá 
America/Monterrey,whastapp,openedApp,1750284119.8025188,False,breathingExercise,1.5,mom
America/Monterrey,instagram,openedApp,1750284192.733098,False,breathingExercise,1.5,nada
America/Monterrey,twitter,dismissedAppOpening,1750284339.3044949,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750287743.176244,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750287958.726012,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750289785.829428,False,breathingExercise,1.5,check
America/Monterrey,instagram,openedApp,1750289946.1343699,False,breathingExercise,1.5,check
America/Monterrey,whastapp,openedApp,1750290042.037414,False,breathingExercise,1.5,alex
America/Monterrey,instagram,dismissedAppOpening,1750290167.983252,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750290193.554661,False,breathingExercise,1.5,check
America/Monterrey,whastapp,dismissedAppOpening,1750290535.5164719,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750293097.2330089,False,breathingExercise,1.5,huracán 
America/Monterrey,whastapp,openedApp,1750296530.445414,False,breathingExercise,1.5,meeting
America/Monterrey,instagram,openedApp,1750296709.482244,False,breathingExercise,1.5,check
America/Monterrey,whastapp,openedApp,1750296807.268427,False,breathingExercise,1.5,reply 
America/Monterrey,whastapp,dismissedAppOpening,1750298841.1386209,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750298847.607569,False,journaling,,
America/Monterrey,whastapp,openedApp,1750298872.7154799,False,breathingExercise,1.5,address
America/Monterrey,whastapp,openedApp,1750300816.344459,False,breathingExercise,1.5,quedtion
America/Monterrey,instagram,dismissedAppOpening,1750301051.0295649,False,journaling,,
America/Monterrey,instagram,dismissedAppOpening,1750302021.208997,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750302470.099885,False,breathingExercise,1.5,reply
America/Monterrey,instagram,dismissedAppOpening,1750302602.014227,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750302810.6523619,False,breathingExercise,1.5,friends
America/Monterrey,instagram,openedApp,1750302843.420613,False,breathingExercise,1.5,friends
America/Monterrey,whastapp,dismissedAppOpening,1750304079.187525,False,breathingExercise,1.5,
America/Monterrey,twitter,openedApp,1750304093.902691,False,breathingExercise,1.5,news
America/Monterrey,twitter,openedApp,1750304310.069699,False,breathingExercise,1.5,newd
America/Monterrey,twitter,openedApp,1750304541.759337,False,breathingExercise,1.5,news 
America/Monterrey,instagram,dismissedAppOpening,1750304632.727778,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750305152.391475,False,breathingExercise,1.5,replies
America/Monterrey,instagram,dismissedAppOpening,1750305273.891011,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750307545.167479,False,breathingExercise,1.5,last
America/Monterrey,instagram,openedApp,1750307701.982409,False,breathingExercise,1.5,last
America/Monterrey,whastapp,dismissedAppOpening,1750330601.5353022,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750330622.115378,False,breathingExercise,1.5,first
America/Monterrey,whastapp,dismissedAppOpening,1750332635.621304,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750333721.193924,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750333997.4016519,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750334856.441231,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750339950.426021,False,breathingExercise,1.5,check
America/Monterrey,whastapp,openedApp,1750340304.823606,False,breathingExercise,1.5,check
America/Monterrey,whastapp,openedApp,1750346246.2743502,False,breathingExercise,1.5,mom
America/Monterrey,facebook,openedApp,1750346379.98449,False,breathingExercise,1.5,check 
America/Monterrey,instagram,openedApp,1750346447.0409698,False,breathingExercise,1.5,check
America/Monterrey,whastapp,openedApp,1750347008.366592,False,breathingExercise,1.5,cjeck on friends
America/Monterrey,whastapp,dismissedAppOpening,1750347209.322318,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750347221.187921,False,breathingExercise,1.5,check
America/Monterrey,whastapp,dismissedAppOpening,1750347363.102113,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750347841.303004,False,breathingExercise,1.5,friends
America/Monterrey,instagram,dismissedAppOpening,1750347975.175974,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750348053.173909,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750348254.806483,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750348595.9634519,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750348606.927054,False,breathingExercise,1.5,wait
America/Monterrey,whastapp,openedApp,1750348691.895341,False,breathingExercise,1.5,check
America/Monterrey,amazon,dismissedAppOpening,1750349948.390016,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750350319.153903,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750350620.178636,False,breathingExercise,1.5,doctor
America/Monterrey,whastapp,dismissedAppOpening,1750352702.6728659,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750352712.585357,False,breathingExercise,1.5,mom
America/Monterrey,instagram,dismissedAppOpening,1750353810.97295,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750353819.812755,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750353880.560307,False,breathingExercise,1.5,news to friends
America/Monterrey,instagram,dismissedAppOpening,1750354059.469753,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750354719.0121732,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750354797.481956,False,breathingExercise,1.5,message 
America/Monterrey,instagram,dismissedAppOpening,1750354883.967445,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750354899.830807,False,breathingExercise,1.5,1 min
America/Monterrey,whastapp,openedApp,1750355113.013515,False,breathingExercise,1.5,automessage 
America/Monterrey,instagram,dismissedAppOpening,1750355129.758782,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750362732.4679651,False,breathingExercise,1.5,messages 
America/Monterrey,instagram,openedApp,1750363093.608412,False,breathingExercise,1.5,messages
America/Monterrey,instagram,dismissedAppOpening,1750363419.309716,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750363822.337051,False,breathingExercise,1.5,message 
America/Monterrey,amazon,dismissedAppOpening,1750364586.950608,False,breathingExercise,1.5,
America/Monterrey,amazon,dismissedAppOpening,1750364590.5845761,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750364740.567556,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750364870.969156,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750366910.548825,False,breathingExercise,1.5,address
America/Monterrey,instagram,openedApp,1750367012.76281,False,breathingExercise,1.5,check
America/Monterrey,whastapp,openedApp,1750367874.487082,False,breathingExercise,1.5,mafer
America/Monterrey,twitter,dismissedAppOpening,1750368303.104814,False,breathingExercise,1.5,
America/Monterrey,twitter,openedApp,1750368320.33807,False,breathingExercise,1.5,check
America/Monterrey,whastapp,dismissedAppOpening,1750368430.20814,False,breathingExercise,1.5,
