interventionType,timezone,isReIntervention,timestamp,interventionDuration,resolution,app
breathingExercise,Asia/Karachi,False,1752656627.207876,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752656692.937284,1.5,dismissedAppOpening,instagram
breathingExercise,Asia/Karachi,False,1752656715.397047,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752657046.769234,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752657593.016172,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752657780.1062021,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752658304.671479,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752658376.506298,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752658448.748636,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752658838.6841888,1.5,dismissedAppOpening,instagram
breathingExercise,Asia/Karachi,False,1752658948.197799,1.5,dismissedAppOpening,instagram
breathingExercise,Asia/Karachi,False,1752659388.7569919,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752659518.408349,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752660048.462,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752661585.060878,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752662085.664592,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752663982.790689,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752664468.006822,1.5,dismissedAppOpening,instagram
breathingExercise,Asia/Karachi,False,1752665107.697516,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752666274.14012,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752666476.8618279,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752667329.477593,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752667330.384542,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752669619.1137872,1.5,dismissedAppOpening,instagram
breathingExercise,Asia/Karachi,False,1752669664.599992,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752670248.9178739,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752670317.1048222,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752670438.802167,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752670587.634534,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752670781.846847,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752670846.483564,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752670927.818495,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752671005.0449839,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752671148.353111,1.5,openedApp,instagram
breathingExercise,Asia/Karachi,False,1752671205.546321,1.5,openedApp,instagram
