app,timestamp,interventionType,interventionDuration,resolution,isReIntervention,timezone
instagram,1753858812.969561,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753861660.1465778,breathingExercise,3.0,dismissedAppOpening,False,Europe/Madrid
instagram,1753861704.027392,breathingExercise,3.0,dismissedAppOpening,False,Europe/Madrid
instagram,1753861744.106464,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753862621.8260732,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753870629.17915,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753870810.025085,breathingExercise,3.0,dismissedAppOpening,False,Europe/Madrid
instagram,1753870929.773425,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753872831.9948812,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753873029.665196,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753873210.225861,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753873633.4826121,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753873799.918212,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753873888.590524,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753873942.5511951,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753874124.554769,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753875665.989232,breathingExercise,3.0,dismissedAppOpening,False,Europe/Madrid
instagram,1753875729.8401341,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753877659.177548,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753885694.383419,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753890361.055388,breathingExercise,3.0,dismissedAppOpening,False,Europe/Madrid
instagram,1753916962.9444752,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753946919.653432,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753954112.593545,breathingExercise,3.0,dismissedAppOpening,False,Europe/Madrid
instagram,1753954231.511372,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753959276.356629,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753959403.306514,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1753992360.1207619,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754000483.385357,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754046516.629644,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754046832.693097,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754085560.3989282,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754123319.115639,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754124130.2097921,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754259716.477192,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754260588.9722838,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754260650.202049,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754264175.114912,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754304117.438562,breathingExercise,3.0,openedApp,False,Europe/Madrid
instagram,1754304234.74787,breathingExercise,3.0,openedApp,False,Europe/Madrid
