isReIntervention,timestamp,interventionType,app,timezone,interventionDuration,resolution,purpose
False,1750789414.719228,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750790980.272239,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750793316.153873,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750793326.364979,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750793823.73427,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750801312.508636,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750829702.935813,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750833451.433916,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750833575.477175,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750835807.616849,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750836434.9337,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750836973.068088,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750836980.842824,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750837692.028236,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750837813.462277,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750837824.17541,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750838467.087744,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750838475.97305,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Revisar me gusta
False,1750838705.309575,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750842324.207828,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750842819.6764169,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750842943.043323,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750842953.289844,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750843156.891848,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750843162.7518659,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750843221.508456,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750847312.207405,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750851926.48558,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Revisar me gusta
False,1750851980.728111,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750852552.1640038,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750853796.915067,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750854053.535499,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750857972.66554,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750858822.002078,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750858826.755202,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750859001.142319,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750859428.6631699,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Birra
False,1750859798.500056,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1750863755.0806642,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750863827.452426,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750864191.372437,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750869495.5313768,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750869502.855612,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Revisar me gusta
False,1750869669.163903,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750870252.391293,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mantente Informado
False,1750870889.754525,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750870927.920059,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Obsesionarse con un crush
False,1750871113.418803,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750871633.962985,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750875995.881139,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750876379.176652,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750876645.10268,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750876647.133213,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750876735.766299,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750877144.126271,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Relajarse
False,1750878488.816324,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750879621.871376,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750879633.086273,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750879996.953393,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750880817.864431,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750880869.595422,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750882238.3296099,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750883672.116133,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Relajarse
False,1750913389.961385,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750913398.8407722,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750913921.5834122,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750915368.333284,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750916113.925811,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750916125.4044762,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750919204.76763,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750921530.6550698,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750921540.849687,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1750921581.447639,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750921757.137495,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Escapar / Evitar
False,1750921789.63382,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750921796.5071049,breathingExercise,tikTok,Europe/Madrid,1.5,dismissedAppOpening,
False,1750922225.789623,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750922333.0455189,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750922453.700767,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750922637.695383,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750922641.006382,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750922645.352087,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750922827.890112,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750922836.394088,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750922924.312484,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750923178.5740352,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750926708.464261,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750929173.4042559,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750933616.8775148,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750933666.47464,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750937017.739033,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1750937594.360893,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750939393.280231,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1750939724.231432,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750939726.859548,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
