timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose
1750409211.599049,instagram,Europe/Berlin,False,closedApp,,,
1750410076.915426,instagram,Europe/Berlin,False,closedApp,,,
1750410373.5662498,instagram,Europe/Berlin,False,closedApp,,,
1750411224.89706,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750411278.04769,instagram,Europe/Berlin,False,closedApp,,,
1750412486.039194,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750412714.680659,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750412743.459667,instagram,Europe/Berlin,False,closedApp,,,
1750413379.445679,instagram,Europe/Berlin,False,closedApp,,,
1750413411.158828,instagram,Europe/Berlin,False,closedApp,,,
1750413429.2953959,instagram,Europe/Berlin,False,closedApp,,,
1750413459.566996,instagram,Europe/Berlin,False,closedApp,,,
1750415519.905939,instagram,Europe/Berlin,False,closedApp,,,
1750417265.047443,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750417329.4159331,instagram,Europe/Berlin,False,closedApp,,,
1750420146.561863,instagram,Europe/Berlin,False,closedApp,,,
1750422268.788354,instagram,Europe/Berlin,False,closedApp,,,
1750426785.251892,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750427633.33448,instagram,Europe/Berlin,False,closedApp,,,
1750428330.603179,instagram,Europe/Berlin,False,closedApp,,,
1750429481.8963819,instagram,Europe/Berlin,False,closedApp,,,
1750430190.658976,instagram,Europe/Berlin,False,closedApp,,,
1750430323.887806,instagram,Europe/Berlin,False,closedApp,,,
1750430702.363298,instagram,Europe/Berlin,False,closedApp,,,
1750431304.9867811,instagram,Europe/Berlin,False,closedApp,,,
1750431663.239451,instagram,Europe/Berlin,False,closedApp,,,
1750432637.412658,instagram,Europe/Berlin,False,closedApp,,,
1750433570.398615,instagram,Europe/Berlin,False,closedApp,,,
1750434708.141378,instagram,Europe/Berlin,False,closedApp,,,
1750434733.553125,instagram,Europe/Berlin,False,closedApp,,,
1750435040.937492,instagram,Europe/Berlin,False,closedApp,,,
1750435610.398987,instagram,Europe/Berlin,False,closedApp,,,
1750437217.594953,instagram,Europe/Berlin,False,closedApp,,,
1750437791.891587,instagram,Europe/Berlin,False,closedApp,,,
1750438473.83084,instagram,Europe/Berlin,False,closedApp,,,
1750439014.3559551,instagram,Europe/Berlin,False,closedApp,,,
1750439086.3752341,instagram,Europe/Berlin,False,closedApp,,,
1750439484.598705,instagram,Europe/Berlin,False,closedApp,,,
1750439500.062588,instagram,Europe/Berlin,False,closedApp,,,
1750441149.4059792,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750441172.717605,instagram,Europe/Berlin,False,closedApp,,,
1750441417.289612,instagram,Europe/Berlin,False,closedApp,,,
1750441536.770694,instagram,Europe/Berlin,False,closedApp,,,
1750441581.0988479,instagram,Europe/Berlin,False,closedApp,,,
1750443006.4450312,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Ablenkung
1750443043.147544,instagram,Europe/Berlin,False,closedApp,,,
1750443151.240222,instagram,Europe/Berlin,False,closedApp,,,
1750443916.0614672,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750444507.712188,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750444614.327043,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750444859.2429981,instagram,Europe/Berlin,False,closedApp,,,
1750445876.214696,instagram,Europe/Berlin,False,closedApp,,,
1750447537.8914418,instagram,Europe/Berlin,False,closedApp,,,
1750448012.162239,instagram,Europe/Berlin,False,closedApp,,,
1750448897.632502,instagram,Europe/Berlin,False,closedApp,,,
1750450079.9783359,instagram,Europe/Berlin,False,closedApp,,,
1750450287.802528,instagram,Europe/Berlin,False,closedApp,,,
1750451490.5821018,instagram,Europe/Berlin,False,closedApp,,,
1750452850.5079598,instagram,Europe/Berlin,False,closedApp,,,
1750452938.756455,instagram,Europe/Berlin,False,closedApp,,,
1750455487.40804,instagram,Europe/Berlin,False,closedApp,,,
1750455712.7700639,instagram,Europe/Berlin,False,closedApp,,,
1750457214.471206,instagram,Europe/Berlin,False,closedApp,,,
1750457842.438437,instagram,Europe/Berlin,False,dismissedAppOpening,journaling,,
1750457865.0211139,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750457921.1860461,instagram,Europe/Berlin,False,closedApp,,,
1750458053.8509421,instagram,Europe/Berlin,False,closedApp,,,
1750459660.150608,instagram,Europe/Berlin,False,closedApp,,,
1750490412.5354428,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Nachricht / Schreiben
1750490574.220584,instagram,Europe/Berlin,False,closedApp,,,
1750492084.865201,instagram,Europe/Berlin,False,closedApp,,,
1750492563.106758,instagram,Europe/Berlin,False,closedApp,,,
1750493155.583276,instagram,Europe/Berlin,False,closedApp,,,
1750493350.10036,instagram,Europe/Berlin,False,closedApp,,,
1750493518.8765101,instagram,Europe/Berlin,False,closedApp,,,
1750494471.758035,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750494540.279941,instagram,Europe/Berlin,False,closedApp,,,
1750494882.994032,instagram,Europe/Berlin,False,closedApp,,,
1750495501.3402429,instagram,Europe/Berlin,False,closedApp,,,
1750495769.6526031,instagram,Europe/Berlin,False,closedApp,,,
1750496337.120148,instagram,Europe/Berlin,False,closedApp,,,
1750501780.713398,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750501824.422339,instagram,Europe/Berlin,False,closedApp,,,
1750504159.021126,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750504316.315109,instagram,Europe/Berlin,False,closedApp,,,
1750504731.129953,instagram,Europe/Berlin,False,closedApp,,,
1750505000.530599,instagram,Europe/Berlin,False,closedApp,,,
1750505044.144534,instagram,Europe/Berlin,False,closedApp,,,
1750505656.0880551,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750505687.876721,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750505709.022752,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750505952.5358539,instagram,Europe/Berlin,False,closedApp,,,
