timezone,resolution,isReIntervention,timestamp,app,interventionType,interventionDuration
Europe/Brussels,openedApp,False,1753734600.652437,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1753765816.0882092,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1753773025.41451,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1753869246.114855,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1753893262.135263,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1753893426.184025,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754040925.928469,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754041560.6069732,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754047665.0629601,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754059177.785983,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754063446.055752,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1754070650.781919,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754072414.006202,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754074370.263361,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1754074555.322658,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754074607.774538,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754075215.129386,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754116023.8257298,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754125957.5520592,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754133214.092397,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1754140350.263699,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754163870.48793,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754166570.717008,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754266474.636454,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1754307260.294788,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754323509.649759,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1754323600.067305,facebook,breathingExercise,6
