app,timezone,isReIntervention,resolution,interventionDuration,timestamp,interventionType,purpose
youtube,Europe/Copenhagen,False,openedApp,6,1752094198.3849401,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752095083.8704472,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1752136487.138138,breathingExercise,Hold dig opdateret
facebook,Europe/Copenhagen,False,openedApp,6,1752136999.922421,breathingExercise,Hold dig opdateret
instagram,Europe/Copenhagen,False,openedApp,6,1752163746.781323,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1752174346.530758,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1752174581.9789171,breathingExercise,
instagram,Europe/Copenhagen,False,openedApp,6,1752178522.097424,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1752181528.2454472,breathingExercise,Afslapning
facebook,Europe/Copenhagen,False,openedApp,6,1752216669.167598,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1752259501.765069,breathingExercise,Hold dig opdateret
youtube,Europe/Copenhagen,False,openedApp,6,1752266524.282635,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752267449.305341,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752295098.963365,breathingExercise,Afslapning
facebook,Europe/Copenhagen,False,openedApp,6,1752300675.566381,breathingExercise,Lave et opslag
instagram,Europe/Copenhagen,False,dismissedAppOpening,6,1752302380.3925261,breathingExercise,
facebook,Europe/Copenhagen,False,openedApp,6,1752307013.1162791,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1752325478.751235,breathingExercise,
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1752325482.509172,breathingExercise,
facebook,Europe/Copenhagen,False,openedApp,6,1752343459.9662209,breathingExercise,Find information
instagram,Europe/Copenhagen,False,openedApp,6,1752344238.516166,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1752344833.341568,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1752351314.3805308,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752354757.1771278,breathingExercise,Underholdning
instagram,Europe/Copenhagen,False,openedApp,6,1752412456.9556599,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1752412620.2510362,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1752424548.124281,breathingExercise,Undslippe / Undgå
youtube,Europe/Copenhagen,False,openedApp,6,1752437903.61024,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752439568.502686,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1752509729.799377,breathingExercise,Hold dig opdateret
youtube,Europe/Copenhagen,False,openedApp,6,1752525790.1120129,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752526958.25286,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1752553262.501143,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1752608896.5096369,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1752646524.5886211,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1752662416.602745,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1752662683.81033,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1752702578.646721,breathingExercise,Hold dig opdateret
facebook,Europe/Copenhagen,False,openedApp,6,1752734051.094414,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1752786535.144917,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752875416.462823,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1752884456.979173,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1752960802.549844,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752961096.910908,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752966339.169845,breathingExercise,Kan ikke sove
facebook,Europe/Copenhagen,False,openedApp,6,1753018321.122751,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1753046253.3073568,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1753046269.2473822,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1753047131.165765,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1753086023.7694921,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1753129811.1980948,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,dismissedAppOpening,6,1753131227.312556,breathingExercise,
youtube,Europe/Copenhagen,False,dismissedAppOpening,6,1753131233.278575,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1753131251.3271399,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1753177101.368156,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1753187038.784229,breathingExercise,Undslippe / Undgå
instagram,Europe/Copenhagen,False,openedApp,6,1753187531.379928,breathingExercise,Undslippe / Undgå
facebook,Europe/Copenhagen,False,openedApp,6,1753194684.9209929,breathingExercise,Undslippe / Undgå
facebook,Europe/Copenhagen,False,openedApp,6,1753218629.207866,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1753218861.3647308,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1753219386.691252,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,dismissedAppOpening,6,1753221650.188272,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1753221674.152509,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1753314693.297071,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1753399984.981483,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,dismissedAppOpening,6,1753401626.889894,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1753403787.903864,breathingExercise,Kan ikke sove
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1753422269.2881489,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1753482254.193324,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1753565908.9298902,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1753607423.950033,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1753641711.334762,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1753646607.917053,breathingExercise,Undslippe / Undgå
youtube,Europe/Copenhagen,False,openedApp,6,1753648256.471663,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,dismissedAppOpening,6,1753680719.071712,breathingExercise,
facebook,Europe/Copenhagen,False,openedApp,6,1753718116.038636,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1753718557.117548,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1753736789.59728,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1753810833.6696072,breathingExercise,Undslippe / Undgå
facebook,Europe/Copenhagen,False,openedApp,6,1753811037.2324429,breathingExercise,Undslippe / Undgå
youtube,Europe/Copenhagen,False,dismissedAppOpening,6,1753819709.093694,breathingExercise,
youtube,Europe/Copenhagen,False,openedApp,6,1753819744.588317,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1753853523.130357,breathingExercise,Hold dig opdateret
youtube,Europe/Copenhagen,False,openedApp,6,1753907787.96104,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1753981112.499897,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1753996102.493758,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1754033202.839428,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1754033498.329119,breathingExercise,
facebook,Europe/Copenhagen,False,openedApp,6,1754034699.9396129,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1754037592.8308148,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1754069876.5628362,breathingExercise,Lave et opslag
youtube,Europe/Copenhagen,False,openedApp,6,1754080659.18414,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1754117039.821302,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1754134428.846359,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1754167081.431381,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1754169319.887542,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1754253898.522471,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1754333202.2416449,breathingExercise,Hold dig opdateret
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1754334384.912342,breathingExercise,
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1754334389.109983,breathingExercise,
