timezone,purpose,interventionType,app,timestamp,isReIntervention,resolution,interventionDuration
Europe/London,Stay In the Loop,breathingExercise,instagram,1754376163.010874,False,openedApp,6
Europe/London,Relax,breathingExercise,facebook,1754377739.956361,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754388465.553372,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754392598.173411,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754395185.865744,False,openedApp,6
Europe/London,Message,breathingExercise,instagram,1754397987.148277,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754411121.988085,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754411594.8216681,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754414147.8991508,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754415663.234963,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754417198.2143931,False,openedApp,6
Europe/London,Relax,breathingExercise,facebook,1754425669.0281591,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754427263.607054,False,openedApp,6
Europe/London,Entertainment,breathingExercise,tikTok,1754427298.465959,False,openedApp,6
