resolution,timestamp,interventionType,app,interventionDuration,timezone,isReIntervention
openedApp,1753203634.1516829,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753215228.8804522,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753216912.316747,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753217990.957376,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753219111.544414,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753219748.342334,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753222762.67351,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753223497.227431,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753228542.924028,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753229172.1198301,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753229685.440548,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753231628.971065,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753232125.665217,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753238631.42289,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753240796.9856548,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753242224.144686,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753243741.984081,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753249147.294701,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753271182.4252992,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753273534.7879682,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753273833.476969,breathingExercise,tikTok,6,America/Mexico_City,False
dismissedAppOpening,1753287902.6383228,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753287952.214227,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753290060.341805,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753290357.795085,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753290978.72825,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753294666.355617,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753295021.122923,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753301727.1344109,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753301879.0116758,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753302666.9559789,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753303123.683126,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753303152.060677,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753316676.246691,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753319499.355861,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753321966.8374991,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753322442.247696,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753323269.512625,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753324791.045758,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753325640.467475,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753326076.750309,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753327304.217608,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753327793.92276,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753331379.416183,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753331712.849057,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753332201.809225,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753332414.593577,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1753332435.913118,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753332454.261845,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753346535.929743,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753349080.6060681,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753349118.726774,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753349338.953814,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753349472.053053,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753351397.127532,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753351542.281176,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753352178.648985,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753361528.905726,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753362958.502003,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753372874.7986588,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753373752.916748,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753374802.235433,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753376419.182801,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753381599.9129992,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753382950.143095,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753384250.8419418,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753387953.299186,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753390796.4056978,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753391183.1221461,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753391250.7052732,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753397140.037242,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753398179.2828112,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753403414.010031,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753405913.0142698,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753407206.1224399,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753407476.4266891,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753407990.0653281,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753408195.026336,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753408770.6803741,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753413161.472074,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753413358.2243872,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753413728.472134,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753414989.686359,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753417711.9295878,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753418458.0822759,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753419715.554115,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753420060.0528111,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753442663.749586,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753442790.209605,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753447739.162068,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753448354.413714,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753449589.49049,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753454320.9251618,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753466711.914267,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753469374.185237,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753473787.71663,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753474077.512734,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753477286.016478,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753479095.733346,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753487581.918637,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753491307.8502312,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753494097.430338,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753494834.39292,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753496522.0031729,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753505022.499086,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753535718.7740722,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753539461.798312,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753541485.327333,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753554055.912605,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753556864.049316,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753559309.38159,breathingExercise,instagram,6,America/Mexico_City,False
