timezone,resolution,interventionDuration,isReIntervention,app,interventionType,timestamp
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750715613.3211699
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750715861.161109
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750716143.99866
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750716437.811243
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750716775.854027
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750717126.1153321
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750717420.9166741
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750717470.481392
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750718680.360629
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750719096.2253819
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750754958.2881188
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750772123.855894
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750774501.479995
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750778398.7096682
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750779081.766951
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750779982.333404
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750781360.169807
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750782380.283801
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750783070.663571
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750783254.8571
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750783421.231314
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750801591.895236
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750802077.902903
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750802772.61162
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750804139.711348
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750857682.129205
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750950220.486154
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750958327.062862
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750962742.512531
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750964503.901547
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750964518.427665
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751020599.2361898
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751020792.753031
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751021805.945003
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751021808.248612
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751021900.039336
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751021915.688177
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751023120.5068831
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751024652.280404
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751025710.43786
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751050014.870019
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751099183.148936
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751099482.279293
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751099803.4996529
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751100144.545434
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751101715.881616
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751104352.595978
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751104390.708468
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751121134.970468
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751122235.38547
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751122244.29183
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751136492.480648
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751136862.139596
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751140282.662159
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751141791.483578
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751142603.302841
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751145742.554686
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751146033.0322409
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751146177.225206
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751146228.806355
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751146358.94712
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751146426.5769858
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751147040.981168
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751147217.5770478
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751147297.106522
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751147672.808253
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751186146.668222
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751186353.6907392
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751186597.039167
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751186598.281952
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751186600.8456922
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751186709.007518
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751186810.072056
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751186867.51439
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751187121.63981
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751187141.905261
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751187702.764526
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751194781.975851
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751195799.197348
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751195800.6895041
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751195802.770879
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751195804.266793
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751195816.7417622
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751196397.717552
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751196444.397253
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751196892.098
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751197128.085535
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751197797.583359
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751198229.1455
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751198576.085855
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751198929.0530229
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751198962.518474
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751199558.057205
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751199684.169026
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751200346.6965752
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751200444.9762058
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751202130.307321
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751204915.8
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751210232.2670178
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751212324.189688
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751212538.4837332
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751222156.5508862
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751227116.721081
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751229235.11147
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751231891.7935529
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751233779.744528
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751286586.626357
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751313181.5271049
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751314265.085693
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751359722.038375
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751363085.192867
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751364619.767706
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751366588.915739
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751367018.074837
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751367645.3147578
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751368576.5985699
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751368745.405705
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751369308.510725
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751373109.490399
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751373616.474658
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751373619.911209
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751373639.007015
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751377519.4420152
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751378643.6231031
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751380707.6288009
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751381357.839477
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751388551.0451841
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751388907.573742
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751389423.927353
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751393155.7308788
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751393165.8776221
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751393183.8844318
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751393241.215539
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751398130.546996
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751400022.502665
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751403780.297152
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751404589.301763
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751404777.411864
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751437799.06109
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751439211.111524
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751440029.184062
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751440061.61641
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751440271.459231
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751441075.7156901
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751446599.925006
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751446861.746604
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751448492.139865
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751449098.0381951
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751449297.8067331
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751449826.250179
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751450508.7076302
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751450510.4990249
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751450512.698879
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751451230.509969
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751452178.0111961
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454537.9342818
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454539.486736
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454540.8871179
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454542.313781
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454543.602186
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454545.869911
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454548.003361
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751454550.57261
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751454569.6827412
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751456962.672636
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751460881.109579
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751463567.017246
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751464534.3314462
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751464565.980104
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751490161.6179929
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751490215.815915
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751490711.502728
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751490717.889518
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751490769.060144
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751491392.357532
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751535094.555637
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751537210.001202
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751565212.479998
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751565229.4680672
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751565831.17478
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751573601.905098
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751573656.8354568
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751577026.912045
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751584021.067346
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751584283.405225
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751584285.7512798
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751584320.049715
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751585271.2767859
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751585288.039808
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751614196.473691
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751614952.9952831
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751618181.2143679
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751621456.517086
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751624883.517813
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751624932.5368629
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751625195.573997
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751625212.618329
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751625489.38527
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751627572.3411841
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1751627583.326048
Europe/London,openedApp,6,False,tikTok,breathingExercise,1751627603.210701
