timestamp,isReIntervention,resolution,app,interventionDuration,timezone,interventionType,purpose,timeIntervalUntilReIntervention
1752048678.660188,False,closedApp,youtube,,Europe/Berlin,,,
1752049040.370942,False,closedApp,youtube,,Europe/Berlin,,,
1752049059.6882272,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752049278.30342,False,closedApp,youtube,,Europe/Berlin,,,
1752049383.2547321,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752049467.925902,False,closedApp,youtube,,Europe/Berlin,,,
1752049492.596643,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752049537.5180988,False,closedApp,youtube,,Europe/Berlin,,,
1752049562.82387,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752049656.5485868,False,closedApp,youtube,,Europe/Berlin,,,
1752057745.8763871,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752058254.9601111,False,closedApp,youtube,,Europe/Berlin,,,
1752058328.2670841,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752059314.9783611,False,closedApp,youtube,,Europe/Berlin,,,
1752067899.3142061,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752068287.1157842,False,closedApp,youtube,,Europe/Berlin,,,
1752068375.440294,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752071623.0781941,False,closedApp,youtube,,Europe/Berlin,,,
1752072131.8597121,False,closedApp,youtube,,Europe/Berlin,,,
1752073826.1111531,False,closedApp,youtube,,Europe/Berlin,,,
1752074411.5058022,False,closedApp,youtube,,Europe/Berlin,,,
1752074516.209739,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752074528.961957,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752075143.300292,False,closedApp,youtube,,Europe/Berlin,,,
1752075227.915588,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752075245.255005,False,closedApp,youtube,,Europe/Berlin,,,
1752075286.1321058,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752084257.5029678,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752086096.245152,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752086136.6669102,False,closedApp,youtube,,Europe/Berlin,,,
1752086177.318452,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752086208.584208,False,closedApp,youtube,,Europe/Berlin,,,
1752087082.285013,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752087279.8782082,False,closedApp,youtube,,Europe/Berlin,,,
1752087286.740494,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752087449.906877,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752087517.984132,False,closedApp,youtube,,Europe/Berlin,,,
1752087641.861858,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752088090.446024,False,closedApp,youtube,,Europe/Berlin,,,
1752090741.856117,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752090937.484101,False,closedApp,youtube,,Europe/Berlin,,,
1752091215.463033,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752092035.043476,False,closedApp,youtube,,Europe/Berlin,,,
1752092248.883881,False,closedApp,youtube,,Europe/Berlin,,,
1752092617.676484,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752093398.185009,False,closedApp,youtube,,Europe/Berlin,,,
1752093406.5901399,False,closedApp,youtube,,Europe/Berlin,,,
1752093448.633757,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752095169.4322839,False,closedApp,youtube,,Europe/Berlin,,,
1752130500.741531,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752130972.662188,False,closedApp,youtube,,Europe/Berlin,,,
1752131010.351124,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752131155.7932692,False,closedApp,youtube,,Europe/Berlin,,,
1752131181.741578,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752131260.610878,False,closedApp,youtube,,Europe/Berlin,,,
1752131314.929538,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752131370.631496,False,closedApp,youtube,,Europe/Berlin,,,
1752131395.840015,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752132524.528998,False,closedApp,youtube,,Europe/Berlin,,,
1752132681.365818,False,closedApp,youtube,,Europe/Berlin,,,
1752134235.569721,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752134587.1721559,False,closedApp,youtube,,Europe/Berlin,,,
1752134846.6976151,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752134864.983177,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752134898.567318,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752135755.9514852,False,closedApp,youtube,,Europe/Berlin,,,
1752135994.07148,False,closedApp,youtube,,Europe/Berlin,,,
1752141751.2385921,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752141782.668703,False,closedApp,youtube,,Europe/Berlin,,,
1752143402.8027592,False,closedApp,youtube,,Europe/Berlin,,,
1752143441.988471,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752143728.125524,False,closedApp,youtube,,Europe/Berlin,,,
1752144491.830286,False,closedApp,youtube,,Europe/Berlin,,,
1752145018.240488,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752145415.6143,False,closedApp,youtube,,Europe/Berlin,,,
1752145490.823151,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752145507.975666,False,closedApp,youtube,,Europe/Berlin,,,
1752145550.549724,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752148103.26091,False,closedApp,youtube,,Europe/Berlin,,,
1752150616.6762938,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752150760.47574,False,closedApp,youtube,,Europe/Berlin,,,
1752150807.0884008,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752151065.239606,False,closedApp,youtube,,Europe/Berlin,,,
1752151281.1664062,False,closedApp,youtube,,Europe/Berlin,,,
1752151326.201056,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752151938.59818,False,closedApp,youtube,,Europe/Berlin,,,
1752152063.7863069,False,closedApp,youtube,,Europe/Berlin,,,
1752152445.809321,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752152465.909924,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752152928.366631,False,closedApp,youtube,,Europe/Berlin,,,
1752152950.175236,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752155307.420155,False,closedApp,youtube,,Europe/Berlin,,,
1752155381.103359,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752155453.7133021,False,closedApp,youtube,,Europe/Berlin,,,
1752155571.851382,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752155758.145704,False,closedApp,youtube,,Europe/Berlin,,,
1752155806.094452,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752156509.706603,False,closedApp,youtube,,Europe/Berlin,,,
1752159313.3819609,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752160885.83478,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752162681.347331,False,closedApp,youtube,,Europe/Berlin,,,
1752162687.844454,False,closedApp,youtube,,Europe/Berlin,,,
1752164199.4747782,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752164759.016052,False,closedApp,youtube,,Europe/Berlin,,,
1752169007.034375,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752171712.386682,False,closedApp,youtube,,Europe/Berlin,,,
1752171774.464016,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
