interventionType,resolution,isReIntervention,purpose,timezone,interventionDuration,timestamp,app,timeIntervalUntilReIntervention
,closedApp,False,,America/Bogota,,1750197715.976193,whastapp,
,closedApp,False,,America/Bogota,,1750197885.4882321,whastapp,
,closedApp,False,,America/Bogota,,1750197964.023298,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750198888.627708,whastapp,840.0
,closedApp,False,,America/Bogota,,1750199099.592506,whastapp,
,closedApp,False,,America/Bogota,,1750199378.344445,whastapp,
,closedApp,False,,America/Bogota,,1750199432.3875442,whastapp,
,closedApp,False,,America/Bogota,,1750199864.7561789,whastapp,
,closedApp,False,,America/Bogota,,1750199938.335963,whastapp,
,closedApp,False,,America/Bogota,,1750200012.705873,whastapp,
,closedApp,False,,America/Bogota,,1750200043.987982,whastapp,
,closedApp,False,,America/Bogota,,1750200135.1030068,whastapp,
,closedApp,False,,America/Bogota,,1750200225.97668,whastapp,
,closedApp,False,,America/Bogota,,1750200378.324655,whastapp,
,closedApp,False,,America/Bogota,,1750200512.709604,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750200636.765852,whastapp,
,closedApp,False,,America/Bogota,,1750200867.3287249,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750203086.6936522,whastapp,780.0
,closedApp,False,,America/Bogota,,1750203151.692833,whastapp,
,closedApp,False,,America/Bogota,,1750203324.9824638,whastapp,
,closedApp,False,,America/Bogota,,1750203352.987911,whastapp,
,closedApp,False,,America/Bogota,,1750203465.9049358,whastapp,
,closedApp,False,,America/Bogota,,1750203694.7095752,whastapp,
,closedApp,False,,America/Bogota,,1750203934.260781,whastapp,
,closedApp,False,,America/Bogota,,1750203991.014384,whastapp,
,closedApp,False,,America/Bogota,,1750204000.035347,whastapp,
,closedApp,False,,America/Bogota,,1750204023.282701,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750204751.875272,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750204814.434829,whastapp,540.0
,closedApp,False,,America/Bogota,,1750204889.465001,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750204904.567333,safari,780.0
,closedApp,False,,America/Bogota,,1750204941.04524,safari,
,closedApp,False,,America/Bogota,,1750205057.7949061,safari,
,closedApp,False,,America/Bogota,,1750204997.380062,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750205073.641392,whastapp,480.0
,closedApp,False,,America/Bogota,,1750205222.101973,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750205248.56447,safari,780.0
,closedApp,False,,America/Bogota,,1750205324.330011,safari,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750205397.262991,whastapp,540.0
,closedApp,False,,America/Bogota,,1750205446.145118,whastapp,
,closedApp,False,,America/Bogota,,1750206032.089147,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750206062.539592,safari,780.0
,closedApp,False,,America/Bogota,,1750206118.054738,safari,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750206161.249236,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750206209.355192,whastapp,720.0
,closedApp,False,,America/Bogota,,1750206323.622112,whastapp,
,closedApp,False,,America/Bogota,,1750206457.0989819,whastapp,
,closedApp,False,,America/Bogota,,1750206496.108282,whastapp,
,closedApp,False,,America/Bogota,,1750206547.875145,whastapp,
,closedApp,False,,America/Bogota,,1750206551.8724031,whastapp,
breathingExercise,openedApp,False,Message,America/Bogota,6.0,1750206570.2728949,safari,900.0
,closedApp,False,,America/Bogota,,1750206745.728235,safari,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750207124.757462,whastapp,720.0
,closedApp,False,,America/Bogota,,1750207320.549011,whastapp,
,closedApp,False,,America/Bogota,,1750207995.7963839,whastapp,
,closedApp,False,,America/Bogota,,1750208284.311307,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750208789.453682,whastapp,900.0
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750209471.840491,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750209471.847444,safari,
,closedApp,False,,America/Bogota,,1750209396.446918,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750209473.492521,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750209489.6701999,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750213193.219727,instagram,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750213215.6155891,spotify,
,closedApp,False,,America/Bogota,,1750209522.80097,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750213335.571443,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750213381.6165009,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750213595.335304,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750213612.048761,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750213615.430949,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750213620.968374,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750214482.563157,whastapp,900.0
,closedApp,False,,America/Bogota,,1750214761.233105,whastapp,
,closedApp,False,,America/Bogota,,1750247549.81558,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750248220.532049,whastapp,900.0
,closedApp,False,,America/Bogota,,1750248463.669646,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750248503.426777,spotify,
,closedApp,False,,America/Bogota,,1750248529.313194,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750248664.7740932,safari,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750248926.81425,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750248930.3528872,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750248933.371707,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750249141.737809,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750249144.918929,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750249147.5539188,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750249150.082104,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750249153.5790339,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750249601.551227,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750249617.053757,spotify,
,closedApp,False,,America/Bogota,,1750249669.857302,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750250332.710312,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750251393.379889,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750251548.024607,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750251653.714921,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750251680.66891,safari,840.0
,closedApp,False,,America/Bogota,,1750251702.5399752,safari,
,closedApp,False,,America/Bogota,,1750251825.320693,safari,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750252103.4552479,whastapp,900.0
,closedApp,False,,America/Bogota,,1750252185.290141,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750252485.240794,spotify,
,closedApp,False,,America/Bogota,,1750252507.441711,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750252638.1946669,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750252755.591903,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750252759.785331,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750252778.8253999,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750252788.9915009,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750253231.854559,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750253235.90344,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750253240.095214,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750253769.1052818,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750254634.65869,safari,900.0
,closedApp,False,,America/Bogota,,1750254670.32216,safari,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750254782.805015,spotify,
,closedApp,False,,America/Bogota,,1750254840.348542,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750255375.5175738,safari,180.0
,closedApp,False,,America/Bogota,,1750255408.105401,safari,
,closedApp,False,,America/Bogota,,1750255424.626626,safari,
,closedApp,False,,America/Bogota,,1750255531.442968,safari,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750255545.0995631,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750255584.99655,whastapp,900.0
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750255901.240003,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750256180.1451712,spotify,
,closedApp,False,,America/Bogota,,1750256232.5964131,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750256778.81657,whastapp,780.0
,closedApp,False,,America/Bogota,,1750256821.357129,whastapp,
,closedApp,False,,America/Bogota,,1750256990.438375,whastapp,
,closedApp,False,,America/Bogota,,1750257276.192703,whastapp,
,closedApp,False,,America/Bogota,,1750257302.304584,whastapp,
,closedApp,False,,America/Bogota,,1750257454.238092,whastapp,
,closedApp,False,,America/Bogota,,1750257566.346568,whastapp,
,closedApp,False,,America/Bogota,,1750257792.189713,whastapp,
,closedApp,False,,America/Bogota,,1750258050.710716,whastapp,
,closedApp,False,,America/Bogota,,1750258309.686264,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750258386.29734,spotify,
,closedApp,False,,America/Bogota,,1750258437.341982,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750258771.6166039,spotify,
,closedApp,False,,America/Bogota,,1750258800.578629,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750261740.7271051,spotify,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750261744.722371,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750261760.38466,spotify,
,closedApp,False,,America/Bogota,,1750261822.7400699,spotify,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750263832.4743772,whastapp,900.0
,closedApp,False,,America/Bogota,,1750264235.672522,whastapp,
,closedApp,False,,America/Bogota,,1750264293.903682,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750266110.9464989,whastapp,900.0
,closedApp,False,,America/Bogota,,1750266126.685996,whastapp,
,closedApp,False,,America/Bogota,,1750266446.256753,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750267060.508898,whastapp,540.0
,closedApp,False,,America/Bogota,,1750267079.900208,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750267179.559286,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750267223.218467,whastapp,840.0
,closedApp,False,,America/Bogota,,1750267525.6913881,whastapp,
,closedApp,False,,America/Bogota,,1750267727.007763,whastapp,
,closedApp,False,,America/Bogota,,1750267832.079424,whastapp,
,closedApp,False,,America/Bogota,,1750267894.3873181,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750267984.913144,whastapp,660.0
,closedApp,False,,America/Bogota,,1750268009.348697,whastapp,
,closedApp,False,,America/Bogota,,1750268217.861188,whastapp,
,closedApp,False,,America/Bogota,,1750268259.9584808,whastapp,
,closedApp,False,,America/Bogota,,1750268291.612988,whastapp,
,closedApp,False,,America/Bogota,,1750268398.722167,whastapp,
,closedApp,False,,America/Bogota,,1750268568.364204,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750269518.735279,whastapp,900.0
,closedApp,False,,America/Bogota,,1750269535.981287,whastapp,
,closedApp,False,,America/Bogota,,1750269669.143816,whastapp,
,closedApp,False,,America/Bogota,,1750269800.713121,whastapp,
,closedApp,False,,America/Bogota,,1750269880.377089,whastapp,
,closedApp,False,,America/Bogota,,1750270026.0953212,whastapp,
,closedApp,False,,America/Bogota,,1750270278.0432549,whastapp,
,closedApp,False,,America/Bogota,,1750270336.906783,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750270782.544677,whastapp,840.0
,closedApp,False,,America/Bogota,,1750270935.639792,whastapp,
,closedApp,False,,America/Bogota,,1750271131.231735,whastapp,
,closedApp,False,,America/Bogota,,1750271491.864423,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750271508.624896,safari,840.0
,closedApp,False,,America/Bogota,,1750271578.907805,safari,
,closedApp,False,,America/Bogota,,1750271702.385052,safari,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750273531.447719,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750274171.143917,whastapp,780.0
,closedApp,False,,America/Bogota,,1750274239.4655519,whastapp,
,closedApp,False,,America/Bogota,,1750274285.6848412,whastapp,
,closedApp,False,,America/Bogota,,1750274334.992199,whastapp,
,closedApp,False,,America/Bogota,,1750274393.1850538,whastapp,
,closedApp,False,,America/Bogota,,1750274935.789329,whastapp,
,closedApp,False,,America/Bogota,,1750275248.8633518,whastapp,
,closedApp,False,,America/Bogota,,1750275293.31735,whastapp,
,closedApp,False,,America/Bogota,,1750275351.197592,whastapp,
,closedApp,False,,America/Bogota,,1750275614.566567,whastapp,
,closedApp,False,,America/Bogota,,1750275812.5932379,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750276019.30001,whastapp,900.0
,closedApp,False,,America/Bogota,,1750276043.9198952,whastapp,
,closedApp,False,,America/Bogota,,1750276081.842114,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750276295.3782501,whastapp,840.0
,closedApp,False,,America/Bogota,,1750276442.093453,whastapp,
,closedApp,False,,America/Bogota,,1750276481.258214,whastapp,
,closedApp,False,,America/Bogota,,1750277118.627831,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750277137.2480202,safari,900.0
,closedApp,False,,America/Bogota,,1750277153.7383308,safari,
,closedApp,False,,America/Bogota,,1750277184.523864,safari,
,closedApp,False,,America/Bogota,,1750278448.121749,whastapp,
,closedApp,False,,America/Bogota,,1750278482.6995258,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750278827.4287949,whastapp,720.0
,closedApp,False,,America/Bogota,,1750279170.43928,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750280382.096994,whastapp,
,closedApp,False,,America/Bogota,,1750280904.234633,whastapp,
,closedApp,False,,America/Bogota,,1750281397.30685,whastapp,
,closedApp,False,,America/Bogota,,1750281635.832872,whastapp,
,closedApp,False,,America/Bogota,,1750282845.954445,whastapp,
,closedApp,False,,America/Bogota,,1750282939.989011,whastapp,
,closedApp,False,,America/Bogota,,1750283061.873759,whastapp,
,closedApp,False,,America/Bogota,,1750283758.6795712,whastapp,
,closedApp,False,,America/Bogota,,1750285986.3401241,whastapp,
,closedApp,False,,America/Bogota,,1750286067.770021,whastapp,
breathingExercise,openedApp,False,Search Info,America/Bogota,6.0,1750286096.2612019,instagram,
,closedApp,False,,America/Bogota,,1750286306.511487,instagram,
,closedApp,False,,America/Bogota,,1750287545.3273082,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750287614.8059602,whastapp,
,closedApp,False,,America/Bogota,,1750287973.446769,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750289955.305334,whastapp,900.0
,closedApp,False,,America/Bogota,,1750290063.5941849,whastapp,
,closedApp,False,,America/Bogota,,1750290165.234329,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750291052.541171,safari,900.0
,closedApp,False,,America/Bogota,,1750291093.65795,safari,
,closedApp,False,,America/Bogota,,1750291117.265173,safari,
,closedApp,False,,America/Bogota,,1750291252.445395,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750291266.475702,instagram,
,closedApp,False,,America/Bogota,,1750291256.422905,instagram,
,closedApp,False,,America/Bogota,,1750291861.366753,instagram,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750292629.8587031,whastapp,780.0
,closedApp,False,,America/Bogota,,1750292677.931923,whastapp,
,closedApp,False,,America/Bogota,,1750292709.191938,whastapp,
,closedApp,False,,America/Bogota,,1750292744.856823,whastapp,
,closedApp,False,,America/Bogota,,1750292811.5988631,whastapp,
,closedApp,False,,America/Bogota,,1750293025.797746,whastapp,
,closedApp,False,,America/Bogota,,1750293112.724395,whastapp,
,closedApp,False,,America/Bogota,,1750293191.788763,whastapp,
,closedApp,False,,America/Bogota,,1750293460.909745,whastapp,
,closedApp,False,,America/Bogota,,1750293740.765586,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750293756.5662122,instagram,
,closedApp,False,,America/Bogota,,1750293845.388245,instagram,
,closedApp,False,,America/Bogota,,1750293874.3060842,instagram,
,closedApp,False,,America/Bogota,,1750293963.43397,instagram,
,closedApp,False,,America/Bogota,,1750294011.223071,instagram,
,closedApp,False,,America/Bogota,,1750294354.753907,instagram,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750295072.000136,whastapp,720.0
,closedApp,False,,America/Bogota,,1750295089.0850701,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750295133.724945,instagram,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750295201.912249,instagram,
,closedApp,False,,America/Bogota,,1750295339.944109,instagram,
