timezone,interventionType,purpose,timestamp,isReIntervention,app,resolution,interventionDuration,timeIntervalUntilReIntervention
Europe/London,breathingExercise,Entertainment,1751390240.4387279,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751395197.492691,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751396250.132272,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1751396978.297456,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751398079.874621,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751398104.24137,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751454923.0580978,False,facebook,openedApp,6,120.0
Europe/London,breathingExercise,Entertainment,1751455093.290741,True,facebook,openedApp,6,240.0
Europe/London,breathingExercise,,1751455345.909999,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751471516.956383,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751471541.948158,False,facebook,openedApp,6,180.0
Europe/London,breathingExercise,,1751472295.496266,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751472342.2781281,False,facebook,openedApp,6,300.0
Europe/London,breathingExercise,,1751473384.840276,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751474670.910459,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751481596.909337,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751482006.431515,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751482922.138026,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751483503.0874748,False,facebook,openedApp,6,300.0
Europe/London,breathingExercise,Entertainment,1751485065.174224,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1751485913.810852,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751487566.533719,False,facebook,openedApp,6,540.0
Europe/London,breathingExercise,Entertainment,1751488756.993973,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1751489034.305598,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751489054.407104,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751489687.388393,True,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751490300.714073,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751531460.5780768,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751531767.3944921,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751532083.252108,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751537255.8446279,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751540456.1571589,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751540986.673178,False,instagram,openedApp,6,
Europe/London,breathingExercise,,1751542632.2441611,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751542654.358609,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751543136.874156,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751546734.965318,False,facebook,openedApp,6,540.0
Europe/London,breathingExercise,,1751546943.186943,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751547235.855084,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751549874.1775851,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751554123.615552,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1751554529.768337,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751554548.1028008,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1751554842.019079,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751554861.250722,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751567227.936353,False,instagram,openedApp,6,
Europe/London,breathingExercise,,1751568016.222358,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751568942.346756,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751577268.4684858,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751583702.0893378,False,instagram,openedApp,6,
Europe/London,breathingExercise,,1751622064.369635,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751632982.332141,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751634233.985231,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751634877.623913,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751639680.4428868,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751642864.179764,False,instagram,openedApp,6,
Europe/London,breathingExercise,,1751667834.475323,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751672835.016201,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751708539.001838,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751710628.746663,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751714738.096072,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751718026.269445,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1751718863.288019,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751723214.20766,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1751723914.647721,False,instagram,openedApp,6,
Europe/London,breathingExercise,,1751727671.594452,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751727716.917073,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1752069158.595494,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1752070265.045761,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1752070505.631851,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1752071546.619034,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1752071691.304913,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752072909.029306,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752077100.419221,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1752079498.740593,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1752079740.9177442,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752085023.318398,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752086452.433466,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,,1752164790.618421,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1752164810.427546,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752171881.776422,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752175574.47781,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752176214.422073,False,facebook,openedApp,6,600.0
Europe/London,breathingExercise,Entertainment,1752243994.5019078,False,facebook,openedApp,6,60.0
Europe/London,breathingExercise,,1752244083.696157,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,,1752244090.7694712,False,facebook,dismissedAppOpening,6,
