timestamp,app,timezone,interventionDuration,isReIntervention,interventionType,resolution
1753017424.346442,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753017772.5902572,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753018123.753979,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753019658.152992,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753020528.539946,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753020582.145792,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753022049.294482,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753022396.979525,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753025490.131537,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753026504.592628,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753026663.52599,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753027859.310018,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753029783.153585,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753029923.5352058,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753030095.1030478,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753030409.711996,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753031107.3968039,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753033282.24301,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753035256.7365909,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753035278.029402,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753069566.790986,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753071074.684727,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753071780.059051,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753076395.938964,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753081983.13589,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753082607.0103378,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753082629.5932531,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753085071.35268,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753086144.611038,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753087186.688138,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753087955.7166271,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753088051.528549,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753088277.2278252,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753094941.390777,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753096390.510329,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753099110.868617,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753099449.231823,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753100726.8443298,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753100933.3731542,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753105651.09004,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753106306.981436,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753109463.82814,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753110542.45189,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753113471.579324,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753151822.151886,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753170078.209158,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753170378.297183,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753180525.96422,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753182742.215852,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753187866.595762,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753191920.139621,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753195251.600202,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753195580.71168,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753195828.257864,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753196228.906496,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753196510.36345,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753196568.569668,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753196903.276031,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753200762.9984179,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753200773.0316,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753200827.74408,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
