isReIntervention,timezone,timestamp,resolution,app,interventionDuration,interventionType
False,Europe/Paris,1749456328.8039598,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749484640.0139198,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749485220.402614,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749490306.618089,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749495099.801971,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749496271.704874,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749497784.117126,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749497784.725062,dismissedAppOpening,tikTok,3.0,breathingExercise
False,Europe/Paris,1749498822.826888,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749499561.710331,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749499996.153163,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749534952.809857,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749535518.267496,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749536540.856484,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749540849.113185,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749570822.163115,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749571811.488158,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749572782.45824,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749574148.996577,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749575721.1576781,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749581679.3190088,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749581679.5924,dismissedAppOpening,instagram,3.0,breathingExercise
False,Europe/Paris,1749582615.172515,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749584159.94024,dismissedAppOpening,tikTok,3.0,breathingExercise
False,Europe/Paris,1749584176.388581,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749589679.5358171,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749621501.280334,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749621602.510631,openedApp,instagram,,
False,Europe/Paris,1749622202.510631,closedApp,instagram,,
False,Europe/Paris,1749622202.510632,dismissedAppOpening,instagram,,
False,Europe/Paris,1749622214.83534,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749623778.149486,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749624344.568468,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749627150.3272529,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749629413.524873,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749631229.604106,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749634943.690082,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749654708.184507,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749657027.346434,openedApp,tikTok,3.0,breathingExercise
