resolution,app,interventionType,isReIntervention,interventionDuration,timezone,timestamp
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748806.967715
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748888.2804399
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751749137.9197311
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751749220.334279
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751749222.862881
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751749248.405374
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751749450.611037
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751749888.403781
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751749950.950167
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751750049.894415
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751750247.140483
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751750249.826391
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751750257.914155
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751750553.979819
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751750605.304574
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751751141.669042
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751751190.985561
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751751564.570555
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751752406.269031
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751755115.722155
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751755181.8202891
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751776735.198586
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751776825.614258
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751778108.367817
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751778138.82051
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751778577.864351
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751779067.096416
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751779279.026295
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751779306.6507978
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751779553.576302
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751779564.1324391
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751781422.285768
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751781486.141882
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751781497.855309
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751781545.3125448
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751781856.736401
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751782050.747901
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751782274.379987
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751785114.209801
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751785552.323201
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751785792.883218
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751785918.1143742
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751786039.4263039
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751786053.333136
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751786082.865137
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751786366.325341
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751786377.055558
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751786938.929981
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751786962.49524
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751787198.726493
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751787310.604965
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751787571.084519
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751787664.880299
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751791449.0717359
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751791571.819195
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751791702.4958029
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751792849.952986
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751793318.591058
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751793803.384718
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751794203.7085009
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751794371.035101
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751795297.5049639
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751796815.487201
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751797062.328265
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751797128.1191092
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751797711.427392
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751797714.568722
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751797725.063665
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751797733.231704
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751798159.0633411
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751798736.1853619
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751801053.682732
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751801067.831279
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751804650.0326
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751807372.2494678
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751807375.213756
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751807383.530555
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751807745.1972709
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751808170.506156
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751808344.362712
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751808395.688353
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751808698.7208052
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751809151.1524858
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751809293.592215
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751809482.6219869
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751812932.8069448
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751813206.379527
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751813230.269813
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751816857.432654
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818250.282424
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818278.178345
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818359.42985
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818413.466069
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818578.642002
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818618.131911
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818640.739517
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751818732.4083772
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751819929.7379642
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751820608.8897948
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751820939.0130239
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751821153.3350282
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751821160.852519
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751822148.892376
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751822424.919475
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751824085.503489
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751828400.294924
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751828890.142178
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751828968.939117
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751829008.46087
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751829400.4679918
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751830014.169663
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751830022.3332272
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751830100.962465
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751830194.077701
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751830202.4276118
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751830305.676845
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751830404.3597112
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751831182.8955069
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751831326.832804
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751831389.223267
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751831735.353687
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751832299.4408112
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751833652.920381
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751833720.464484
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751833722.75582
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751833731.952029
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751833968.8395472
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751833979.451899
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751834099.2053308
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751834299.290502
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751834305.451034
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751834891.692336
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751835709.6277142
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751836920.338027
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751837042.81693
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751837347.223789
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751837686.809783
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751837739.538022
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751837750.294821
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751837811.941636
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751837995.600364
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838033.5842571
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838107.746285
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838243.500525
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838354.851338
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838568.566643
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838622.8855228
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838665.218766
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751838685.990102
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751839021.721477
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751839170.3243551
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751839415.830966
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751839513.676481
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751839775.472968
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751839987.056987
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751839997.59945
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751840296.013362
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751840574.178649
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751840709.203759
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751841332.50591
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751841931.517216
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751842409.230139
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751843382.217736
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751844839.044208
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751845971.006371
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751875531.5445728
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751875745.9835281
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751879832.0366879
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751879882.059101
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751880143.910346
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751882945.5220351
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751882957.804459
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751887858.095062
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751889049.516972
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751889554.931468
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751889588.786838
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751889711.98218
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751889833.763834
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751889971.4749079
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751890149.695366
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751890646.7108169
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751890672.9463959
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751890900.751755
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751891001.5302582
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751891823.8959231
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751891895.804882
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751892240.6210651
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751892377.367251
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751892387.673747
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751892625.4076939
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751892833.733139
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893392.8710341
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.901227
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.920048
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.926564
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.9309711
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.934727
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.9384441
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.946274
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893399.950056
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893506.038066
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893574.8383632
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893687.1500401
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751893917.0656471
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751894336.809124
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751895472.377706
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751895595.041908
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751895699.933661
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751895781.203611
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751895841.655618
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751895882.0741801
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751895952.7290192
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751896026.045646
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751896052.576644
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751898223.85174
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751898383.090396
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751898669.909343
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751898849.472672
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751898875.382514
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751898967.712991
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751899124.794797
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751899231.907381
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751899392.1398292
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751899421.444374
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751899843.322579
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751900238.810394
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751900915.791963
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751901246.368993
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751901472.6199431
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751901488.309606
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751901940.3729858
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751902233.5571651
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751902343.496286
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751902352.792913
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751902542.084738
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751902550.267354
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751902840.525032
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751903068.053689
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751903115.011897
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751903491.467951
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751903506.5741692
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751903790.484764
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751903851.7390199
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751904128.3612761
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751904258.7975988
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751904463.0134978
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751904473.891067
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751904646.573403
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751904658.80182
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751904724.283941
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751905500.963643
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751906315.555973
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751906704.225548
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751906740.571913
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751906759.184587
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751906828.432895
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751906902.574698
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751906929.712765
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907003.790735
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907043.76747
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907123.789606
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907138.775712
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907268.415092
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907273.889422
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907286.316926
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907356.481769
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751907372.0686932
