isReIntervention,timezone,app,resolution,timestamp,interventionDuration,interventionType
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751933651.3718538,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751957593.278174,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751960032.3482451,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751984592.0991402,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751984655.250829,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751985311.504346,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751985317.5961561,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752000367.864993,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752003639.635117,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752041422.491487,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752043447.140448,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752043473.7868109,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752073168.426433,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752076243.553073,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752076495.579706,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752077119.9059691,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752077128.5607271,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752077221.625925,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752077325.996963,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752089778.03071,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752090910.102,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752091162.756381,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752126993.460233,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752128492.193212,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752132529.873301,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752132619.8237472,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752133828.879925,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752134205.706544,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752148194.814501,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752148271.479629,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752149693.773902,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752161539.9447,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752177481.374274,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752177562.636458,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752177575.3065,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752215706.902832,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752232559.341882,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752235001.883553,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752243134.0976381,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752243631.340842,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752246917.9998689,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752253685.660845,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752253699.0835528,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752254758.83693,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752255901.5268931,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752313615.022104,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752317290.634069,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752317461.348836,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752317489.7595692,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752317781.018714,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752318466.070694,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752319160.6576371,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752321531.911852,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752325193.3933868,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752339990.079774,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752340348.964638,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752340656.6271439,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752340687.542046,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752376439.80823,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752391929.691825,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752395470.0730882,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752395485.285565,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752396166.949854,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752398335.403862,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752439550.6908112,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752490476.356575,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752493039.635251,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752496681.321626,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752497908.5037398,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752525735.768847,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752557273.0153651,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752557319.764009,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752564918.5625029,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752567471.1481218,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752567493.826707,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752586552.034216,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752610782.113862,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752613446.830163,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752613889.269709,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752614613.375632,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752614918.28164,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752664059.869801,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752664151.2447228,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752664155.538059,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752665640.502981,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752730303.473979,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752736167.146934,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752744480.455618,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752751447.885261,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752751512.8813071,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752751530.3706841,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752755498.708387,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752756445.4615622,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752763480.8963342,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752765088.581681,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752767704.202551,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752776105.471818,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752783430.0491529,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752783443.927157,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752783525.8625941,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752784242.238234,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752784817.980845,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752822411.006105,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752822517.020554,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752823088.141643,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752826757.110322,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752827396.73014,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752827429.700155,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752829024.8890991,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752835111.671331,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752837896.1720672,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752841385.711296,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752841504.0936189,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752844685.15169,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752844694.361763,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752846339.6191258,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752852929.481386,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752871719.517184,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752871733.6934052,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752937685.4598289,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1752944508.7536879,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1752955332.955842,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753001484.129605,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753001590.3647761,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753001946.1298308,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753005754.48455,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753006087.1191201,6,breathingExercise
