resolution,interventionDuration,timestamp,interventionType,timezone,isReIntervention,app,purpose,timeIntervalUntilReIntervention,terminationReason
closedApp,,1749119962.1082911,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749120020.074977,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749120045.182996,donatusStudy,Asia/Kolkata,0.0,youtube,Escape / Avoid,,
closedApp,,1749120075.839248,,Asia/Kolkata,0.0,youtube,,,
closedApp,,1749120717.914763,,Asia/Kolkata,0.0,youtube,,,
closedApp,,1749122470.282498,,Asia/Kolkata,0.0,youtube,,,
dismissedAppOpening,3.0,1749123057.578014,donatusStudy,Asia/Kolkata,0.0,youtube,,,
openedApp,3.0,1749124045.9339209,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
closedApp,,1749124063.422289,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749124228.124052,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749124405.532063,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749125063.018784,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,1800.0,
openedApp,3.0,1749125534.0209842,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
closedApp,,1749125581.721744,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749127455.557652,donatusStudy,Asia/Kolkata,0.0,instagram,Can’t sleep,360.0,
closedApp,,1749127476.1867619,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749137399.321482,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1740.0,
closedApp,,1749137414.7937598,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749137424.50752,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,,
closedApp,,1749137518.357448,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749137682.2607841,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749138531.477048,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,300.0,
closedApp,,1749138593.4888082,,Asia/Kolkata,0.0,instagram,,,
