isReIntervention,app,resolution,timestamp,timezone,interventionDuration,interventionType
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752691571.92377,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752693797.755419,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752693797.3714252,Asia/Qatar,,
False,730A7299-782F-444A-984C-4BA8BD351386,closedApp,1752694097.3714252,Asia/Qatar,,
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1752694097.3714252,Asia/Qatar,,
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752699287.5303512,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752778301.516176,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752788230.150054,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752788836.274401,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752792403.6227121,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752793539.4951758,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752794955.158308,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752932304.554606,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752938405.319444,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752941363.162322,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752942895.651195,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752943498.251221,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752949653.3014069,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752950429.861856,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752956654.552898,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752964525.1439672,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1752967577.6530309,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752967596.72959,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752967779.153507,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752972036.551378,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752972521.936439,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752976131.206887,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752976435.0772939,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752977116.259112,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1752978801.63253,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,closedApp,1752979101.6325312,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1752979101.6325312,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1753014545.4178991,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753019645.649979,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753030481.658642,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753036096.24367,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753050439.935323,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753051278.5742211,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753052219.857522,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753058926.60375,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753110446.63222,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753112009.446234,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1753113392.694941,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753113479.638257,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753122275.3102942,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753122881.374673,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753127937.587908,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753129606.861229,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753204246.084435,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753204865.6036339,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753226464.314754,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753226869.3596392,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,closedApp,1753227169.3596392,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1753227169.3596392,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753227185.236167,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753228083.20959,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753230492.4456658,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,closedApp,1753230792.4456658,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1753230792.4456658,Asia/Riyadh,,
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753239017.9267359,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753300501.302793,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1753382352.6381679,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,dismissedAppOpening,1753382646.392803,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753382675.908041,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753385733.793894,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753390263.569882,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753394785.261592,Asia/Riyadh,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753461778.736559,Asia/Qatar,3.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753798277.740972,Europe/London,6.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753798959.2591171,Europe/London,6.0,breathingExercise
False,730A7299-782F-444A-984C-4BA8BD351386,openedApp,1753857282.088264,Europe/London,6.0,breathingExercise
