timestamp,interventionType,app,isReIntervention,timezone,interventionDuration,resolution,timeIntervalUntilReIntervention
1752529667.405342,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752565688.747725,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752568955.970813,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752569840.598103,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752570886.4897351,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752591291.806009,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1752593553.0260239,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1440.0
1752594278.226769,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1560.0
1752598757.961031,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1320.0
1752604095.074019,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752614311.234925,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752615413.31848,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752626057.134851,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,540.0
1752638772.857398,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752640374.095196,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752655880.153057,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752659093.793797,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752666598.638602,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752666706.129571,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752675039.932811,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1500.0
1752675146.731992,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1440.0
1752675215.5682359,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1560.0
1752675252.373465,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1752678114.934047,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752678641.467606,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752679080.75149,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1560.0
1752680764.2680879,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752681554.980171,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752682061.272985,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1320.0
1752682239.3263211,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752686307.6962981,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752688761.970365,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752689710.4236178,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752733677.560816,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752733758.648106,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752736427.438827,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1560.0
1752738998.849907,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752739821.9299722,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752740502.78657,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1500.0
1752743879.437484,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752744059.766378,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1440.0
1752756590.346916,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752756774.621223,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752758905.725663,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1140.0
1752759257.5610142,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752759295.667406,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752760294.313072,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752760714.43173,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752761332.8186579,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752761469.0234609,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1752769706.947336,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752772718.8402328,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,360.0
1752772984.303152,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752773674.902065,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1752774772.1581159,breathingExercise,instagram,True,Asia/Kolkata,3,openedApp,1320.0
1752775047.512806,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1752775082.5724301,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752776300.5059981,breathingExercise,instagram,True,Asia/Kolkata,3,openedApp,2700.0
1752779016.944045,breathingExercise,instagram,True,Asia/Kolkata,3,openedApp,1440.0
1752782257.974924,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752786914.46906,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752800241.378448,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,840.0
1752801330.415225,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1752802090.195046,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1752802341.175161,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752804772.037407,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752804947.237533,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752805761.069382,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752830719.0606232,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752834204.529022,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752834874.832541,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,600.0
1752838730.8275418,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752838735.298139,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,840.0
1752840810.7181392,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752847009.1082702,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752847467.770877,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,840.0
1752851188.06919,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752856118.289033,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752876760.129519,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752876975.15452,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1560.0
1752877423.32658,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752877480.339858,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,840.0
1752877577.859,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752910686.588413,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,840.0
1752915351.077224,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752915421.762855,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752921685.154624,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752957364.9357471,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752957972.782264,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
1752958770.021721,breathingExercise,instagram,True,Asia/Kolkata,3,openedApp,1080.0
1752959226.3206282,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752960237.199513,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752960375.574864,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752961352.591558,breathingExercise,instagram,True,Asia/Kolkata,3,openedApp,1680.0
1752973795.138537,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,840.0
1752974036.881357,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752980822.027484,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1752980975.3840752,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752981349.07602,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1440.0
1752982752.6222,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1753011038.596237,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1753012257.758457,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,840.0
1753013815.195193,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,900.0
1753016151.3087,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1753016696.480445,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1753017014.084235,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1753017033.475213,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1500.0
1753017987.822599,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1753019047.4701,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1753019252.225965,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1753027711.768577,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1753028589.441808,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1753032763.072947,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1753053043.9153252,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1380.0
1753056342.7599258,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1560.0
1753083864.0951219,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,900.0
1753084267.130419,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,960.0
1753092261.396182,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753105025.788748,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753109648.404652,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,780.0
1753109754.424797,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,780.0
