timezone,interventionType,isReIntervention,app,timestamp,interventionDuration,resolution
America/Toronto,breathingExercise,False,instagram,1753882721.698371,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753907245.5207582,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753907397.577095,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753907408.820138,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753907503.944666,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753907576.8014832,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753907656.086932,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753918504.0001311,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753918529.2073212,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753918582.069717,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753918677.638183,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753928590.7840528,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753964451.7874022,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753973450.9474401,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753975107.7335958,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753992270.734173,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753993670.426653,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753994619.0951781,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753995044.522091,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753995076.752178,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753995280.836667,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754006424.759272,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754075000.151288,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754075978.954798,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754088702.664887,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754089662.618266,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754089913.117671,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754090879.4602041,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754098281.899197,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754098426.748248,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754151926.388175,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754153432.009404,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754169714.343864,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754169826.2744222,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754170233.9475331,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754216660.740384,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754218862.433744,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754219986.926496,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1754220001.877417,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754220120.189919,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754220235.3707051,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754221154.760026,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754221778.52146,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754222055.550772,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754223986.989489,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754224358.484057,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754224406.5073872,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754225312.73792,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754225537.24979,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754225851.2482882,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754226329.550236,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754227268.175431,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754227323.5586262,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754228063.843682,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754229686.987098,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754230821.067968,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754231334.996182,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754231529.639965,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754231647.760024,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754231782.971595,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754231977.197534,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754232715.742827,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754233246.11285,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754236217.8667731,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754236816.10741,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754237764.3785372,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754238075.188698,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754238695.195895,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1754238821.838376,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754239304.155458,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754239705.401056,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754239876.883138,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754240487.7279449,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754241472.938328,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754241716.0568109,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754241764.2652311,3,openedApp
America/Toronto,breathingExercise,False,instagram,1754242406.840689,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754243814.198622,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754244075.143533,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754245610.432969,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754245689.8255792,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754252997.197033,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754256372.093272,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754274750.17956,6,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1754316362.209167,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754321733.09343,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754325725.682936,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754326012.865711,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754326193.3299341,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754327119.6008,6,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1754327135.4907842,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754328833.399442,6,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1754328890.8062248,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754335406.819879,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754335888.435605,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754336685.530953,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754340584.501749,6,openedApp
America/Toronto,breathingExercise,False,instagram,1754394733.0639071,6,dismissedAppOpening
