resolution,app,isReIntervention,purpose,timestamp,interventionDuration,timezone,interventionType
openedApp,instagram,False,Bored,1752156676.5132551,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752175158.634265,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752178930.509021,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752182123.1381779,6.0,America/New_York,breathingExercise
dismissedAppOpening,youtube,False,,1752198689.975006,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Relax,1752198713.1303349,6.0,America/New_York,breathingExercise
dismissedAppOpening,pinterest,False,,1752270463.2232509,6.0,America/New_York,breathingExercise
openedApp,pinterest,False,Bored,1752270488.102459,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752272141.513438,6.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1752275434.4148579,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752283051.837967,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752328580.912057,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752329422.02705,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752362510.988545,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752415050.234869,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752528958.102594,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752531019.893913,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752536526.702186,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752537331.311861,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752538521.0904698,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Message,1752539434.999419,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752600296.950107,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752614730.742974,6.0,America/New_York,breathingExercise
dismissedAppOpening,instagram,False,,1752636835.9259238,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752636856.808049,6.0,America/New_York,breathingExercise
dismissedAppOpening,instagram,False,,1752637799.776629,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752637827.831485,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752679512.447043,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752680254.248736,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752681227.578124,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752682677.651054,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752683956.7293382,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752691926.41696,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752703052.107792,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752757910.756016,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752778794.250555,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752779420.377646,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752780899.877728,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752787813.5603871,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752789159.100218,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752792866.17128,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752799926.4676728,6.0,America/New_York,breathingExercise
openedApp,pinterest,False,Bored,1752871725.197624,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752890307.61812,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752966967.081588,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752967983.844835,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752969200.8499,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752970520.7964401,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753040978.037506,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753052170.499596,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753068099.466179,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753103421.220691,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753109062.114376,6.0,America/New_York,breathingExercise
dismissedAppOpening,instagram,False,,1753140559.8855739,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753277589.411619,6.0,America/New_York,breathingExercise
dismissedAppOpening,youtube,False,,1753280459.730931,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1753280483.3990269,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753296136.643307,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753380625.442299,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753383182.070921,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1753404558.6114469,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753459822.508219,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1753584253.587473,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753654220.109785,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753655015.748766,6.0,America/New_York,breathingExercise
openedApp,pinterest,False,Bored,1753674406.597321,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753753707.024976,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1753756118.659441,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1753797187.044955,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1753840114.483993,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753920637.541044,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1753921380.5004969,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1753924521.131577,6.0,America/New_York,breathingExercise
dismissedAppOpening,instagram,False,,1753990341.2800422,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1754006239.265228,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1754007322.799638,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1754015341.760954,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1754097980.413341,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1754154703.110085,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1754155681.4126859,6.0,America/New_York,breathingExercise
