timestamp,timezone,interventionType,app,resolution,interventionDuration,isReIntervention
1751353844.51403,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751369237.706193,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751384151.374642,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751401167.40422,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751403407.390203,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1751469529.444265,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751484923.457573,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1751489045.0008268,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751557575.590911,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751570187.626759,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751606089.689067,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751606118.6504579,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751609159.422291,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1751644956.381277,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751699651.556017,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751812448.422781,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751905470.057671,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1751914907.673821,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752010413.832696,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752010773.204774,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752010793.716454,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752095877.3005672,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752095895.090303,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752133644.421235,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752156774.269333,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752249992.0601149,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752250535.115323,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752252099.354017,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752253380.105163,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752259234.244551,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752343120.731629,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752361477.534158,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752361813.138431,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752421414.0461059,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752506188.688661,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752513172.24314,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752526947.154021,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752614070.856458,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752641811.144026,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752641917.922406,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752700718.1203752,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1752702655.34568,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1752859447.654073,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753127560.72233,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753127822.123781,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753182665.438683,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753195992.6557488,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753196067.855435,Europe/Amsterdam,breathingExercise,facebook,dismissedAppOpening,6,False
1753196098.095041,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753221066.364785,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753251737.813146,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
1753291424.391082,Europe/Amsterdam,breathingExercise,facebook,openedApp,6,False
