interventionType,timezone,isReIntervention,timestamp,app,resolution,interventionDuration,timeIntervalUntilReIntervention,purpose
askForTimeLimit,America/Merida,False,1752412244.847702,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752412375.583576,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,True,1752412748.865598,clashRoyale,openedApp,3.0,660.0,Entretenimiento
breathingExercise,America/Merida,True,1752413420.152509,clashRoyale,openedApp,3.0,,Aburrido
askForTimeLimit,America/Merida,False,1752414741.732623,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752414868.847105,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752414975.910186,youtube,openedApp,3.0,60.0,
askForTimeLimit,America/Merida,False,1752414998.527515,clashRoyale,openedApp,3.0,420.0,
askForTimeLimit,America/Merida,False,1752415018.192055,youtube,openedApp,3.0,60.0,
askForTimeLimit,America/Merida,False,1752415047.482349,clashRoyale,openedApp,3.0,480.0,
askForTimeLimit,America/Merida,False,1752415072.6014261,youtube,openedApp,3.0,60.0,
askForTimeLimit,America/Merida,False,1752415087.6965098,clashRoyale,openedApp,3.0,480.0,
askForTimeLimit,America/Merida,False,1752415381.4564462,clashRoyale,openedApp,3.0,300.0,
breathingExercise,America/Merida,False,1752415663.89959,youtube,openedApp,3.0,300.0,Escapar / Evitar
breathingExercise,America/Merida,False,1752416319.978922,safari,openedApp,3.0,,Relajarse
breathingExercise,America/Merida,False,1752416398.200439,safari,openedApp,3.0,,Buscar info
breathingExercise,America/Merida,False,1752416848.743583,safari,openedApp,3.0,,Relajarse
,America/Merida,False,1752416841.7378101,spotify,closedApp,,,
breathingExercise,America/Merida,False,1752417084.859774,instagram,openedApp,3.0,,Publicar algo
breathingExercise,America/Merida,False,1752417107.242803,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752417163.965931,safari,openedApp,3.0,,Relajarse
breathingExercise,America/Merida,False,1752418394.2544951,instagram,dismissedAppOpening,3.0,,
,America/Merida,False,1752417169.376785,spotify,closedApp,,,
askForTimeLimit,America/Merida,False,1752419708.039219,youtube,openedApp,3.0,60.0,
breathingExercise,America/Merida,True,1752419793.790695,youtube,openedApp,3.0,60.0,Aburrido
askForTimeLimit,America/Merida,False,1752421724.123386,youtube,openedApp,3.0,720.0,
askForTimeLimit,America/Merida,False,1752422832.789901,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,False,1752423236.605276,safari,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752423462.639077,safari,openedApp,3.0,,Goon 🥷
breathingExercise,America/Merida,False,1752423660.304122,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752423664.776192,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752424635.320101,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752427021.8495321,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752427023.335194,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752427031.788312,safari,openedApp,3.0,,Entretenimiento
breathingExercise,America/Merida,False,1752427411.695777,safari,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752427703.486815,clashRoyale,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752427751.363219,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,True,1752428129.88815,clashRoyale,openedApp,3.0,360.0,Mensaje
askForTimeLimit,America/Merida,False,1752428430.082366,clashRoyale,openedApp,3.0,300.0,
askForTimeLimit,America/Merida,False,1752429547.392579,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752429620.698797,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752436428.78306,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752436980.980317,instagram,openedApp,3.0,,Escapar / Evitar
breathingExercise,America/Merida,False,1752437149.957129,safari,openedApp,3.0,,Entretenimiento
breathingExercise,America/Merida,False,1752437467.9036279,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752437722.1487741,instagram,openedApp,3.0,,Mantente Informado
askForTimeLimit,America/Merida,False,1752438361.219201,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,False,1752438858.5807838,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752439063.153854,safari,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752439256.4252949,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,False,1752439394.999939,safari,openedApp,3.0,,No puedo dormir
askForTimeLimit,America/Merida,False,1752439587.826507,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,True,1752440204.40292,youtube,openedApp,3.0,600.0,Escapar / Evitar
breathingExercise,America/Merida,False,1752440608.228224,instagram,openedApp,3.0,,Revisar me gusta
askForTimeLimit,America/Merida,False,1752440693.2696419,youtube,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752440836.436991,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752440853.076078,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752440897.870235,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752440925.007711,clashRoyale,openedApp,3.0,300.0,
breathingExercise,America/Merida,True,1752441238.000951,clashRoyale,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752441248.424629,clashRoyale,openedApp,3.0,1020.0,Aburrido
askForTimeLimit,America/Merida,False,1752442859.330502,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752443280.7665691,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752443319.2291331,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752443821.700653,youtube,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752443899.470536,youtube,openedApp,3.0,600.0,
