timestamp,timezone,interventionType,interventionDuration,resolution,isReIntervention,app
1749513433.6314511,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749513622.6832771,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749513697.285328,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749514175.248569,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749514206.548548,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749514335.234527,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749514997.7241402,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749516020.736172,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749516272.2731981,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749516372.8390288,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749519298.226295,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749520159.805723,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749520176.770701,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749521113.788971,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749523137.070684,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749524247.7647328,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749524591.7697392,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749547841.6557078,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749549455.61921,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749554509.3185968,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749562772.403438,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749563160.356689,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749585772.683526,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749586090.6329942,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749587449.299292,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749589399.1679258,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749592200.701839,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749605425.7622042,America/Bogota,breathingExercise,3,openedApp,False,instagram
