interventionDuration,timestamp,isReIntervention,timezone,resolution,app,interventionType
3,1752368811.792138,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368814.710777,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368817.143859,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369571.3181849,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369574.5331268,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369576.6454391,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369589.2172508,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369596.924325,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395320.2023668,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395705.31915,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395709.625787,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395712.572813,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395715.4191232,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395724.247581,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395794.531835,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397329.072428,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397330.7585092,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397335.209398,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397338.8410568,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397341.238236,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397344.503813,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397346.943167,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397351.119118,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397352.052733,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397358.1268759,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397365.107819,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397374.2337089,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397376.535511,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397379.086392,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397417.974132,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397540.7693272,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398748.095957,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398757.319481,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398761.1723828,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398763.873952,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398767.076648,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398769.559575,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398771.960841,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398774.028197,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398776.228284,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398778.945057,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398783.143817,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752401899.468638,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752402050.111271,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752402880.878841,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402883.1305299,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402885.311112,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402889.580563,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402892.3926458,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406205.4775329,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406211.4060779,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406342.247124,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406421.429587,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406425.702179,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406753.17578,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406759.858214,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406764.644923,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406766.66079,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408109.8239279,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408112.075687,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408114.570612,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408117.158829,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408149.6227179,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408154.558418,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408156.3606791,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408158.2394938,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408169.213774,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408173.172639,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408358.469921,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408363.255357,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408365.6300979,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408371.9042559,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408372.607685,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408379.771136,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408382.744032,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752409107.942766,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752409110.239894,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752409112.4481912,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752409543.919399,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752409547.881093,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752409554.595738,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752409559.880379,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411335.204032,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411341.5766978,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411343.69658,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411349.2122068,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411351.606976,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411353.734379,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411357.430767,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752411358.662827,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752412335.457831,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752412338.6501899,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752412340.741743,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752412585.2554379,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752412840.45379,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752412845.9493508,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752412848.117491,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752413995.35781,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752413999.666473,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414000.4444041,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414002.446147,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414004.768248,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414390.333064,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414393.061955,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414395.6573858,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414485.2231278,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414489.586859,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414555.3659902,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752414557.700381,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415493.4442902,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415499.292921,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415501.719112,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415504.51575,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415506.85402,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415509.428797,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415512.1573591,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752415520.609719,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752416113.708943,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752416127.348381,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752416655.6476521,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752416842.843202,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752417002.319654,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752417188.903353,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752417464.817079,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752417568.976108,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752417665.204376,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752417820.576683,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752418034.61619,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752419512.023007,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752420418.52276,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752420708.6320682,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752420716.6604261,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752420844.884293,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752421281.23473,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752421285.295388,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752421290.364174,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752421291.332516,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752421302.463285,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752421311.293847,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752422182.529908,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422202.3604388,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422206.895403,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422217.1188478,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422258.120201,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422270.4993849,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752422667.4957418,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422680.044215,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422683.8454552,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752422704.591927,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752424190.02825,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752424281.3850222,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752424773.707735,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752426764.55062,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752426768.0489368,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752426770.231339,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427360.806172,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427362.992041,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427366.1232638,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427370.126759,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427374.20855,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427376.168984,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427378.61133,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427382.9623709,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427385.162671,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427388.2128081,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427399.872328,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752427972.944459,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427979.640461,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427982.377438,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427984.690946,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427986.859967,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752427989.334393,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752428019.7164989,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752430510.97907,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752430746.539723,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752430961.9095988,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752431274.316207,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752439506.4621658,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752440646.051439,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752440649.585506,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752442970.214984,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752443188.415551,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752443276.42873,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752443354.19448,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752443475.390234,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752443504.566716,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752443508.1077561,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752443519.642991,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752443744.153189,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752444162.4787679,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752444173.4056249,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752444356.390442,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752445581.2581959,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752445586.106365,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752445597.465609,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752446118.563771,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752446131.90112,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752446510.514618,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752472664.774654,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752473372.802058,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752473395.163934,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752473406.816298,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752476805.109048,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752478062.205612,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752478308.826827,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752478318.464095,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479286.68534,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479289.307286,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479291.6972852,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479294.194193,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479296.649517,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479531.2057052,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479545.7764292,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752479576.138214,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479579.128487,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479611.202728,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479613.909241,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752479622.5414848,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752479686.176861,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752480588.352315,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752482950.5834641,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752483781.625185,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752485826.751693,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752485829.85668,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752485836.344909,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752485842.6430712,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752485850.981196,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752486095.7624989,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
