resolution,timezone,timestamp,isReIntervention,interventionDuration,timeIntervalUntilReIntervention,app,purpose,interventionType
openedApp,Europe/London,1752948842.0799642,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752952238.880085,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752957225.656945,False,3,60.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1752957292.165494,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1752959368.251456,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752964826.95673,False,3,120.0,instagram,Message,breathingExercise
openedApp,Europe/London,1752996130.600491,False,3,120.0,instagram,Message,breathingExercise
openedApp,Europe/London,1752996266.868829,False,3,60.0,instagram,Message,breathingExercise
openedApp,Europe/London,1753001458.187042,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753001621.273316,False,3,300.0,instagram,Toilet,breathingExercise
openedApp,Europe/London,1753016982.395938,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753023948.246407,False,3,180.0,instagram,Entertainment,breathingExercise
openedApp,Europe/London,1753026593.517417,False,3,600.0,instagram,Bored,breathingExercise
dismissedAppOpening,Europe/London,1753027291.4586492,False,3,,facebook,,breathingExercise
openedApp,Europe/London,1753027314.706912,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753039476.239578,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753045996.199881,False,3,600.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753046620.001615,False,3,600.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753047371.881356,False,3,300.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753079961.1357641,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753080276.4990458,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753096770.177143,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753104075.743717,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753113372.917616,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753117605.9956799,False,3,120.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753122433.899462,False,3,540.0,instagram,Post something,breathingExercise
openedApp,Europe/London,1753124540.770354,False,3,480.0,instagram,Post something,breathingExercise
openedApp,Europe/London,1753125346.381141,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753131620.4597092,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753166672.2183862,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753166931.137959,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753167157.1190062,False,3,240.0,instagram,Message,breathingExercise
openedApp,Europe/London,1753172651.9149141,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753183281.900914,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753187844.4327521,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753187892.469627,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753188995.4317489,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753194139.005316,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753194399.4046612,True,3,480.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753198111.745724,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753198306.825707,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753208650.9978619,False,3,180.0,instagram,Post something,breathingExercise
openedApp,Europe/London,1753212412.567677,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753213033.278524,False,3,240.0,facebook,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1753254247.002314,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1753254310.399025,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753254673.796351,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753266647.3313699,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753267932.228807,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753268140.168384,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753269645.260178,False,3,60.0,facebook,Bored,breathingExercise
openedApp,Europe/London,1753283132.297367,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753298145.618864,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753298374.231708,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753298980.409622,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753300256.812975,False,3,480.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753300754.868126,True,3,720.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753305123.13043,False,3,120.0,instagram,Message,breathingExercise
openedApp,Europe/London,1753341082.9559422,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753341350.375881,True,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753349536.166472,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753349651.556428,False,3,60.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753352165.462791,False,3,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753364953.954834,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753369294.3678,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753372168.3579779,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753372264.256666,False,3,60.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753372348.246335,True,3,240.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753372605.617062,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753373028.033093,True,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753374574.6692948,False,3,60.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753381373.6076589,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753381571.419373,True,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753385350.956071,False,3,120.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753426619.834862,False,3,480.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753429209.495611,False,3,180.0,facebook,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1753432643.3700829,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1753434584.864337,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753434782.012203,False,3,180.0,facebook,Search Info,breathingExercise
openedApp,Europe/London,1753445614.5574,False,3,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753445989.5692968,True,3,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753452059.0299602,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753452313.793161,True,3,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753452836.8747249,False,3,60.0,facebook,Message,breathingExercise
openedApp,Europe/London,1753456103.6449609,False,3,120.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1753459413.205183,False,3,,facebook,,breathingExercise
openedApp,Europe/London,1753459432.5369558,False,3,300.0,facebook,Entertainment,breathingExercise
openedApp,Europe/London,1753467750.375361,False,3,240.0,instagram,Escape / Avoid,breathingExercise
openedApp,Europe/London,1753477178.437356,False,3,300.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753477430.82167,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753477749.208189,False,3,180.0,instagram,Message,breathingExercise
openedApp,Europe/London,1753528654.494698,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753533354.698045,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753547918.410466,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753548173.9807038,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753607161.094562,False,3,180.0,facebook,Escape / Avoid,breathingExercise
openedApp,Europe/London,1753607652.96713,False,3,360.0,instagram,Escape / Avoid,breathingExercise
openedApp,Europe/London,1753631295.7815108,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753641211.778919,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753641459.39429,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753642773.360332,False,3,480.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753694604.51973,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753699747.608988,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753703962.9552321,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753708617.9849172,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753709129.428674,False,3,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753714655.0368772,False,3,240.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753716809.930934,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753719945.954893,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753737171.328507,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753772057.301032,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753776525.0938811,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753776659.754037,True,3,300.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753777233.5779672,False,3,300.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753783685.58168,False,3,240.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753785155.913787,False,3,240.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753788142.330844,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753794129.800332,False,3,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753800144.993046,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753801731.8303719,False,3,240.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753804617.373156,False,3,480.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1753804836.8786669,False,3,,instagram,,breathingExercise
dismissedAppOpening,Europe/London,1753804845.954725,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1753810048.942998,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753810371.765606,True,6,660.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753811053.484922,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753825272.426655,False,6,180.0,facebook,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1753825482.010483,False,6,,facebook,,breathingExercise
openedApp,Europe/London,1753858333.051775,False,6,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753861319.250879,False,6,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753865264.739702,False,6,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753867188.7877688,False,6,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753868119.1876369,False,6,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753868615.249598,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753879498.828316,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753889765.606133,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753892102.735046,False,6,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753892483.802979,True,6,600.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753908244.262216,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753909435.218586,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753945526.191361,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753945852.1,True,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753946656.500283,False,6,180.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753952784.917221,False,6,120.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753954630.851705,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753956980.797226,False,6,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753960486.869513,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753964187.402295,False,6,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753966166.9501572,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753966433.708538,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753982896.1485848,False,6,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753983217.259872,False,6,240.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1753990386.164783,False,6,,instagram,,breathingExercise
openedApp,Europe/London,1753995684.750998,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1753997173.708974,False,6,180.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1753997379.375838,False,6,,instagram,,breathingExercise
openedApp,Europe/London,1753997873.06336,False,6,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754029491.2743979,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754039758.412,False,6,540.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754059310.625005,False,6,240.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754059559.8611841,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754060422.138472,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754080225.252262,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754085169.7783809,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754136587.86581,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754137040.365504,False,6,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754151753.787128,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754152015.009551,True,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754152294.8337588,False,6,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754158833.507948,False,6,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754160425.593528,False,6,60.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1754160529.6610441,False,6,,instagram,,breathingExercise
dismissedAppOpening,Europe/London,1754160533.740045,False,6,,instagram,,breathingExercise
openedApp,Europe/London,1754160553.529183,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754162922.830118,False,6,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754163302.856967,True,6,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754163524.461817,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754163757.6691551,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754218333.8310308,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754258718.0620809,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754264759.002357,False,6,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754292528.341423,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754305250.657044,False,6,240.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1754305626.782106,False,6,,instagram,,breathingExercise
openedApp,Europe/London,1754313370.549989,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754314343.3965368,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754314432.51934,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754317364.649482,False,6,240.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1754317483.809822,False,6,,instagram,,breathingExercise
openedApp,Europe/London,1754321919.929281,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754322243.2832708,True,6,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754325178.451223,False,6,420.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754325620.545909,True,6,480.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754325986.80043,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754326690.1355062,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754327755.499731,False,6,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754330347.590704,False,6,120.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754332110.9661078,False,6,60.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754336044.69236,False,6,60.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754339314.474848,False,6,60.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754339394.10126,True,6,60.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754374615.1072922,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754393052.7891889,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754399043.2511802,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754405497.000829,False,6,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754424972.060246,False,6,120.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754428575.309196,False,6,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1754464180.4088721,False,6,480.0,instagram,Stay In the Loop,breathingExercise
