resolution,interventionDuration,app,timestamp,isReIntervention,interventionType,timezone,purpose
dismissedAppOpening,6,instagram,1751983433.39816,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1751983803.4680161,False,breathingExercise,America/Los_Angeles,Relax
openedApp,6,instagram,1752067764.888486,False,breathingExercise,America/Los_Angeles,Stay In the Loop
openedApp,6,instagram,1752068754.358728,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,instagram,1752069834.453985,False,breathingExercise,America/Los_Angeles,Post something
dismissedAppOpening,6,instagram,1752070544.48225,False,breathingExercise,America/Los_Angeles,
dismissedAppOpening,6,instagram,1752071289.365119,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1752110646.130494,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,instagram,1752110794.519328,False,breathingExercise,America/Los_Angeles,Can’t sleep
dismissedAppOpening,6,instagram,1752111307.726774,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1752111327.5574532,False,breathingExercise,America/Los_Angeles,Stay In the Loop
openedApp,6,instagram,1752113055.441952,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,instagram,1752122152.9245958,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,tikTok,1752196631.935533,False,breathingExercise,America/Los_Angeles,Escape / Avoid
openedApp,6,tikTok,1752196747.9381142,False,breathingExercise,America/Los_Angeles,Escape / Avoid
dismissedAppOpening,6,tikTok,1752197013.987009,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1752204283.0038009,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,instagram,1752206759.695751,False,breathingExercise,America/Los_Angeles,Relax
openedApp,6,instagram,1752226973.938586,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,instagram,1752228007.994246,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,instagram,1752282516.8902988,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,instagram,1752295197.5394459,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,instagram,1752296647.650132,False,breathingExercise,America/Los_Angeles,Post something
openedApp,6,instagram,1752330251.614977,False,breathingExercise,America/Los_Angeles,Relax
openedApp,6,instagram,1752356895.6165528,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,tikTok,1752378708.5417929,False,breathingExercise,America/Los_Angeles,Relax
dismissedAppOpening,6,tikTok,1752379718.4571,False,breathingExercise,America/Los_Angeles,
openedApp,6,tikTok,1752381131.98423,False,breathingExercise,America/Los_Angeles,Stalk crush
dismissedAppOpening,6,tikTok,1752381195.5135221,False,breathingExercise,America/Los_Angeles,
dismissedAppOpening,6,tikTok,1752381210.916294,False,breathingExercise,America/Los_Angeles,
openedApp,6,tikTok,1752381228.2924461,False,breathingExercise,America/Los_Angeles,Escape / Avoid
dismissedAppOpening,6,tikTok,1752381552.735477,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1752383030.320136,False,breathingExercise,America/Los_Angeles,Relax
openedApp,6,instagram,1752383810.5396218,False,breathingExercise,America/Los_Angeles,Relax
dismissedAppOpening,6,instagram,1752427593.465709,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1752447739.98016,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,tikTok,1752458375.9413218,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,tikTok,1752459597.625229,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,tikTok,1752468801.192061,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,tikTok,1752553769.0194268,False,breathingExercise,America/Los_Angeles,Escape / Avoid
openedApp,6,tikTok,1752554027.20053,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,tikTok,1752554384.75912,False,breathingExercise,America/Los_Angeles,Escape / Avoid
openedApp,6,instagram,1752557586.330277,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1752557773.8032122,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1752629653.892517,False,breathingExercise,America/Los_Angeles,Can’t sleep
dismissedAppOpening,6,instagram,1752629817.6904922,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1752641915.810755,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1752645343.983576,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,instagram,1752673945.1615481,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,tikTok,1752731108.500649,False,breathingExercise,America/Los_Angeles,Entertainment
dismissedAppOpening,6,tikTok,1752732584.428402,False,breathingExercise,America/Los_Angeles,
dismissedAppOpening,6,instagram,1752732595.202966,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1752732626.99736,False,breathingExercise,America/Los_Angeles,Escape / Avoid
openedApp,6,instagram,1752776555.241246,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1752814634.469749,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,tikTok,1752817595.0299768,False,breathingExercise,America/Los_Angeles,Message
openedApp,6,instagram,1752831644.803592,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1752835161.02193,False,breathingExercise,America/Los_Angeles,Entertainment
openedApp,6,tikTok,1752835866.984315,False,breathingExercise,America/Los_Angeles,Entertainment
