app,resolution,isReIntervention,timestamp,timezone,interventionType,interventionDuration,purpose
youtube,openedApp,False,1752432430.5238662,America/Santo_Domingo,breathingExercise,3.0,Escapar / Evitar
instagram,openedApp,False,1752433018.3684502,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
instagram,openedApp,False,1752439156.806844,America/Santo_Domingo,,,
instagram,closedApp,False,1752439756.806844,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752439756.806845,America/Santo_Domingo,,,
tikTok,openedApp,False,1752440564.469188,America/Santo_Domingo,,,
tikTok,closedApp,False,1752441164.469188,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1752441164.469188,America/Santo_Domingo,,,
youtube,openedApp,False,1752441664.600914,America/Santo_Domingo,,,
youtube,closedApp,False,1752442264.600915,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752442264.600915,America/Santo_Domingo,,,
instagram,openedApp,False,1752442019.164232,America/Santo_Domingo,,,
instagram,closedApp,False,1752442619.164232,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752442619.164232,America/Santo_Domingo,,,
tikTok,openedApp,False,1752454081.199194,America/Santo_Domingo,,,
tikTok,closedApp,False,1752454681.199194,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1752454681.199194,America/Santo_Domingo,,,
youtube,openedApp,False,1752455254.440701,America/Santo_Domingo,,,
youtube,closedApp,False,1752455854.440702,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752455854.440702,America/Santo_Domingo,,,
youtube,openedApp,False,1752526168.725343,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
instagram,openedApp,False,1752532024.9018002,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
youtube,openedApp,False,1752535312.230134,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
youtube,openedApp,False,1752549641.959344,America/Santo_Domingo,,,
youtube,closedApp,False,1752550241.959344,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752550241.959344,America/Santo_Domingo,,,
youtube,openedApp,False,1752594274.7695131,America/Santo_Domingo,breathingExercise,3.0,Escapar / Evitar
instagram,openedApp,False,1752593999.9490318,America/Santo_Domingo,,,
instagram,closedApp,False,1752594599.9490318,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752594599.949033,America/Santo_Domingo,,,
instagram,openedApp,False,1752595178.106766,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
youtube,openedApp,False,1752596960.8937879,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
tikTok,openedApp,False,1752610270.822453,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
instagram,openedApp,False,1752610451.419932,America/Santo_Domingo,breathingExercise,3.0,Escapar / Evitar
instagram,openedApp,False,1752664725.9517322,America/Santo_Domingo,,,
instagram,closedApp,False,1752665325.9517322,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752665325.9517322,America/Santo_Domingo,,,
tikTok,openedApp,False,1752665945.093118,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
tikTok,openedApp,False,1752666927.124821,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
instagram,openedApp,False,1752681309.5304132,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
instagram,openedApp,False,1752682013.665587,America/Santo_Domingo,,,
instagram,closedApp,False,1752682613.665587,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752682613.665587,America/Santo_Domingo,,,
instagram,openedApp,False,1752756503.617403,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,dismissedAppOpening,False,1752791219.7471762,America/Santo_Domingo,breathingExercise,6.0,
tikTok,openedApp,False,1752837072.847863,America/Santo_Domingo,,,
tikTok,closedApp,False,1752837672.847863,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1752837672.847863,America/Santo_Domingo,,,
instagram,openedApp,False,1752838842.660075,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1752852828.898309,America/Santo_Domingo,,,
instagram,closedApp,False,1752853428.898309,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752853428.898309,America/Santo_Domingo,,,
tikTok,openedApp,False,1752853721.6008868,America/Santo_Domingo,,,
tikTok,closedApp,False,1752854321.6008868,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1752854321.6008868,America/Santo_Domingo,,,
tikTok,openedApp,False,1752855624.342139,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1752881158.321356,America/Santo_Domingo,,,
instagram,closedApp,False,1752881758.321356,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752881758.321356,America/Santo_Domingo,,,
instagram,openedApp,False,1752882681.186503,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1752887710.994728,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
tikTok,openedApp,False,1752949744.6825972,America/Santo_Domingo,breathingExercise,6.0,Escapar / Evitar
instagram,openedApp,False,1752949176.9773378,America/Santo_Domingo,,,
instagram,closedApp,False,1752949776.9773378,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752949776.9773378,America/Santo_Domingo,,,
instagram,openedApp,False,1752967914.585946,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753017699.91483,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753020438.042486,America/Santo_Domingo,,,
instagram,closedApp,False,1753021038.042486,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753021038.042486,America/Santo_Domingo,,,
instagram,openedApp,False,1753023130.4995809,America/Santo_Domingo,breathingExercise,6.0,Mensaje
instagram,openedApp,False,1753055731.142867,America/Santo_Domingo,breathingExercise,6.0,Escapar / Evitar
instagram,openedApp,False,1753100747.8065271,America/Santo_Domingo,,,
instagram,closedApp,False,1753101347.806528,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753101347.806528,America/Santo_Domingo,,,
instagram,openedApp,False,1753126573.0112019,America/Santo_Domingo,,,
instagram,closedApp,False,1753127173.0112019,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753127173.0112019,America/Santo_Domingo,,,
tikTok,openedApp,False,1753127796.402456,America/Santo_Domingo,breathingExercise,6.0,Entretenimiento
instagram,openedApp,False,1753134312.636386,America/Santo_Domingo,,,
instagram,closedApp,False,1753134912.636386,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753134912.636386,America/Santo_Domingo,,,
instagram,openedApp,False,1753134929.664009,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753138090.266563,America/Santo_Domingo,,,
instagram,closedApp,False,1753138690.266563,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753138690.266563,America/Santo_Domingo,,,
instagram,openedApp,False,1753139655.7179089,America/Santo_Domingo,,,
instagram,closedApp,False,1753140255.7179089,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753140255.7179089,America/Santo_Domingo,,,
tikTok,openedApp,False,1753191467.78505,America/Santo_Domingo,,,
tikTok,closedApp,False,1753192067.78505,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753192067.7850509,America/Santo_Domingo,,,
tikTok,openedApp,False,1753217080.808169,America/Santo_Domingo,,,
tikTok,closedApp,False,1753217680.8081698,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753217680.8081698,America/Santo_Domingo,,,
instagram,openedApp,False,1753220117.403747,America/Santo_Domingo,,,
instagram,closedApp,False,1753220717.403747,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753220717.403747,America/Santo_Domingo,,,
tikTok,openedApp,False,1753227395.066603,America/Santo_Domingo,,,
tikTok,closedApp,False,1753227995.066603,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753227995.066603,America/Santo_Domingo,,,
instagram,openedApp,False,1753230550.040467,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753273958.551328,America/Santo_Domingo,,,
instagram,closedApp,False,1753274558.551328,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753274558.551328,America/Santo_Domingo,,,
instagram,openedApp,False,1753297907.4191751,America/Santo_Domingo,,,
instagram,closedApp,False,1753298507.4191751,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753298507.4191751,America/Santo_Domingo,,,
tikTok,openedApp,False,1753298734.232699,America/Santo_Domingo,,,
tikTok,closedApp,False,1753299334.2326999,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753299334.2326999,America/Santo_Domingo,,,
tikTok,openedApp,False,1753299188.0608459,America/Santo_Domingo,,,
tikTok,closedApp,False,1753299788.0608459,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753299788.0608459,America/Santo_Domingo,,,
instagram,openedApp,False,1753302554.42247,America/Santo_Domingo,,,
instagram,closedApp,False,1753303154.42247,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753303154.42247,America/Santo_Domingo,,,
tikTok,openedApp,False,1753302841.7954102,America/Santo_Domingo,,,
tikTok,closedApp,False,1753303441.795411,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753303441.795411,America/Santo_Domingo,,,
instagram,openedApp,False,1753303941.334096,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753400069.596422,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753448470.432589,America/Santo_Domingo,,,
instagram,closedApp,False,1753449070.432589,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753449070.432589,America/Santo_Domingo,,,
tikTok,openedApp,False,1753463133.37015,America/Santo_Domingo,,,
tikTok,closedApp,False,1753463733.37015,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753463733.37015,America/Santo_Domingo,,,
tikTok,openedApp,False,1753507210.342469,America/Santo_Domingo,,,
tikTok,closedApp,False,1753507810.342469,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753507810.342469,America/Santo_Domingo,,,
instagram,openedApp,False,1753519418.838426,America/Santo_Domingo,,,
instagram,closedApp,False,1753520018.838426,America/Santo_Domingo,,,
