interventionType,isReIntervention,app,resolution,timezone,interventionDuration,timestamp,purpose
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753308142.0929909,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753308542.8923678,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753313071.8739948,Check likes
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753329191.00881,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753329752.1997461,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753331818.894919,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753332006.321711,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753332160.1073852,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753333926.1195378,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753344969.242714,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753350576.389246,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753377439.022069,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753378986.0710049,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753380158.366166,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753380555.211319,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753382591.61358,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753382616.8968492,
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753382619.7959862,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753382641.165992,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753392614.2246819,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753396944.889666,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753403637.5781689,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753404083.7004042,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753407308.553808,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753414704.3624191,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753415714.472862,Check likes
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753418748.682526,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753456759.796794,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753457028.388288,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753459187.4124079,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753461769.410232,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753462004.044023,Check likes
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753463511.4697719,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753468781.18783,Stay In the Loop
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753469308.660152,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753473679.0142488,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753473749.270963,Entertainment
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753473921.1882281,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753480360.5279,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753480782.406981,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753480875.3274322,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753481258.729878,
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753483521.0065088,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753486172.569621,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753488074.0746279,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753488516.796097,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753495047.7985969,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753497334.6426249,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753497377.0628362,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753497901.258088,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753498166.089848,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753501173.977201,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753502225.831722,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753504947.539381,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753508363.247085,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753523098.856443,Entertainment
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753523290.54561,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753531103.479902,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753547270.07725,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753549163.358108,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753556233.7066321,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753570958.26597,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753573876.0836701,Relax
