app,timestamp,interventionDuration,timezone,resolution,isReIntervention,interventionType
instagram,1750500347.656674,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750502191.284677,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750502614.242303,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750504828.525193,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750506741.286941,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750515243.3245568,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750525293.823454,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750525324.99348,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750530943.602435,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750531002.1962,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750531087.4258409,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750532645.986557,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750534309.7063432,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536171.868451,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536183.828939,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750536474.6799212,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536902.595736,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536908.738739,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536910.957605,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750537176.669382,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750538855.2686892,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750539014.0238318,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750539020.461354,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750542245.674777,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750542915.039094,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750543131.033104,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750543903.779934,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750545612.089539,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750545640.144517,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750545745.6178231,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750545747.910048,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750588460.042711,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750590593.720665,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750590627.606849,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750590733.2579432,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750597725.792373,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750597790.689301,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750609162.224523,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750609510.521256,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750609513.223788,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750609522.2345328,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750611987.285894,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750611995.9761748,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750612023.878784,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750613251.8517041,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750616750.321216,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750617200.602571,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750618970.869979,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750621153.108233,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750621216.128645,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750621997.8578959,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750622066.250866,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750622760.780002,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750623247.813087,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750623491.9075541,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750627302.788774,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750629768.132193,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750630891.5860028,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750633267.494602,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750635524.784474,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750641659.050622,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750680188.2331328,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750680493.2567592,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750685415.414785,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750685875.545908,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750685885.11454,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750688295.410244,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750688335.680677,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750688583.3618932,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750688754.424241,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750689523.2839909,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750689527.513538,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750690175.213855,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750691987.1423159,3,Europe/Berlin,openedApp,False,breathingExercise
