isReIntervention,timezone,timestamp,resolution,app,interventionType,interventionDuration
False,America/Costa_Rica,1751165602.431937,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751310125.747509,openedApp,instagram,,
False,America/Costa_Rica,1751310425.747509,closedApp,instagram,,
False,America/Costa_Rica,1751310425.747509,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1751330750.0130749,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751336653.2945418,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751338377.0166678,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751339649.525439,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751417526.972642,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751481434.929731,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751596878.0315142,openedApp,instagram,breathingExercise,6.0
