purpose,isReIntervention,timeIntervalUntilReIntervention,interventionType,resolution,timestamp,app,timezone,interventionDuration
,False,,,closedApp,1751734531.535894,instagram,Asia/Tokyo,
,False,,breathingExercise,dismissedAppOpening,1751734543.437726,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751735610.137495,instagram,Asia/Tokyo,
,False,,,closedApp,1751735932.593474,instagram,Asia/Tokyo,
,False,,,closedApp,1751735988.709467,instagram,Asia/Tokyo,
,False,,,closedApp,1751758082.182023,instagram,Asia/Tokyo,
いいねをチェック,False,60.0,breathingExercise,openedApp,1751758092.425342,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751758155.676733,instagram,Asia/Tokyo,
いいねをチェック,False,1200.0,breathingExercise,openedApp,1751759509.272011,instagram,Asia/Tokyo,3.0
,False,,breathingExercise,dismissedAppOpening,1751759510.336608,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751759511.45944,instagram,Asia/Tokyo,
,False,,,closedApp,1751760662.299017,instagram,Asia/Tokyo,
,False,,,closedApp,1751760854.179562,instagram,Asia/Tokyo,
何かを投稿,False,840.0,breathingExercise,openedApp,1751760870.92451,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751760871.395928,instagram,Asia/Tokyo,
,False,,,closedApp,1751760879.039073,instagram,Asia/Tokyo,
何かを投稿,False,900.0,breathingExercise,openedApp,1751760933.578774,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751760934.0986772,instagram,Asia/Tokyo,
,False,,,closedApp,1751760940.011528,instagram,Asia/Tokyo,
何かを投稿,True,720.0,breathingExercise,openedApp,1751760954.344434,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751760954.6440759,instagram,Asia/Tokyo,
,False,,,closedApp,1751761693.3951879,instagram,Asia/Tokyo,
メッセージ,True,900.0,breathingExercise,openedApp,1751761705.734966,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751761706.08784,instagram,Asia/Tokyo,
,False,,,closedApp,1751762625.6916962,instagram,Asia/Tokyo,
,False,,,closedApp,1751765235.970334,instagram,Asia/Tokyo,
いいねをチェック,False,360.0,breathingExercise,openedApp,1751765245.9504662,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751765332.9146252,instagram,Asia/Tokyo,
何かを投稿,False,360.0,breathingExercise,openedApp,1751766694.802748,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751766695.285805,instagram,Asia/Tokyo,
,False,,,closedApp,1751766715.164053,instagram,Asia/Tokyo,
情報を追う,False,60.0,breathingExercise,openedApp,1751775509.4157739,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751775509.809245,instagram,Asia/Tokyo,
,False,,,closedApp,1751775530.001329,instagram,Asia/Tokyo,
,False,,,closedApp,1751776309.223881,instagram,Asia/Tokyo,
,False,,,closedApp,1751776352.732615,instagram,Asia/Tokyo,
何かを投稿,False,60.0,breathingExercise,openedApp,1751777500.09637,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751777500.506742,instagram,Asia/Tokyo,
,False,,,closedApp,1751777507.012535,instagram,Asia/Tokyo,
何かを投稿,True,60.0,breathingExercise,openedApp,1751777519.0588942,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751777520.548918,instagram,Asia/Tokyo,
,False,,,closedApp,1751777543.628639,instagram,Asia/Tokyo,
,False,,breathingExercise,dismissedAppOpening,1751777675.51722,instagram,Asia/Tokyo,3.0
いいねをチェック,False,780.0,breathingExercise,openedApp,1751864420.49492,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751781761.4257212,instagram,Asia/Tokyo,
,False,,,closedApp,1751781803.0525398,instagram,Asia/Tokyo,
,False,,,closedApp,1751781854.637666,instagram,Asia/Tokyo,
,False,,,closedApp,1751781885.2138329,instagram,Asia/Tokyo,
,False,,,closedApp,1751781914.730194,instagram,Asia/Tokyo,
,False,,,closedApp,1751781933.489582,instagram,Asia/Tokyo,
,False,,,closedApp,1751788264.8865309,instagram,Asia/Tokyo,
,False,,,closedApp,1751788325.818657,instagram,Asia/Tokyo,
,False,,,closedApp,1751794311.3433309,instagram,Asia/Tokyo,
,False,,,closedApp,1751794333.19957,instagram,Asia/Tokyo,
,False,,,closedApp,1751794423.5119472,instagram,Asia/Tokyo,
,False,,,closedApp,1751794533.465891,instagram,Asia/Tokyo,
,False,,,closedApp,1751794879.184947,instagram,Asia/Tokyo,
,False,,,closedApp,1751796038.256534,instagram,Asia/Tokyo,
,False,,,closedApp,1751796064.757012,instagram,Asia/Tokyo,
,False,,,closedApp,1751796412.03653,instagram,Asia/Tokyo,
,False,,,closedApp,1751796882.057961,instagram,Asia/Tokyo,
,False,,,closedApp,1751796906.333689,instagram,Asia/Tokyo,
,False,,,closedApp,1751797320.1709828,instagram,Asia/Tokyo,
,False,,,closedApp,1751797324.55372,instagram,Asia/Tokyo,
,False,,,closedApp,1751797415.710619,instagram,Asia/Tokyo,
,False,,,closedApp,1751798837.190172,instagram,Asia/Tokyo,
,False,,,closedApp,1751808386.1762471,instagram,Asia/Tokyo,
,False,,,closedApp,1751808430.77846,instagram,Asia/Tokyo,
,False,,,closedApp,1751808432.6701288,instagram,Asia/Tokyo,
,False,,,closedApp,1751808538.852411,instagram,Asia/Tokyo,
,False,,,closedApp,1751808626.4602041,instagram,Asia/Tokyo,
,False,,,closedApp,1751808778.77496,instagram,Asia/Tokyo,
,False,,,closedApp,1751808842.160421,instagram,Asia/Tokyo,
,False,,,closedApp,1751808893.9367151,instagram,Asia/Tokyo,
,False,,,closedApp,1751808896.8009539,instagram,Asia/Tokyo,
,False,,,closedApp,1751809009.070704,instagram,Asia/Tokyo,
,False,,,closedApp,1751809013.799037,instagram,Asia/Tokyo,
,False,,,closedApp,1751809029.665722,instagram,Asia/Tokyo,
,False,,,closedApp,1751809228.680702,instagram,Asia/Tokyo,
,False,,,closedApp,1751809577.9003549,instagram,Asia/Tokyo,
,False,,,closedApp,1751809579.715564,instagram,Asia/Tokyo,
,False,,,closedApp,1751809615.2860599,instagram,Asia/Tokyo,
,False,,,closedApp,1751809747.303196,instagram,Asia/Tokyo,
,False,,,closedApp,1751810000.045368,instagram,Asia/Tokyo,
,False,,,closedApp,1751810188.243438,instagram,Asia/Tokyo,
,False,,,closedApp,1751810928.4743881,instagram,Asia/Tokyo,
,False,,,closedApp,1751811264.508247,instagram,Asia/Tokyo,
,False,,,closedApp,1751812726.241992,instagram,Asia/Tokyo,
,False,,,closedApp,1751812731.543607,instagram,Asia/Tokyo,
,False,,,closedApp,1751812914.721688,instagram,Asia/Tokyo,
,False,,,closedApp,1751813187.509958,instagram,Asia/Tokyo,
,False,,,closedApp,1751813299.012556,instagram,Asia/Tokyo,
,False,,,closedApp,1751813319.693434,instagram,Asia/Tokyo,
,False,,,closedApp,1751813321.924325,instagram,Asia/Tokyo,
,False,,,closedApp,1751813328.223116,instagram,Asia/Tokyo,
,False,,,closedApp,1751813534.856625,instagram,Asia/Tokyo,
,False,,,closedApp,1751813666.074214,instagram,Asia/Tokyo,
,False,,,closedApp,1751813737.686733,instagram,Asia/Tokyo,
,False,,,closedApp,1751813837.3530679,instagram,Asia/Tokyo,
,False,,,closedApp,1751813930.5000892,instagram,Asia/Tokyo,
,False,,,closedApp,1751813945.085266,instagram,Asia/Tokyo,
,False,,,closedApp,1751813956.231034,instagram,Asia/Tokyo,
,False,,,closedApp,1751814048.03842,instagram,Asia/Tokyo,
,False,,,closedApp,1751814112.716795,instagram,Asia/Tokyo,
,False,,,closedApp,1751814119.542851,instagram,Asia/Tokyo,
,False,,,closedApp,1751814233.457467,instagram,Asia/Tokyo,
,False,,,closedApp,1751814318.9981132,instagram,Asia/Tokyo,
,False,,,closedApp,1751814563.202063,instagram,Asia/Tokyo,
,False,,,closedApp,1751814757.400976,instagram,Asia/Tokyo,
,False,,,closedApp,1751814876.174656,instagram,Asia/Tokyo,
,False,,,closedApp,1751814895.0507932,instagram,Asia/Tokyo,
,False,,,closedApp,1751815012.832792,instagram,Asia/Tokyo,
,False,,,closedApp,1751815217.276974,instagram,Asia/Tokyo,
,False,,,closedApp,1751815251.3412309,instagram,Asia/Tokyo,
,False,,,closedApp,1751815343.970562,instagram,Asia/Tokyo,
,False,,,closedApp,1751815350.8697639,instagram,Asia/Tokyo,
,False,,,closedApp,1751815372.312753,instagram,Asia/Tokyo,
,False,,,closedApp,1751815418.951037,instagram,Asia/Tokyo,
,False,,,closedApp,1751815443.905729,instagram,Asia/Tokyo,
,False,,,closedApp,1751815537.194349,instagram,Asia/Tokyo,
,False,,,closedApp,1751815544.775096,instagram,Asia/Tokyo,
,False,,,closedApp,1751815593.678249,instagram,Asia/Tokyo,
,False,,,closedApp,1751815606.126851,instagram,Asia/Tokyo,
,False,,,closedApp,1751815671.3336,instagram,Asia/Tokyo,
,False,,,closedApp,1751815756.436891,instagram,Asia/Tokyo,
,False,,,closedApp,1751815837.7201262,instagram,Asia/Tokyo,
,False,,,closedApp,1751816068.319425,instagram,Asia/Tokyo,
,False,,,closedApp,1751816150.005831,instagram,Asia/Tokyo,
,False,,,closedApp,1751816152.917604,instagram,Asia/Tokyo,
,False,,,closedApp,1751816372.437055,instagram,Asia/Tokyo,
,False,,,closedApp,1751816706.441454,instagram,Asia/Tokyo,
,False,,,closedApp,1751817337.859157,instagram,Asia/Tokyo,
,False,,,closedApp,1751821720.144063,instagram,Asia/Tokyo,
,False,,,closedApp,1751841356.234139,instagram,Asia/Tokyo,
,False,,,closedApp,1751841801.477351,instagram,Asia/Tokyo,
,False,,,closedApp,1751841991.816458,instagram,Asia/Tokyo,
,False,,,closedApp,1751842604.153319,instagram,Asia/Tokyo,
,False,,,closedApp,1751843559.86815,instagram,Asia/Tokyo,
,False,,,closedApp,1751843935.795423,instagram,Asia/Tokyo,
,False,,,closedApp,1751848304.823353,instagram,Asia/Tokyo,
,False,,,closedApp,1751848409.704043,instagram,Asia/Tokyo,
,False,,,closedApp,1751848442.656359,instagram,Asia/Tokyo,
,False,,,closedApp,1751848589.384904,instagram,Asia/Tokyo,
,False,,,closedApp,1751848846.866297,instagram,Asia/Tokyo,
,False,,,closedApp,1751848859.3673959,instagram,Asia/Tokyo,
,False,,,closedApp,1751849395.008321,instagram,Asia/Tokyo,
,False,,,closedApp,1751849598.1275458,instagram,Asia/Tokyo,
,False,,,closedApp,1751850006.579187,instagram,Asia/Tokyo,
,False,,,closedApp,1751850064.9123058,instagram,Asia/Tokyo,
,False,,,closedApp,1751850073.3312712,instagram,Asia/Tokyo,
,False,,,closedApp,1751850448.537971,instagram,Asia/Tokyo,
,False,,,closedApp,1751850496.5978842,instagram,Asia/Tokyo,
,False,,,closedApp,1751851019.634523,instagram,Asia/Tokyo,
,False,,,closedApp,1751851355.112424,instagram,Asia/Tokyo,
,False,,,closedApp,1751851810.506178,instagram,Asia/Tokyo,
,False,,,closedApp,1751851823.014286,instagram,Asia/Tokyo,
,False,,,closedApp,1751852893.557016,instagram,Asia/Tokyo,
,False,,,closedApp,1751852939.013093,instagram,Asia/Tokyo,
,False,,,closedApp,1751853698.096081,instagram,Asia/Tokyo,
,False,,,closedApp,1751854178.518198,instagram,Asia/Tokyo,
,False,,,closedApp,1751854209.084584,instagram,Asia/Tokyo,
,False,,,closedApp,1751854286.209779,instagram,Asia/Tokyo,
,False,,,closedApp,1751854378.8689551,instagram,Asia/Tokyo,
,False,,,closedApp,1751854383.865911,instagram,Asia/Tokyo,
,False,,,closedApp,1751856718.628108,instagram,Asia/Tokyo,
,False,,,closedApp,1751857018.0521522,instagram,Asia/Tokyo,
,False,,,closedApp,1751857030.699074,instagram,Asia/Tokyo,
,False,,,closedApp,1751857055.0004969,instagram,Asia/Tokyo,
,False,,,closedApp,1751857074.0862288,instagram,Asia/Tokyo,
,False,,,closedApp,1751857162.3793921,instagram,Asia/Tokyo,
,False,,,closedApp,1751858752.060828,instagram,Asia/Tokyo,
,False,,,closedApp,1751858825.902628,instagram,Asia/Tokyo,
,False,,,closedApp,1751859178.741085,instagram,Asia/Tokyo,
,False,,,closedApp,1751859725.492135,instagram,Asia/Tokyo,
,False,,,closedApp,1751860109.8818521,instagram,Asia/Tokyo,
,False,,,closedApp,1751860199.086887,instagram,Asia/Tokyo,
,False,,,closedApp,1751861136.367799,instagram,Asia/Tokyo,
,False,,,closedApp,1751861170.6941218,instagram,Asia/Tokyo,
,False,,,closedApp,1751861312.870191,instagram,Asia/Tokyo,
,False,,,closedApp,1751861372.849673,instagram,Asia/Tokyo,
,False,,,closedApp,1751861377.214524,instagram,Asia/Tokyo,
,False,,,closedApp,1751864422.100387,instagram,Asia/Tokyo,
逃げる・避ける,True,540.0,breathingExercise,openedApp,1751865221.589891,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751865202.62169,instagram,Asia/Tokyo,
,False,,,closedApp,1751865773.021337,instagram,Asia/Tokyo,
,False,,,closedApp,1751865778.128578,instagram,Asia/Tokyo,
何かを投稿,False,360.0,breathingExercise,openedApp,1751865789.239223,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751865790.5084991,instagram,Asia/Tokyo,
,False,,,closedApp,1751865805.161251,instagram,Asia/Tokyo,
何かを投稿,True,300.0,breathingExercise,openedApp,1751865818.078238,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751865819.371114,instagram,Asia/Tokyo,
,False,,,closedApp,1751865835.421989,instagram,Asia/Tokyo,
,False,,,closedApp,1751865836.951251,instagram,Asia/Tokyo,
,False,,,closedApp,1751866028.606516,instagram,Asia/Tokyo,
,False,,,closedApp,1751867026.79494,instagram,Asia/Tokyo,
,False,,,closedApp,1751869221.1454701,instagram,Asia/Tokyo,
情報を追う,False,600.0,breathingExercise,openedApp,1751869238.562921,instagram,Asia/Tokyo,3.0
情報を追う,False,600.0,breathingExercise,openedApp,1751869239.809915,instagram,Asia/Tokyo,3.0
,False,,breathingExercise,dismissedAppOpening,1751869240.360039,instagram,Asia/Tokyo,3.0
,False,,,closedApp,1751869241.7527928,instagram,Asia/Tokyo,
,False,,,closedApp,1751869301.889724,instagram,Asia/Tokyo,
,False,,,closedApp,1751870171.661442,instagram,Asia/Tokyo,
,False,,,closedApp,1751870238.374078,instagram,Asia/Tokyo,
,False,,,closedApp,1751871490.631497,instagram,Asia/Tokyo,
,False,,,closedApp,1751871586.453755,instagram,Asia/Tokyo,
,False,,,closedApp,1751872023.631218,instagram,Asia/Tokyo,
,False,,,closedApp,1751872953.2563581,instagram,Asia/Tokyo,
,False,,,closedApp,1751873233.234281,instagram,Asia/Tokyo,
,False,,,closedApp,1751874378.531987,instagram,Asia/Tokyo,
,False,,,closedApp,1751875440.644335,instagram,Asia/Tokyo,
,False,,,closedApp,1751875792.950049,instagram,Asia/Tokyo,
,False,,,closedApp,1751876729.416524,instagram,Asia/Tokyo,
,False,,,closedApp,1751876781.120533,instagram,Asia/Tokyo,
,False,,,closedApp,1751876868.973916,instagram,Asia/Tokyo,
,False,,,closedApp,1751877086.2643409,instagram,Asia/Tokyo,
,False,,,closedApp,1751877471.986346,instagram,Asia/Tokyo,
,False,,,closedApp,1751877523.834341,instagram,Asia/Tokyo,
,False,,,closedApp,1751877595.518492,instagram,Asia/Tokyo,
,False,,,closedApp,1751877673.743791,instagram,Asia/Tokyo,
,False,,,closedApp,1751878005.043491,instagram,Asia/Tokyo,
,False,,,closedApp,1751878037.243983,instagram,Asia/Tokyo,
,False,,,closedApp,1751878090.177263,instagram,Asia/Tokyo,
,False,,,closedApp,1751878379.491368,instagram,Asia/Tokyo,
,False,,,closedApp,1751878419.462533,instagram,Asia/Tokyo,
,False,,,closedApp,1751878755.758966,instagram,Asia/Tokyo,
,False,,,closedApp,1751878789.786257,instagram,Asia/Tokyo,
,False,,,closedApp,1751879029.992577,instagram,Asia/Tokyo,
,False,,,closedApp,1751879088.877558,instagram,Asia/Tokyo,
,False,,,closedApp,1751879453.9568439,instagram,Asia/Tokyo,
,False,,,closedApp,1751879695.2426739,instagram,Asia/Tokyo,
,False,,,closedApp,1751879875.7573419,instagram,Asia/Tokyo,
,False,,,closedApp,1751879915.268053,instagram,Asia/Tokyo,
,False,,,closedApp,1751880017.1716309,instagram,Asia/Tokyo,
,False,,,closedApp,1751880024.213331,instagram,Asia/Tokyo,
,False,,,closedApp,1751880479.19768,instagram,Asia/Tokyo,
,False,,,closedApp,1751880536.249356,instagram,Asia/Tokyo,
,False,,,closedApp,1751881349.196172,instagram,Asia/Tokyo,
,False,,,closedApp,1751881350.592722,instagram,Asia/Tokyo,
,False,,,closedApp,1751881385.546988,instagram,Asia/Tokyo,
,False,,,closedApp,1751882085.931551,instagram,Asia/Tokyo,
,False,,,closedApp,1751882600.129132,instagram,Asia/Tokyo,
,False,,,closedApp,1751883176.169528,instagram,Asia/Tokyo,
,False,,breathingExercise,dismissedAppOpening,1751883284.996639,instagram,Asia/Tokyo,3.0
