resolution,isReIntervention,timestamp,timezone,interventionType,app,interventionDuration
openedApp,False,1752070010.580842,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752070255.1427789,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752074202.138396,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752074215.502596,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752074319.302309,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752076064.415631,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752078970.821301,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752079948.411892,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752105957.1583529,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752314952.0426822,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752315785.949882,Asia/Seoul,breathingExercise,instagram,6.0
