resolution,interventionDuration,isReIntervention,timezone,app,timestamp,interventionType,purpose,timeIntervalUntilReIntervention
closedApp,,False,Europe/Paris,xvideos,1752652046.385808,,,
closedApp,,False,Europe/Paris,xvideos,1752652118.901338,,,
closedApp,,False,Europe/Paris,xvideos,1752652121.083616,,,
closedApp,,False,Europe/Paris,xvideos,1752652189.820582,,,
closedApp,,False,Europe/Paris,xvideos,1752652224.1695971,,,
closedApp,,False,Europe/Paris,xvideos,1752652301.020541,,,
closedApp,,False,Europe/Paris,xvideos,1752652613.423612,,,
closedApp,,False,Europe/Paris,xvideos,1752652656.6746922,,,
closedApp,,False,Europe/Paris,xvideos,1752652749.919095,,,
closedApp,,False,Europe/Paris,xvideos,1752653076.5114288,,,
closedApp,,False,Europe/Paris,xvideos,1752653281.175609,,,
dismissedAppOpening,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752653333.320111,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,microsoftTeams,1752653874.22386,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,facebook,1752657437.1874871,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,facebook,1752657453.44526,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,microsoftTeams,1752657463.179657,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,facebook,1752657637.165183,breathingExercise,,
openedApp,3.0,False,Europe/Paris,instagram,1752663893.8088598,breathingExercise,Message,300.0
openedApp,3.0,True,Europe/Paris,instagram,1752664221.891628,breathingExercise,Message,180.0
openedApp,3.0,False,Europe/Paris,instagram,1752665387.6400251,breathingExercise,Rechercher des informations,240.0
openedApp,3.0,False,Europe/Paris,youtube,1752666049.7481341,breathingExercise,Divertissement,1500.0
openedApp,3.0,True,Europe/Paris,youtube,1752667570.6351628,breathingExercise,Divertissement,1200.0
dismissedAppOpening,3.0,True,Europe/Paris,youtube,1752668772.317492,breathingExercise,,
openedApp,3.0,False,Europe/Paris,instagram,1752672882.466471,breathingExercise,Rechercher des informations,300.0
openedApp,3.0,False,Europe/Paris,instagram,1752673122.1731272,breathingExercise,Message,300.0
openedApp,3.0,False,Europe/Paris,instagram,1752673149.07902,breathingExercise,Message,300.0
dismissedAppOpening,3.0,False,Europe/Paris,instagram,1752673241.9983,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,youtube,1752675944.545138,breathingExercise,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676025.729681,breathingExercise,Divertissement,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676041.222879,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676047.554764,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676050.640637,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676056.7906551,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676080.663247,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676139.604785,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676144.134614,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676223.081156,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676244.495897,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676271.880118,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676285.4542022,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676343.0637121,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676351.293581,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676394.461029,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676409.22174,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676415.741243,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676453.804274,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676472.866744,,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676677.114581,breathingExercise,Divertissement,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752676686.559732,,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677436.372453,breathingExercise,Divertissement,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677444.320599,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677449.165015,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677463.5586839,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677482.206979,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677503.8891091,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677525.049902,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677529.0184479,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677568.473734,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677588.107802,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677605.180767,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677609.087686,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677639.926281,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677670.29493,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677687.665823,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677700.5743551,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677703.893152,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752677707.894722,,,
openedApp,3.0,False,Europe/Paris,microsoftTeams,1752677723.1862268,breathingExercise,Divertissement,
openedApp,3.0,False,Europe/Paris,microsoftTeams,1752678021.7266688,breathingExercise,Divertissement,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752678990.592836,breathingExercise,Divertissement,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679003.8486428,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679008.5242748,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679030.5277371,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679030.9521341,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679039.82824,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679056.6346111,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679067.911514,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679073.1789699,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679102.304628,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679125.886157,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679152.7626061,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679157.047698,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679165.043878,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679168.839293,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679174.2452679,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679209.8171968,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679219.608963,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679227.997565,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679230.452353,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679240.230129,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679266.046472,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679291.686686,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679352.879854,,,
openedApp,3.0,False,Europe/Paris,microsoftTeams,1752679363.099454,breathingExercise,Message,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679382.1838489,breathingExercise,Message,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679404.790273,,,
openedApp,3.0,False,Europe/Paris,microsoftTeams,1752679416.732465,breathingExercise,Message,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679499.111981,breathingExercise,Message,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679501.648365,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679524.263653,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679570.414932,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679580.963619,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679589.798715,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679607.546599,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752679617.7444072,,,
openedApp,3.0,False,Europe/Paris,xvideos,1752679788.7195659,breathingExercise,Divertissement,
closedApp,,False,Europe/Paris,xvideos,1752679803.50612,,,
closedApp,,False,Europe/Paris,xvideos,1752679944.7396588,,,
closedApp,,False,Europe/Paris,xvideos,1752679966.580962,,,
closedApp,,False,Europe/Paris,xvideos,1752680006.53282,,,
closedApp,,False,Europe/Paris,xvideos,1752680105.221601,,,
closedApp,,False,Europe/Paris,xvideos,1752680313.661771,,,
closedApp,,False,Europe/Paris,xvideos,1752680365.572536,,,
closedApp,,False,Europe/Paris,xvideos,1752680381.0488272,,,
closedApp,,False,Europe/Paris,xvideos,1752680475.156712,,,
closedApp,,False,Europe/Paris,xvideos,1752680528.671173,,,
closedApp,,False,Europe/Paris,xvideos,1752680639.8670468,,,
closedApp,,False,Europe/Paris,xvideos,1752680677.623426,,,
closedApp,,False,Europe/Paris,xvideos,1752680714.2001162,,,
closedApp,,False,Europe/Paris,xvideos,1752680780.1293821,,,
closedApp,,False,Europe/Paris,xvideos,1752680809.820136,,,
closedApp,,False,Europe/Paris,xvideos,1752680924.4005089,,,
closedApp,,False,Europe/Paris,xvideos,1752680931.918517,,,
closedApp,,False,Europe/Paris,xvideos,1752681134.620459,,,
closedApp,,False,Europe/Paris,xvideos,1752681143.734264,,,
openedApp,3.0,False,Europe/Paris,youtube,1752681230.907969,breathingExercise,Divertissement,1500.0
openedApp,3.0,False,Europe/Paris,instagram,1752685168.915523,breathingExercise,Message,600.0
closedApp,,False,Europe/Paris,instagram,1752686499.717432,,,
closedApp,,False,Europe/Paris,instagram,1752686512.7435431,,,
closedApp,,False,Europe/Paris,instagram,1752686553.160769,,,
openedApp,3.0,False,Europe/Paris,instagram,1752686911.8781161,breathingExercise,Divertissement,600.0
openedApp,3.0,True,Europe/Paris,instagram,1752687531.688118,breathingExercise,Divertissement,540.0
openedApp,3.0,True,Europe/Paris,instagram,1752688082.924375,breathingExercise,Se détendre,840.0
openedApp,3.0,True,Europe/Paris,instagram,1752688937.412301,breathingExercise,Divertissement,540.0
openedApp,3.0,True,Europe/Paris,instagram,1752689478.5243258,breathingExercise,Message,780.0
dismissedAppOpening,3.0,True,Europe/Paris,instagram,1752690253.02313,breathingExercise,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690581.501935,breathingExercise,Message,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690586.995729,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690604.614769,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690627.132498,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690639.354476,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690645.278504,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690652.663166,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690659.434111,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690667.0944781,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690693.187948,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690712.7943668,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690719.5811,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690722.191485,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690728.576586,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690743.525779,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690760.846754,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690772.552453,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690783.4864101,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690826.104234,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690826.919403,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690852.835266,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690893.01794,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690893.019521,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690898.151341,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690898.153502,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690905.170886,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690909.471592,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690924.686079,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690935.019956,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690998.4522328,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752690998.45395,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691002.191574,,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691328.562821,breathingExercise,Se détendre,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691340.686799,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691403.301894,,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691490.472814,breathingExercise,Rester au courant,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691519.011055,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691544.227129,,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691683.8108048,breathingExercise,Ennuyé,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691691.184811,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691697.774609,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691723.166707,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691750.239016,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691907.2366428,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752691925.9534302,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692016.364063,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692024.915529,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692051.124282,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692090.2040591,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692138.6014,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692173.423462,,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692406.961338,breathingExercise,Épier son coup de cœur,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752692415.753566,,,
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693281.104865,breathingExercise,Message,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693285.685986,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693300.50513,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693336.4034672,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693344.2238731,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693358.7744951,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693370.104395,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693380.962812,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693384.381388,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693399.849772,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693399.8513122,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693423.327561,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693479.541348,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693495.138206,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693506.7104979,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693536.306735,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693543.7684731,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693543.770016,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693549.71261,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693558.532592,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752693566.61677,,,
openedApp,3.0,False,Europe/Paris,instagram,1752695203.9914808,breathingExercise,Message,420.0
dismissedAppOpening,3.0,True,Europe/Paris,instagram,1752695668.4363132,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,instagram,1752695716.9032989,breathingExercise,,
openedApp,3.0,False,Europe/Paris,instagram,1752695727.48803,breathingExercise,Ennuyé,780.0
openedApp,3.0,False,Europe/Paris,youtube,1752698263.193074,breathingExercise,Message,660.0
dismissedAppOpening,3.0,False,Europe/Paris,youtube,1752698357.185758,breathingExercise,,
openedApp,3.0,False,Europe/Paris,youtube,1752698384.4295511,breathingExercise,Publier quelque chose,300.0
openedApp,3.0,False,Europe/Paris,microsoftTeams,1752734954.139276,askForTimeLimit,,2340.0
dismissedAppOpening,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735219.939712,breathingExercise,,
openedApp,3.0,False,Europe/Paris,instagram,1752735422.5130382,breathingExercise,Rester au courant,660.0
openedApp,3.0,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735459.977593,breathingExercise,Message,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735466.4892,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735475.55792,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735477.340065,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735482.944304,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735497.4527159,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735505.257043,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735522.934438,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735578.259647,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735594.06655,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735657.132039,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735667.0635219,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735672.094917,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735679.517157,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735744.887244,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735752.4838781,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735780.9931989,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735797.255122,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735804.535478,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735816.26195,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735827.546273,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735832.834879,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735847.696694,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735850.4077458,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735877.0975552,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735877.0999231,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735887.120479,,,
closedApp,,False,Europe/Paris,1610EF4F-F1F9-48A4-809B-13671313A098,1752735894.717565,,,
