isReIntervention,interventionType,timezone,resolution,timestamp,interventionDuration,app,purpose
False,breathingExercise,Europe/Madrid,openedApp,1751488300.529625,6.0,instagram,Stay In the Loop
False,breathingExercise,Europe/Madrid,openedApp,1751491192.442282,6.0,instagram,Stay In the Loop
False,breathingExercise,Europe/Madrid,openedApp,1751514920.220471,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751477966.906019,,instagram,
False,,Europe/Madrid,closedApp,1751480233.682527,,instagram,
False,,Europe/Madrid,closedApp,1751488349.1943731,,instagram,
False,,Europe/Madrid,closedApp,1751492022.594349,,instagram,
False,,Europe/Madrid,closedApp,1751514992.473864,,instagram,
False,,Europe/Madrid,closedApp,1751515162.652214,,instagram,
False,,Europe/Madrid,closedApp,1751515438.899307,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751515482.964607,6.0,instagram,Stay In the Loop
False,breathingExercise,Europe/Madrid,openedApp,1751517031.176837,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751515512.3724608,,instagram,
False,,Europe/Madrid,closedApp,1751517071.3204699,,instagram,
False,,Europe/Madrid,closedApp,1751518460.862016,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751519056.368565,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751520909.3349872,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751521168.250695,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751527734.65533,6.0,instagram,Stay In the Loop
