timestamp,interventionType,app,interventionDuration,resolution,timezone,isReIntervention,terminationReason
1751274370.0614638,,facebook,,closedApp,Europe/Zurich,0.0,
1751274768.1616402,,facebook,,closedApp,Europe/Zurich,0.0,
1751274940.6954951,,facebook,,closedApp,Europe/Zurich,0.0,
1751396593.386908,,facebook,,closedApp,Europe/Zurich,0.0,
1750968723.823519,,youtube,,closedApp,Europe/Zurich,0.0,
1750968732.851352,,youtube,,closedApp,Europe/Zurich,0.0,
1750969561.9953809,,youtube,,closedApp,Europe/Zurich,0.0,
1751058219.6379972,,youtube,,closedApp,Europe/Zurich,0.0,
1751123619.192095,,youtube,,closedApp,Europe/Zurich,0.0,
1751126901.872865,,youtube,,closedApp,Europe/Zurich,0.0,
1751129540.154767,,youtube,,closedApp,Europe/Zurich,0.0,
1751129571.943609,,youtube,,closedApp,Europe/Zurich,0.0,
1751145297.599724,,youtube,,closedApp,Europe/Zurich,0.0,
1751178969.6027288,,youtube,,closedApp,Europe/Zurich,0.0,
1751178996.064475,,youtube,,closedApp,Europe/Zurich,0.0,
1751211511.490267,,youtube,,closedApp,Europe/Zurich,0.0,
1751212539.864579,,youtube,,closedApp,Europe/Zurich,0.0,
1751212720.653462,,youtube,,closedApp,Europe/Zurich,0.0,
1751212750.865065,,youtube,,closedApp,Europe/Zurich,0.0,
1751214274.1005778,,youtube,,closedApp,Europe/Zurich,0.0,
1751231786.991416,,youtube,,closedApp,Europe/Zurich,0.0,
1751274393.0703712,,youtube,,closedApp,Europe/Zurich,0.0,
1751274396.622824,,youtube,,closedApp,Europe/Zurich,0.0,
1751280407.07708,,youtube,,closedApp,Europe/Zurich,0.0,
1751308000.274507,,youtube,,closedApp,Europe/Zurich,0.0,
1751348713.662353,,youtube,,closedApp,Europe/Zurich,0.0,
1751348811.29233,,youtube,,closedApp,Europe/Zurich,0.0,
1751361062.443672,,youtube,,closedApp,Europe/Zurich,0.0,
1751389045.521761,,youtube,,closedApp,Europe/Zurich,0.0,
1751448667.571173,,youtube,,closedApp,Europe/Zurich,0.0,
1751452504.490334,,youtube,,closedApp,Europe/Zurich,0.0,
1751563169.657624,,youtube,,closedApp,Europe/Zurich,0.0,
1751563215.554601,,youtube,,closedApp,Europe/Zurich,0.0,
1751567684.099001,,youtube,,closedApp,Europe/Zurich,0.0,
1751607004.009835,,youtube,,closedApp,Europe/Zurich,0.0,
1751625016.925734,,youtube,,closedApp,Europe/Zurich,0.0,
1751786485.356217,,youtube,,closedApp,Europe/Zurich,0.0,
1751787421.164751,,youtube,,closedApp,Europe/Zurich,0.0,
1752147151.0032291,,youtube,,closedApp,Europe/Zurich,0.0,
1752149416.743252,,youtube,,closedApp,Europe/Zurich,0.0,
1752166919.1077862,,youtube,,closedApp,Europe/Zurich,0.0,
1752167734.732893,,youtube,,closedApp,Europe/Zurich,0.0,
