resolution,purpose,timestamp,interventionType,isReIntervention,timezone,app,interventionDuration
openedApp,Post something,1750105823.684874,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750106176.6959,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Check likes,1750106241.75087,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750106311.0923738,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750106656.0978088,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750107194.672172,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750110947.234982,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750114839.055856,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750115433.837327,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750115513.545967,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750115529.06702,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750115594.93044,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750115608.738908,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750115792.2866368,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750115854.330511,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750116939.393385,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750117654.021912,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750119402.75421,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Check likes,1750119650.443681,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750119798.746224,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Check likes,1750120316.6756039,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750121366.81784,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750122259.110345,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750122335.407817,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750122391.598878,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750122489.50415,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750122510.245436,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750122524.4954848,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750122527.0484328,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750122546.526797,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750122624.11936,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750124808.767386,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750130481.302917,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750132062.088918,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750132081.6130872,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750133803.556509,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stay In the Loop,1750134312.370284,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750135282.180612,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750137479.3942409,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Check likes,1750139947.7823582,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Check likes,1750176595.541014,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Check likes,1750177165.827465,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Bored,1750178580.957018,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Snap back Stella 💔,1750181446.904522,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750181617.655014,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750182154.755351,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750182725.946032,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750182740.5726,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750182919.392956,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750183078.142048,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750183749.7152472,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750183878.204979,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750184138.671365,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stay In the Loop,1750185489.681205,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Post something,1750187033.518569,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750188190.6890612,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750188483.173212,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750189437.5453649,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750189651.4408069,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750190099.8208299,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750190768.892539,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750193136.159913,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750193217.543487,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750193614.159661,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750195020.214895,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750195916.023528,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750196499.030278,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750197425.558089,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750197718.382462,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750198659.587863,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750199722.318098,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750199840.551038,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750200624.8779721,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750201238.885159,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750201383.641783,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750201462.860879,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750201908.1390572,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750202117.2942948,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750202627.619586,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750202641.315143,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750202759.906546,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750202815.924567,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750202831.2600589,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750203239.797483,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750205208.255663,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750205593.760073,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750206892.8182201,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750207373.974134,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750207397.478615,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750207582.5593848,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750207798.885387,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750208033.6669831,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750208289.652596,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750208386.5530648,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750208683.7817879,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750209538.523011,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750209966.615893,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750210974.860106,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750211395.799944,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750212136.437011,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750212155.649115,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750213880.965977,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stay In the Loop,1750214211.103135,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750214253.2379131,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750214329.306384,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750215320.327888,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750215821.142391,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750215975.888941,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750219927.809822,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750220863.6860142,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750221005.395006,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750221364.702711,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750221677.91149,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750222770.883294,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750222787.272058,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750222802.614205,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750223449.015345,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750224281.18115,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750224566.527062,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750224644.255499,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750225668.77056,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750225961.848969,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750225978.640051,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750226005.150999,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750226156.2574248,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stay In the Loop,1750226201.3330379,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750226250.331318,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750227488.6100512,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Stay In the Loop,1750268000.04385,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750268680.471103,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750269034.003768,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750270025.490186,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750270103.593658,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750270161.003984,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750270600.8472052,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Snap back Stella 💔,1750270738.414067,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750271271.609096,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750271611.1828198,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750271712.265881,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750272767.3446422,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750273490.5785131,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750273526.311438,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750273541.685694,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750273604.83278,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750274189.586019,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750274839.5587049,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750274855.039027,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750275299.64523,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750275536.6958032,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750275802.361569,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750276087.2934442,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750276945.098503,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750277421.36193,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750277862.224067,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750278184.265781,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750278553.219644,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750278664.641056,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750278956.794592,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750279295.550871,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750279458.235086,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750279807.9020162,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750279978.1449308,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750279996.57851,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750280471.563246,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750280766.576202,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750280980.605654,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750281004.268763,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750281164.139145,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750281507.8071089,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750281781.494684,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750282137.96474,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750282716.5169358,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750282781.192033,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750283299.697698,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750283440.789703,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750283616.3246999,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750283918.0784411,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750284228.936736,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750284894.455841,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750285337.306355,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750285705.482122,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750285724.138032,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Stay In the Loop,1750285986.901176,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750286536.753377,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750287078.2843652,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stay In the Loop,1750287318.3252969,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750288222.547943,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750288598.1082258,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stalk crush,1750288613.939581,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stalk crush,1750288982.306913,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750289483.282786,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750293285.426095,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750293300.927635,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750294585.93344,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750304157.009414,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750304193.207254,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750304241.013538,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750304414.348649,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750304570.478508,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750304744.337331,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750304921.77347,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750304980.6759992,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750306653.049138,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750306696.530315,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750307079.237936,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750307297.371356,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750307471.183305,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750307473.27989,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750307476.0987492,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750308511.054418,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750309622.517168,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Bored,1750310260.549992,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750311325.187242,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750312715.505552,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750313952.8810039,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750315984.012941,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750317237.062345,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750317595.7264938,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750350841.505347,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750350842.270112,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750351099.0547829,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750351321.135108,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750352475.28962,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750352623.1072102,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750352657.5553331,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750353577.3165832,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750353924.6280599,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750354774.5783691,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750355191.094975,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750356081.33356,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750356764.411587,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750357290.116533,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750357317.904653,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750357491.5412421,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750357576.9125261,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750357830.5744271,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750357969.0666199,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750358009.706149,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750358172.50943,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750358379.512476,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750358844.515335,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750359767.7329822,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750360933.70345,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750361229.1635761,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750361296.6926808,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750361844.257989,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750362218.690325,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750362827.3644838,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750362928.2626271,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750362930.0001101,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750363087.8647919,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750363370.2443419,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750363680.2700539,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750364441.612874,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750364482.50928,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750365060.799296,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750365220.9617891,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750365311.4729772,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750365577.7976289,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750365695.939683,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750365791.018399,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750366009.3746839,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750366042.398124,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750366428.868156,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750366616.669985,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750366721.075808,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750367826.9072561,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750368010.606219,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750368167.951727,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750368377.897763,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750368400.136994,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750368793.7208629,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750368827.727812,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750369412.978704,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750373218.709039,breathingExercise,False,America/Los_Angeles,snapchat,6.0
