timezone,resolution,timestamp,isReIntervention,app,interventionType,interventionDuration
Africa/Johannesburg,openedApp,1750522101.857898,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750522625.589673,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750575214.26616,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750586005.710222,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750618161.4896631,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750692173.065134,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750693019.7609072,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750790773.981046,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750792068.620441,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750792373.71972,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750856286.784895,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750910909.103363,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750946479.0369148,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750953638.161998,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751034921.807466,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1751037327.313618,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751037342.892537,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751037607.5994248,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751095581.90729,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751098982.381006,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751183728.345685,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751192095.744798,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751203769.069473,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751265084.858563,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751297321.270905,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751357816.104198,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751381494.791908,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751384917.4135299,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751386045.306522,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751386441.750134,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751482082.918731,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751562837.6586351,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751571373.455884,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751609923.135899,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1751610454.008904,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751635060.228901,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751635362.576301,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751643375.020986,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751742800.882915,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751791089.176633,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751804056.576999,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751872576.969442,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751896070.2184281,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1751898243.079592,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1751905992.872252,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751910624.172524,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1751910712.8740048,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1751997581.272986,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751998449.392919,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1751998656.1464791,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752065022.196848,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752081398.4822922,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752082091.561156,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752137891.505526,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752262337.396272,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752345220.711025,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752407799.709099,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752433196.177629,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1752505598.051017,False,pinterest,breathingExercise,6
