interventionDuration,timezone,app,resolution,isReIntervention,timestamp,interventionType,timeIntervalUntilReIntervention
6,America/Santiago,instagram,dismissedAppOpening,False,1753055638.5313702,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753059400.685472,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753093516.463076,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753095902.7659059,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1753098749.82935,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753115934.091294,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753118986.086401,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753130595.183819,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753138894.728846,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753150515.845226,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753186620.98506,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753214510.254266,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753217552.247241,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753221392.883347,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753228195.438868,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753233538.165829,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753238938.3423429,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753272093.124227,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753281876.0941648,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753290120.4178162,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753302277.724112,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753307972.029999,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753314136.747264,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753318778.97734,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1753319024.865744,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753320703.968727,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1753321679.0130548,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753329998.0854812,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753361569.349349,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753371627.529883,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1753371776.495315,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753374083.8535318,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753376098.6598868,breathingExercise,
