resolution,isReIntervention,timestamp,timezone,app,interventionDuration,interventionType
dismissedAppOpening,False,1751428069.17745,America/Sao_Paulo,instagram,,
openedApp,False,1751461980.001184,America/Sao_Paulo,instagram,,
closedApp,False,1751462160.001184,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751462160.001184,America/Sao_Paulo,instagram,,
openedApp,False,1751467889.8664598,America/Sao_Paulo,instagram,,
closedApp,False,1751468069.8664598,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751468069.8664598,America/Sao_Paulo,instagram,,
openedApp,False,1751477674.637658,America/Sao_Paulo,instagram,,
closedApp,False,1751477854.637658,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751477854.637659,America/Sao_Paulo,instagram,,
openedApp,False,1751479485.406445,America/Sao_Paulo,instagram,,
closedApp,False,1751479665.406445,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751479665.406445,America/Sao_Paulo,instagram,,
openedApp,False,1751499121.395406,America/Sao_Paulo,instagram,,
closedApp,False,1751499301.395406,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751499301.395406,America/Sao_Paulo,instagram,,
openedApp,False,1751499625.776058,America/Sao_Paulo,instagram,,
closedApp,False,1751499805.776058,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751499805.776058,America/Sao_Paulo,instagram,,
openedApp,False,1751500860.9205909,America/Sao_Paulo,instagram,,
closedApp,False,1751501040.9205909,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751501040.9205909,America/Sao_Paulo,instagram,,
openedApp,False,1751549108.318666,America/Sao_Paulo,instagram,,
closedApp,False,1751549288.318666,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751549288.318666,America/Sao_Paulo,instagram,,
openedApp,False,1751556966.5118241,America/Sao_Paulo,instagram,,
closedApp,False,1751557146.5118241,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751557146.5118241,America/Sao_Paulo,instagram,,
openedApp,False,1751586641.265883,America/Sao_Paulo,instagram,,
closedApp,False,1751586821.265883,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751586821.265883,America/Sao_Paulo,instagram,,
openedApp,False,1751603002.6638021,America/Sao_Paulo,instagram,,
closedApp,False,1751603182.6638021,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751603182.6638021,America/Sao_Paulo,instagram,,
openedApp,False,1751627853.348528,America/Sao_Paulo,instagram,,
closedApp,False,1751628033.348528,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751628033.348528,America/Sao_Paulo,instagram,,
openedApp,False,1751630836.946714,America/Sao_Paulo,instagram,,
closedApp,False,1751631016.9467149,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751631016.9467149,America/Sao_Paulo,instagram,,
openedApp,False,1751634413.085209,America/Sao_Paulo,instagram,,
closedApp,False,1751634593.0852098,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751634593.0852098,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751635336.939467,America/Sao_Paulo,instagram,6.0,breathingExercise
openedApp,False,1751647511.618254,America/Sao_Paulo,instagram,,
closedApp,False,1751647691.618254,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751647691.618254,America/Sao_Paulo,instagram,,
openedApp,False,1751667051.077847,America/Sao_Paulo,instagram,,
closedApp,False,1751667231.077847,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751667231.077848,America/Sao_Paulo,instagram,,
openedApp,False,1751673604.96227,America/Sao_Paulo,instagram,,
closedApp,False,1751673784.96227,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751673784.96227,America/Sao_Paulo,instagram,,
openedApp,False,1751738059.439722,America/Sao_Paulo,instagram,,
closedApp,False,1751738239.439722,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751738239.439722,America/Sao_Paulo,instagram,,
openedApp,False,1751738764.915125,America/Sao_Paulo,instagram,,
closedApp,False,1751738944.9151258,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751738944.9151258,America/Sao_Paulo,instagram,,
openedApp,False,1751762335.44598,America/Sao_Paulo,instagram,,
closedApp,False,1751762515.44598,America/Sao_Paulo,instagram,,
